#       r                g_cl(r)        g_cl-cl(r)         g_11(r)
         0.50000         0.00000         0.00000         0.00000
         1.00000         0.00000         0.00000         0.00000
         1.50000         0.00000         0.00000         0.00000
         2.00000         0.00000         0.00000         0.00000
         2.50000         0.00000         0.00000         0.00000
         3.00000         0.30127         0.00000         0.25636
         3.50000        12.43498         0.00000        11.91667
         4.00000        12.69832         0.00000        17.60819
         4.50000         4.39431         0.00000         9.67922
         5.00000         1.50811         0.00000         5.19094
         5.50000         1.14424         0.00000         3.60354
         6.00000         2.82315         0.00000         4.03783
         6.50000         5.96472         0.00000         6.27637
         7.00000         7.47908         0.00000         8.43317
         7.50000         7.48745         0.00000         9.68060
         8.00000         4.97592         0.00000         8.48456
         8.50000         2.59494         0.00000         6.24080
         9.00000         2.05217         0.00000         4.99786
         9.50000         3.78400         0.00000         5.35815
        10.00000         6.57983         0.00000         6.92934
        10.50000         6.50148         0.00000         7.68798
        11.00000         5.34339         0.00000         7.54469
        11.50000         4.36142         0.00000         7.07321
        12.00000         3.35623         0.00000         6.15967
        12.50000         3.11343         0.00000         5.52241
        13.00000         4.31345         0.00000         5.80045
        13.50000         5.72406         0.00000         6.66587
        14.00000         5.92332         0.00000         7.00632
        14.50000         4.74091         0.00000         6.63934
        15.00000         3.91862         0.00000         6.18999
        15.50000         3.59414         0.00000         5.79244
        16.00000         3.62182         0.00000         5.61335
        16.50000         4.34728         0.00000         5.81665
        17.00000         5.07235         0.00000         6.19824
        17.50000         5.11982         0.00000         6.31395
        18.00000         4.42754         0.00000         6.01283
        18.50000         3.84457         0.00000         5.61285
        19.00000         3.67686         0.00000         5.39487
        19.50000         3.79467         0.00000         5.41139
        20.00000         4.20252         0.00000         5.58339
        20.50000         4.53891         0.00000         5.68368
        21.00000         4.46039         0.00000         5.64824
        21.50000         4.09362         0.00000         5.43931
        22.00000         3.76023         1.25421         5.15978
        22.50000         3.59833         0.00000         5.01185
        23.00000         3.78195         0.00000         5.06760
        23.50000         3.99539         1.17415         5.16056
        24.00000         4.06055         0.00000         5.18499
        24.50000         3.97830         0.00000         5.05944
        25.00000         3.72582         0.00000         4.87891
        25.50000         3.56264         0.00000         4.70144
        26.00000         3.35819         0.00000         4.63328
        26.50000         3.49542         1.04123         4.63204
        27.00000         3.55509         0.00000         4.68835
        27.50000         3.68137         1.00337         4.65930
        28.00000         3.50206         0.00000         4.52709
        28.50000         3.32341         0.96816         4.36663
        29.00000         3.18312         0.00000         4.24324
        29.50000         3.21981         0.93534         4.20899
        30.00000         3.02082         1.83951         4.18965
        30.50000         3.10640         0.90468         4.18450
        31.00000         2.99863         0.89008         4.13774
        31.50000         2.96270         2.62787         4.01217
        32.00000         2.89064         1.72454         3.88488
        32.50000         2.63259         1.69801         3.79171
        33.00000         2.63079         0.00000         3.75271
        33.50000         2.60126         1.64732         3.73265
        34.00000         2.43974         0.00000         3.69721
        34.50000         2.33248         1.59957         3.61624
        35.00000         2.26653         0.78836         3.53700
        35.50000         2.20469         0.00000         3.41532
        36.00000         2.03217         1.53292         3.33712
