# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
2298000 600
1 0.16625 0 0
2 0.49875 0 0
3 0.83125 0 0
4 1.16375 0 0
5 1.49625 0 0
6 1.82875 0 0
7 2.16125 0 0
8 2.49375 0 0
9 2.82625 0.000473689 2.2375e-05
10 3.15875 1.01484 0.0535984
11 3.49125 11.718 0.737339
12 3.82375 19.5325 1.9856
13 4.15625 15.284 3.04729
14 4.48875 9.74101 3.77807
15 4.82125 6.29318 4.28517
16 5.15375 4.43887 4.66751
17 5.48625 3.57071 4.99492
18 5.81875 3.54962 5.34012
19 6.15125 4.54492 5.80737
20 6.48375 6.22327 6.48175
21 6.81625 7.70815 7.35987
22 7.14875 9.04551 8.44061
23 7.48125 9.81794 9.6682
24 7.81375 9.25753 10.8772
25 8.14625 7.81156 11.9407
26 8.47875 6.33457 12.8384
27 8.81125 5.29073 13.6175
28 9.14375 4.86998 14.3617
29 9.47625 5.2699 15.1964
30 9.80875 6.35393 16.238
31 10.1413 7.35145 17.484
32 10.4738 7.71578 18.8347
33 10.8062 7.66759 20.2195
34 11.1387 7.49727 21.6152
35 11.4713 7.14534 22.9851
36 11.8038 6.56385 24.28
37 12.1363 5.9325 25.4833
38 12.4688 5.54089 26.638
39 12.8012 5.58088 27.832
40 13.1337 6.04867 29.1598
41 13.4662 6.6585 30.6583
42 13.7987 7.01986 32.2773
43 14.1312 6.98449 33.9269
44 14.4637 6.70578 35.5479
45 14.7963 6.39613 37.1296
46 15.1288 6.11152 38.6749
47 15.4613 5.8433 40.1848
48 15.7938 5.66118 41.6792
49 16.1263 5.65178 43.2024
50 16.4588 5.82888 44.8058
51 16.7912 6.08855 46.5145
52 17.1237 6.29622 48.3164
53 17.4562 6.34821 50.1685
54 17.7887 6.20233 52.0125
55 18.1212 5.94343 53.8126
56 18.4537 5.67512 55.5629
57 18.7863 5.48487 57.285
58 19.1188 5.40747 59.0129
59 19.4513 5.43989 60.7813
60 19.7838 5.54448 62.6146
61 20.1163 5.65677 64.5165
62 20.4488 5.72403 66.4727
63 20.7812 5.72141 68.4599
64 21.1137 5.65023 70.4537
65 21.4462 5.49712 72.4241
66 21.7787 5.30466 74.3549
67 22.1112 5.13041 76.2509
68 22.4437 5.04784 78.1444
69 22.7762 5.06286 80.0716
70 23.1088 5.13529 82.055
71 23.4413 5.21166 84.0968
72 23.7737 5.23061 86.1751
73 24.1062 5.19595 88.2685
74 24.4387 5.11197 90.3565
75 24.7712 5.00389 92.4281
76 25.1038 4.87999 94.4756
77 25.4363 4.75852 96.4985
78 25.7688 4.67889 98.5136
79 26.1013 4.65591 100.545
80 26.4338 4.68462 102.614
81 26.7662 4.72188 104.727
82 27.0988 4.73701 106.872
83 27.4313 4.70128 109.027
84 27.7638 4.62576 111.174
85 28.0963 4.52537 113.299
86 28.4288 4.42637 115.402
87 28.7613 4.33601 117.486
88 29.0938 4.27584 119.565
89 29.4262 4.24482 121.653
90 29.7587 4.23802 123.761
91 30.0912 4.2408 125.894
92 30.4237 4.23671 128.048
93 30.7562 4.20689 130.21
94 31.0887 4.14978 132.367
95 31.4212 4.06762 134.503
96 31.7537 3.98087 136.615
97 32.0862 3.90362 138.709
98 32.4187 3.84611 140.793
99 32.7512 3.81319 142.88
100 33.0837 3.79347 144.977
101 33.4163 3.78007 147.089
102 33.7488 3.75789 149.208
103 34.0813 3.72461 151.33
104 34.4138 3.67615 153.444
105 34.7463 3.61113 155.541
106 35.0788 3.5424 157.618
107 35.4113 3.47596 159.675
108 35.7438 3.41813 161.717
109 36.0763 3.37915 163.755
110 36.4088 3.3504 165.793
111 36.7413 3.32797 167.837
112 37.0738 3.30068 169.882
113 37.4062 3.26616 171.924
114 37.7387 3.22027 173.955
115 38.0712 3.16559 175.969
116 38.4037 3.10791 177.964
117 38.7362 3.0504 179.939
118 39.0687 2.99946 181.898
119 39.4012 2.95638 183.844
120 39.7337 2.92067 185.784
121 40.0662 2.89288 187.721
122 40.3987 2.86126 189.653
123 40.7312 2.82836 191.578
124 41.0637 2.78506 193.49
125 41.3962 2.73747 195.384
126 41.7288 2.68732 197.258
127 42.0613 2.63758 199.112
128 42.3938 2.59071 200.948
129 42.7263 2.54965 202.768
130 43.0588 2.51135 204.576
131 43.3913 2.47782 206.373
132 43.7238 2.44584 208.16
133 44.0563 2.41162 209.936
134 44.3888 2.37275 211.696
135 44.7213 2.33209 213.439
136 45.0538 2.28767 215.162
137 45.3862 2.24313 216.863
138 45.7188 2.20098 218.545
139 46.0513 2.16163 220.209
140 46.3837 2.12293 221.854
141 46.7163 2.08946 223.486
142 47.0487 2.05626 225.103
143 47.3812 2.02327 226.705
144 47.7137 1.98778 228.29
145 48.0463 1.94954 229.856
146 48.3787 1.91276 231.402
147 48.7112 1.87259 232.927
148 49.0437 1.83455 234.43
149 49.3762 1.79723 235.914
150 49.7087 1.76195 237.377
151 50.0413 1.72884 238.823
152 50.3738 1.69657 240.252
153 50.7063 1.66488 241.663
154 51.0388 1.63162 243.054
155 51.3713 1.59849 244.427
156 51.7037 1.56488 245.779
157 52.0363 1.53005 247.11
158 52.3687 1.49527 248.418
159 52.7013 1.46232 249.707
160 53.0337 1.43043 250.974
161 53.3663 1.39867 252.222
162 53.6987 1.36951 253.451
163 54.0312 1.33803 254.659
164 54.3638 1.30937 255.849
165 54.6962 1.27867 257.018
166 55.0288 1.24954 258.167
167 55.3612 1.21889 259.295
168 55.6938 1.18902 260.402
169 56.0262 1.15916 261.487
170 56.3588 1.13039 262.552
171 56.6912 1.10275 263.597
172 57.0238 1.07498 264.621
173 57.3562 1.04777 265.626
174 57.6888 1.02152 266.61
175 58.0212 0.994878 267.575
176 58.3538 0.968631 268.52
177 58.6862 0.943406 269.445
178 59.0188 0.916275 270.349
179 59.3512 0.891093 271.233
180 59.6838 0.865878 272.097
181 60.0162 0.841462 272.941
182 60.3488 0.8177 273.765
183 60.6812 0.793721 274.57
184 61.0138 0.771196 275.357
185 61.3462 0.748077 276.124
186 61.6788 0.725812 276.872
187 62.0112 0.703114 277.601
188 62.3438 0.681771 278.311
189 62.6763 0.659626 279.002
190 63.0087 0.638294 279.674
191 63.3413 0.618307 280.329
192 63.6737 0.597848 280.965
193 64.0063 0.578127 281.583
194 64.3387 0.558546 282.184
195 64.6713 0.53939 282.767
196 65.0037 0.520656 283.333
197 65.3363 0.502596 283.882
198 65.6687 0.484382 284.413
199 66.0013 0.467262 284.929
200 66.3337 0.449253 285.427
201 66.6663 0.432872 285.909
202 66.9987 0.416238 286.375
203 67.3313 0.400601 286.826
204 67.6637 0.384875 287.261
205 67.9963 0.369339 287.681
206 68.3287 0.354718 288.086
207 68.6613 0.340267 288.476
208 68.9937 0.325923 288.852
209 69.3263 0.312231 289.214
210 69.6587 0.299024 289.562
211 69.9913 0.286008 289.897
212 70.3237 0.273013 290.218
213 70.6562 0.26089 290.526
214 70.9888 0.248745 290.821
215 71.3212 0.237332 291.104
216 71.6538 0.226376 291.375
217 71.9862 0.215155 291.634
218 72.3188 0.204756 291.881
219 72.6512 0.194697 292.118
220 72.9838 0.184667 292.343
221 73.3162 0.175509 292.558
222 73.6488 0.166112 292.762
223 73.9812 0.157214 292.957
224 74.3138 0.148834 293.142
225 74.6462 0.140823 293.317
226 74.9788 0.132775 293.484
227 75.3112 0.125286 293.641
228 75.6438 0.117755 293.79
229 75.9762 0.111141 293.931
230 76.3088 0.104334 294.064
231 76.6412 0.0979709 294.19
232 76.9738 0.0919922 294.308
233 77.3062 0.0861641 294.42
234 77.6388 0.0807476 294.524
235 77.9712 0.0754339 294.623
236 78.3038 0.0704278 294.715
237 78.6362 0.0657245 294.801
238 78.9688 0.0611961 294.882
239 79.3013 0.0568015 294.957
240 79.6337 0.0527817 295.027
241 79.9663 0.0490125 295.093
