#      r        psi_cum 5(r)   psi_cum 6(r)   psi_cum10(r)   psi_cum20(r)
   0.00000     0.01472     0.03681     0.01732     0.02207
   0.52298     0.06587     0.18595     0.07479     0.11026
   1.04595     0.14677     0.40285     0.16280     0.22922
   1.56893     0.15203     0.41222     0.16881     0.23592
   2.09191     0.15704     0.41853     0.17369     0.24217
   2.61489     0.16194     0.42876     0.17891     0.24928
   3.13786     0.05704     0.14618     0.06256     0.08613
   3.66084     0.05711     0.14634     0.06269     0.08628
   4.18382     0.05820     0.14782     0.06375     0.08745
   4.70680     0.05935     0.14962     0.06495     0.08896
   5.22977     0.06007     0.15095     0.06569     0.08974
   5.75275     0.06035     0.15130     0.06582     0.08999
   6.27573     0.06073     0.15240     0.06627     0.09065
   6.79871     0.06103     0.15326     0.06655     0.09105
   7.32168     0.06145     0.15406     0.06686     0.09155
   7.84466     0.06167     0.15443     0.06704     0.09176
   8.36764     0.06200     0.15498     0.06736     0.09212
   8.89062     0.06245     0.15576     0.06774     0.09251
   9.41359     0.06271     0.15621     0.06788     0.09286
   9.93657     0.06312     0.15707     0.06818     0.09319
  10.45955     0.06339     0.15751     0.06850     0.09343
  10.98252     0.06360     0.15805     0.06878     0.09366
  11.50550     0.06390     0.15843     0.06904     0.09388
  12.02848     0.06426     0.15924     0.06945     0.09420
  12.55146     0.06454     0.15977     0.06968     0.09446
  13.07443     0.06483     0.16020     0.06990     0.09473
  13.59741     0.06513     0.16050     0.07009     0.09506
  14.12039     0.06543     0.16123     0.07028     0.09542
  14.64337     0.06558     0.16168     0.07040     0.09570
  15.16634     0.06584     0.16200     0.07061     0.09590
  15.68932     0.06629     0.16250     0.07105     0.09616
  16.21230     0.06657     0.16289     0.07122     0.09647
  16.73528     0.06681     0.16344     0.07155     0.09684
  17.25825     0.06705     0.16375     0.07176     0.09716
  17.78123     0.06749     0.16410     0.07219     0.09754
  18.30421     0.06775     0.16437     0.07234     0.09776
  18.82718     0.06800     0.16465     0.07258     0.09798
  19.35016     0.06823     0.16495     0.07281     0.09822
  19.87314     0.06850     0.16528     0.07304     0.09853
  20.39612     0.06871     0.16567     0.07338     0.09884
  20.91909     0.06903     0.16619     0.07363     0.09907
  21.44207     0.06959     0.16686     0.07419     0.09936
  21.96505     0.07003     0.16725     0.07448     0.09960
  22.48803     0.07031     0.16794     0.07504     0.10025
  23.01100     0.07049     0.16836     0.07546     0.10054
  23.53398     0.07092     0.16873     0.07586     0.10093
  24.05696     0.07120     0.16906     0.07610     0.10118
  24.57994     0.07157     0.16970     0.07660     0.10139
  25.10291     0.07216     0.17002     0.07710     0.10172
  25.62589     0.07277     0.17071     0.07763     0.10233
  26.14887     0.07298     0.17095     0.07783     0.10253
  26.67184     0.07352     0.17129     0.07825     0.10288
  27.19482     0.07426     0.17205     0.07886     0.10351
  27.71780     0.07450     0.17229     0.07909     0.10366
  28.24078     0.07472     0.17260     0.07924     0.10388
  28.76375     0.07491     0.17289     0.07939     0.10407
  29.28673     0.07532     0.17343     0.07987     0.10433
  29.80971     0.07563     0.17372     0.08006     0.10454
  30.33269     0.07585     0.17401     0.08034     0.10478
  30.85566     0.07611     0.17423     0.08058     0.10500
  31.37864     0.07636     0.17450     0.08082     0.10519
  31.90162     0.07659     0.17473     0.08102     0.10543
  32.42459     0.07697     0.17504     0.08127     0.10571
  32.94757     0.07725     0.17529     0.08150     0.10592
  33.47055     0.07754     0.17549     0.08167     0.10618
  33.99353     0.07778     0.17580     0.08188     0.10644
  34.51651     0.07802     0.17607     0.08216     0.10675
  35.03948     0.07827     0.17643     0.08250     0.10700
  35.56246     0.07861     0.17683     0.08280     0.10734
  36.08544     0.07892     0.17712     0.08317     0.10761
  36.60841     0.07977     0.17824     0.08394     0.10843
  37.13139     0.08008     0.17860     0.08422     0.10882
  37.65437     0.08066     0.17926     0.08471     0.10953
  38.17735     0.08154     0.18007     0.08558     0.11027
  38.70033     0.08225     0.18079     0.08635     0.11102
  39.22330     0.08266     0.18133     0.08682     0.11140
  39.74628     0.08339     0.18220     0.08749     0.11210
  40.26926     0.08506     0.18360     0.08888     0.11352
  40.79223     0.08533     0.18405     0.08922     0.11394
  41.31521     0.08624     0.18501     0.08982     0.11461
  41.83819     0.08656     0.18541     0.09018     0.11494
  42.36116     0.08708     0.18604     0.09061     0.11532
  42.88414     0.08835     0.18719     0.09161     0.11654
  43.40712     0.08890     0.18781     0.09208     0.11697
  43.93010     0.08998     0.18889     0.09301     0.11788
  44.45308     0.09068     0.18952     0.09371     0.11849
  44.97605     0.09234     0.19112     0.09532     0.12010
  45.49903     0.09331     0.19212     0.09633     0.12091
  46.02201     0.09486     0.19356     0.09775     0.12251
  46.54498     0.09835     0.19690     0.10078     0.12590
  47.06796     0.10154     0.19997     0.10386     0.12910
  47.59094     0.10705     0.20556     0.10884     0.13437
  48.11391     0.10978     0.20842     0.11197     0.13694
  48.63689     0.11222     0.21080     0.11437     0.13923
  49.15987     0.11289     0.21158     0.11512     0.13995
  49.68285     0.11379     0.21241     0.11624     0.14078
  50.20583     0.11422     0.21284     0.11667     0.14121
  50.72880     0.11422     0.21284     0.11667     0.14121
  51.25178     0.11466     0.21328     0.11710     0.14164
  51.77476     0.11509     0.21371     0.11754     0.14208
  52.29774     0.11509     0.21371     0.11754     0.14208
  52.82071     0.11509     0.21371     0.11754     0.14208
  53.34369     0.11509     0.21371     0.11754     0.14208
  53.86667     0.11509     0.21371     0.11754     0.14208
  54.38964     0.11509     0.21371     0.11754     0.14208
  54.91262     0.11509     0.21371     0.11754     0.14208
  55.43560     0.11509     0.21371     0.11754     0.14208
  55.95858     0.11509     0.21371     0.11754     0.14208
  56.48155     0.11509     0.21371     0.11754     0.14208
  57.00453     0.11509     0.21371     0.11754     0.14208
  57.52751     0.11509     0.21371     0.11754     0.14208
  58.05049     0.11509     0.21371     0.11754     0.14208
  58.57346     0.11509     0.21371     0.11754     0.14208
  59.09644     0.11509     0.21371     0.11754     0.14208
  59.61942     0.11509     0.21371     0.11754     0.14208
  60.14240     0.11509     0.21371     0.11754     0.14208
  60.66537     0.11509     0.21371     0.11754     0.14208
  61.18835     0.11509     0.21371     0.11754     0.14208
  61.71133     0.11509     0.21371     0.11754     0.14208
  62.23431     0.11509     0.21371     0.11754     0.14208
  62.75728     0.11509     0.21371     0.11754     0.14208
  63.28026     0.11509     0.21371     0.11754     0.14208
  63.80324     0.11509     0.21371     0.11754     0.14208
  64.32622     0.11509     0.21371     0.11754     0.14208
  64.84919     0.11509     0.21371     0.11754     0.14208
  65.37217     0.11509     0.21371     0.11754     0.14208
  65.89515     0.11509     0.21371     0.11754     0.14208
  66.41812     0.11509     0.21371     0.11754     0.14208
  66.94110     0.11509     0.21371     0.11754     0.14208
  67.46408     0.11509     0.21371     0.11754     0.14208
  67.98705     0.11509     0.21371     0.11754     0.14208
  68.51003     0.11509     0.21371     0.11754     0.14208
  69.03301     0.11509     0.21371     0.11754     0.14208
  69.55598     0.11509     0.21371     0.11754     0.14208
  70.07896     0.11509     0.21371     0.11754     0.14208
  70.60194     0.11509     0.21371     0.11754     0.14208
  71.12492     0.11509     0.21371     0.11754     0.14208
  71.64790     0.11509     0.21371     0.11754     0.14208
  72.17088     0.11509     0.21371     0.11754     0.14208
  72.69386     0.11509     0.21371     0.11754     0.14208
  73.21683     0.11509     0.21371     0.11754     0.14208
  73.73981     0.11509     0.21371     0.11754     0.14208
  74.26279     0.11509     0.21371     0.11754     0.14208
  74.78576     0.11509     0.21371     0.11754     0.14208
  75.30874     0.11509     0.21371     0.11754     0.14208
  75.83172     0.11509     0.21371     0.11754     0.14208
  76.35469     0.11509     0.21371     0.11754     0.14208
  76.87767     0.11509     0.21371     0.11754     0.14208
  77.40065     0.11509     0.21371     0.11754     0.14208
  77.92362     0.11509     0.21371     0.11754     0.14208
  78.44660     0.11509     0.21371     0.11754     0.14208
  78.96958     0.11509     0.21371     0.11754     0.14208
  79.49255     0.11509     0.21371     0.11754     0.14208
  80.01553     0.11509     0.21371     0.11754     0.14208
  80.53851     0.11509     0.21371     0.11754     0.14208
  81.06149     0.11509     0.21371     0.11754     0.14208
  81.58447     0.11509     0.21371     0.11754     0.14208
  82.10744     0.11509     0.21371     0.11754     0.14208
  82.63042     0.11509     0.21371     0.11754     0.14208
  83.15340     0.11509     0.21371     0.11754     0.14208
  83.67638     0.11509     0.21371     0.11754     0.14208
  84.19936     0.11509     0.21371     0.11754     0.14208
  84.72233     0.11509     0.21371     0.11754     0.14208
  85.24531     0.11509     0.21371     0.11754     0.14208
  85.76829     0.11509     0.21371     0.11754     0.14208
  86.29126     0.11509     0.21371     0.11754     0.14208
  86.81424     0.11509     0.21371     0.11754     0.14208
  87.33722     0.11509     0.21371     0.11754     0.14208
  87.86020     0.11509     0.21371     0.11754     0.14208
  88.38317     0.11509     0.21371     0.11754     0.14208
  88.90615     0.11509     0.21371     0.11754     0.14208
  89.42913     0.11509     0.21371     0.11754     0.14208
  89.95210     0.11509     0.21371     0.11754     0.14208
  90.47508     0.11509     0.21371     0.11754     0.14208
  90.99806     0.11509     0.21371     0.11754     0.14208
  91.52103     0.11509     0.21371     0.11754     0.14208
  92.04401     0.11509     0.21371     0.11754     0.14208
  92.56699     0.11509     0.21371     0.11754     0.14208
  93.08997     0.11509     0.21371     0.11754     0.14208
  93.61295     0.11509     0.21371     0.11754     0.14208
  94.13593     0.11509     0.21371     0.11754     0.14208
  94.65890     0.11509     0.21371     0.11754     0.14208
  95.18188     0.11509     0.21371     0.11754     0.14208
  95.70486     0.11509     0.21371     0.11754     0.14208
  96.22783     0.11509     0.21371     0.11754     0.14208
  96.75081     0.11509     0.21371     0.11754     0.14208
  97.27379     0.11509     0.21371     0.11754     0.14208
  97.79677     0.11509     0.21371     0.11754     0.14208
  98.31974     0.11509     0.21371     0.11754     0.14208
  98.84272     0.11509     0.21371     0.11754     0.14208
  99.36570     0.11509     0.21371     0.11754     0.14208
  99.88867     0.11509     0.21371     0.11754     0.14208
 100.41165     0.11509     0.21371     0.11754     0.14208
 100.93463     0.11509     0.21371     0.11754     0.14208
 101.45760     0.11509     0.21371     0.11754     0.14208
 101.98058     0.11509     0.21371     0.11754     0.14208
 102.50356     0.11509     0.21371     0.11754     0.14208
 103.02654     0.11509     0.21371     0.11754     0.14208
 103.54951     0.11509     0.21371     0.11754     0.14208
 104.07249     0.11509     0.21371     0.11754     0.14208
 104.59547     0.11509     0.21371     0.11754     0.14208
