#       r             rho(1)         rho(2)         rho(3)         rho(4)         rho(5)         rho(6)         rho(7)
   -114.6161346      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000
   -114.1161346      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000
   -113.6161346      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000
   -113.1161346      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000
   -112.6161346      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0006597      0.0000336
   -112.1161346      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0014322      0.0016900
   -111.6161346      0.0000000      0.0000000      0.0000000      0.0000000      0.0000040      0.0015227      0.0017733
   -111.1161346      0.0000000      0.0000000      0.0000000      0.0000000      0.0016100      0.0026051      0.0011568
   -110.6161346      0.0000000      0.0000000      0.0000056      0.0000000      0.0019454      0.0025955      0.0010351
   -110.1161346      0.0000000      0.0000000      0.0043183      0.0001345      0.0011520      0.0024121      0.0013274
   -109.6161346      0.0000000      0.0000000      0.0062509      0.0143184      0.0010720      0.0027676      0.0020167
   -109.1161346      0.0000000      0.0035866      0.0024682      0.0121192      0.0013690      0.0039565      0.0034041
   -108.6161346      0.0002202      0.0111000      0.0011272      0.0025915      0.0020727      0.0072717      0.0053839
   -108.1161346      0.0031663      0.0034889      0.0008558      0.0008206      0.0035570      0.0117573      0.0084757
   -107.6161346      0.0028373      0.0013770      0.0013410      0.0005076      0.0054095      0.0167465      0.0118878
   -107.1161346      0.0020006      0.0007501      0.0023841      0.0004427      0.0083044      0.0233665      0.0136242
   -106.6161346      0.0019606      0.0005300      0.0016740      0.0005212      0.0118197      0.0278257      0.0138268
   -106.1161346      0.0027652      0.0007189      0.0010888      0.0006653      0.0135242      0.0283301      0.0134033
   -105.6161346      0.0037595      0.0014547      0.0013242      0.0007437      0.0135786      0.0270540      0.0125987
   -105.1161346      0.0040005      0.0034169      0.0021055      0.0010512      0.0131983      0.0262174      0.0130238
   -104.6161346      0.0037523      0.0036466      0.0026891      0.0015003      0.0125667      0.0265968      0.0143944
   -104.1161346      0.0032447      0.0017260      0.0034113      0.0016716      0.0130286      0.0284462      0.0161197
   -103.6161346      0.0027508      0.0013866      0.0037867      0.0015579      0.0145057      0.0308351      0.0168530
   -103.1161346      0.0018902      0.0016084      0.0025354      0.0013154      0.0160780      0.0324659      0.0165832
   -102.6161346      0.0012521      0.0019062      0.0018181      0.0014170      0.0170755      0.0327124      0.0163094
   -102.1161346      0.0009175      0.0021704      0.0016732      0.0015075      0.0166961      0.0323722      0.0160996
   -101.6161346      0.0008326      0.0022056      0.0016892      0.0016116      0.0162518      0.0324178      0.0164263
   -101.1161346      0.0010047      0.0021608      0.0016452      0.0017028      0.0161877      0.0327437      0.0168674
   -100.6161346      0.0012465      0.0018982      0.0015835      0.0015251      0.0164071      0.0336267      0.0169210
   -100.1161346      0.0014474      0.0016676      0.0015051      0.0014050      0.0168858      0.0339125      0.0170964
    -99.6161346      0.0015531      0.0014026      0.0014539      0.0012841      0.0169042      0.0343448      0.0171500
    -99.1161346      0.0014539      0.0012385      0.0015275      0.0012017      0.0170916      0.0342680      0.0167745
    -98.6161346      0.0014514      0.0011120      0.0014651      0.0012969      0.0171292      0.0332072      0.0163014
    -98.1161346      0.0015651      0.0011664      0.0014258      0.0013730      0.0167545      0.0327413      0.0158835
    -97.6161346      0.0016036      0.0012785      0.0014082      0.0014026      0.0162333      0.0318326      0.0155352
    -97.1161346      0.0016252      0.0013650      0.0013546      0.0014322      0.0158963      0.0310192      0.0153799
    -96.6161346      0.0016060      0.0013978      0.0014114      0.0014907      0.0156153      0.0306702      0.0150901
    -96.1161346      0.0016036      0.0013594      0.0015403      0.0017220      0.0153855      0.0302122      0.0148307
    -95.6161346      0.0015715      0.0014803      0.0015731      0.0016820      0.0151301      0.0296935      0.0147523
    -95.1161346      0.0015019      0.0015867      0.0015691      0.0017084      0.0148459      0.0291074      0.0144328
    -94.6161346      0.0014154      0.0016596      0.0016684      0.0017405      0.0147595      0.0289665      0.0144256
    -94.1161346      0.0013922      0.0017845      0.0016836      0.0017212      0.0144520      0.0286727      0.0144416
    -93.6161346      0.0014178      0.0018205      0.0016812      0.0016868      0.0144240      0.0292091      0.0146602
    -93.1161346      0.0014346      0.0018678      0.0016628      0.0016292      0.0144553      0.0291299      0.0144985
    -92.6161346      0.0014619      0.0017933      0.0016548      0.0016260      0.0146434      0.0288224      0.0141118
    -92.1161346      0.0015283      0.0017429      0.0016052      0.0015835      0.0143856      0.0287872      0.0141847
    -91.6161346      0.0015427      0.0016140      0.0015563      0.0015451      0.0141598      0.0283477      0.0137980
    -91.1161346      0.0016652      0.0015867      0.0016588      0.0015916      0.0141438      0.0277232      0.0137708
    -90.6161346      0.0017453      0.0015587      0.0016692      0.0015891      0.0137579      0.0275431      0.0133737
    -90.1161346      0.0018045      0.0015699      0.0016660      0.0016340      0.0138564      0.0267674      0.0131199
    -89.6161346      0.0019078      0.0015755      0.0016276      0.0016900      0.0133360      0.0263527      0.0129934
    -89.1161346      0.0019270      0.0014330      0.0016740      0.0017645      0.0131159      0.0260348      0.0129790
    -88.6161346      0.0018157      0.0014995      0.0017244      0.0017445      0.0130286      0.0258723      0.0129045
    -88.1161346      0.0017941      0.0015859      0.0017276      0.0018405      0.0130262      0.0254680      0.0126796
    -87.6161346      0.0017076      0.0016300      0.0017981      0.0018637      0.0128269      0.0256529      0.0128805
    -87.1161346      0.0017196      0.0018533      0.0017389      0.0018525      0.0126828      0.0257234      0.0131111
    -86.6161346      0.0016692      0.0018950      0.0018445      0.0019334      0.0130006      0.0261677      0.0132456
    -86.1161346      0.0016444      0.0019742      0.0017405      0.0019022      0.0130334      0.0264279      0.0134169
    -85.6161346      0.0016692      0.0019350      0.0017813      0.0018734      0.0132352      0.0272437      0.0139669
    -85.1161346      0.0016780      0.0018637      0.0017212      0.0018846      0.0134890      0.0278914      0.0142295
    -84.6161346      0.0016236      0.0018061      0.0016228      0.0018133      0.0138924      0.0287968      0.0148515
    -84.1161346      0.0016812      0.0017116      0.0016804      0.0017341      0.0143151      0.0291795      0.0148924
    -83.6161346      0.0016924      0.0016652      0.0015883      0.0016172      0.0147747      0.0300401      0.0151654
    -83.1161346      0.0017949      0.0015851      0.0015403      0.0016412      0.0148411      0.0302323      0.0152278
    -82.6161346      0.0017509      0.0015291      0.0015419      0.0015651      0.0150877      0.0303059      0.0152174
    -82.1161346      0.0017196      0.0015243      0.0014931      0.0015899      0.0153319      0.0307638      0.0154768
    -81.6161346      0.0017413      0.0014939      0.0015451      0.0015843      0.0151413      0.0308439      0.0154544
    -81.1161346      0.0016804      0.0014851      0.0015627      0.0015107      0.0154632      0.0309536      0.0155801
    -80.6161346      0.0016684      0.0014915      0.0016732      0.0015187      0.0155248      0.0307839      0.0154912
    -80.1161346      0.0015851      0.0015755      0.0015980      0.0015811      0.0155296      0.0310184      0.0153215
    -79.6161346      0.0015379      0.0015539      0.0016092      0.0015243      0.0154392      0.0306614      0.0153639
    -79.1161346      0.0015827      0.0016324      0.0016612      0.0015948      0.0154440      0.0306301      0.0152742
