#       r                 g_61(r)         g_62(r)         g_63(r)         g_64(r)         g_65(r)         g_66(r)         g_67(r)
         0.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         0.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         0.75000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000        36.84799
         1.00000         0.00000         0.00000         0.00000         0.00000        21.10326         0.00000         0.00000
         1.25000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.50000         0.00000         0.00000         0.00000         0.00000         0.03038         4.63871         0.00163
         1.75000         0.00000         0.00000         0.00000         0.00000         2.18751         0.08976         0.89004
         2.00000         0.00000         0.00000         0.00002         0.00000         1.84596         0.88377         2.34278
         2.25000         0.01046         0.00000         0.00142         0.00000         0.40041         2.06082         0.68421
         2.50000         0.99099         0.00000         0.03346         0.00000         0.16561         2.03770         0.24996
         2.75000         2.24690         0.00003         0.25331         0.00001         0.48793         1.21920         0.65719
         3.00000         1.12487         0.00275         0.72851         0.00072         1.71907         0.89194         1.65049
         3.25000         0.41600         0.06217         1.12130         0.00903         2.35666         1.07884         2.34270
         3.50000         0.35098         0.39203         1.27464         0.08033         1.79547         1.39007         1.75338
         3.75000         0.85474         0.95156         1.28187         0.37095         1.32480         1.56958         1.22367
         4.00000         1.31970         1.33296         1.24427         0.85271         1.18615         1.44063         1.14640
         4.25000         1.14790         1.43034         1.15236         1.19926         1.18786         1.26095         1.17230
         4.50000         0.94036         1.38416         1.04543         1.29148         1.18064         1.22017         1.17744
         4.75000         0.89638         1.27572         0.97197         1.25761         1.16842         1.20133         1.16536
         5.00000         0.91187         1.15024         0.93532         1.19950         1.17970         1.15159         1.16815
         5.25000         0.92295         1.05320         0.92016         1.10201         1.18551         1.09819         1.17474
         5.50000         0.90584         1.00375         0.92311         0.99224         1.16119         1.07381         1.15123
         5.75000         0.88249         0.97982         0.94806         0.91325         1.11120         1.07604         1.09711
         6.00000         0.87211         0.96748         0.99381         0.87158         1.05493         1.07796         1.03754
         6.25000         0.86774         0.96613         1.03896         0.85123         1.02572         1.06593         1.00552
         6.50000         0.86541         0.98491         1.05881         0.85443         1.03006         1.04907         1.01104
         6.75000         0.86540         1.01459         1.04688         0.88970         1.05546         1.04076         1.03808
         7.00000         0.88223         1.04308         1.02527         0.95626         1.08264         1.04215         1.06617
         7.25000         0.92238         1.05359         1.00462         1.02685         1.10011         1.04879         1.08368
         7.50000         0.97239         1.04617         0.99038         1.07198         1.10100         1.05483         1.08462
         7.75000         1.01354         1.03274         0.98348         1.08079         1.08755         1.05918         1.07213
         8.00000         1.04189         1.01798         0.98120         1.06770         1.06920         1.05850         1.05433
         8.25000         1.05609         1.00519         0.98210         1.04929         1.05445         1.05298         1.03971
         8.50000         1.05578         0.99241         0.98534         1.03643         1.04702         1.04486         1.03186
         8.75000         1.04763         0.98112         0.99060         1.02390         1.04533         1.03679         1.03045
         9.00000         1.03738         0.97030         0.99688         1.01513         1.04691         1.03126         1.03200
         9.25000         1.02875         0.96368         1.00227         1.00929         1.04776         1.02845         1.03328
         9.50000         1.02225         0.96121         1.00360         1.00469         1.04688         1.02735         1.03264
         9.75000         1.01977         0.96383         1.00147         1.00210         1.04339         1.02709         1.02940
        10.00000         1.01774         0.96832         0.99878         0.99973         1.03870         1.02675         1.02483
        10.25000         1.01566         0.97533         0.99601         0.99851         1.03503         1.02593         1.02094
