#       r                rhoi_c        rho_+        rho_-
   -114.6161346      0.0000000      0.0000000      0.0000000
   -114.1161346      0.0000000      0.0000000      0.0000000
   -113.6161346      0.0000000      0.0000000      0.0000000
   -113.1161346      0.0000000      0.0000000      0.0000000
   -112.6161346      0.0000000      0.0000000      0.0000000
   -112.1161346      0.0000000      0.0000000      0.0000000
   -111.6161346      0.0000000      0.0000000      0.0000000
   -111.1161346      0.0000000      0.0000000      0.0000000
   -110.6161346      0.0000000      0.0000000      0.0000000
   -110.1161346      0.0000000      0.0000000      0.0000000
   -109.6161346      0.0003670      0.0003670      0.0000000
   -109.1161346      0.0007604      0.0007978     -0.0000374
   -108.6161346     -0.0003520      0.0015287     -0.0018807
   -108.1161346      0.0018845      0.0040295     -0.0021450
   -107.6161346      0.0055778      0.0093348     -0.0037570
   -107.1161346      0.0019207      0.0052857     -0.0033650
   -106.6161346     -0.0002814      0.0027561     -0.0030376
   -106.1161346     -0.0008807      0.0028927     -0.0037734
   -105.6161346     -0.0011971      0.0047478     -0.0059449
   -105.1161346     -0.0017214      0.0072022     -0.0089236
   -104.6161346     -0.0023300      0.0102221     -0.0125522
   -104.1161346     -0.0013280      0.0148276     -0.0161555
   -103.6161346     -0.0001450      0.0175470     -0.0176920
   -103.1161346     -0.0003956      0.0171364     -0.0175321
   -102.6161346      0.0000854      0.0164749     -0.0163895
   -102.1161346      0.0012008      0.0161973     -0.0149965
   -101.6161346      0.0011117      0.0163202     -0.0152085
   -101.1161346      0.0006392      0.0173067     -0.0166675
   -100.6161346     -0.0000744      0.0186473     -0.0187216
   -100.1161346     -0.0001720      0.0195543     -0.0197263
    -99.6161346      0.0000061      0.0195889     -0.0195828
    -99.1161346     -0.0000547      0.0193059     -0.0193605
    -98.6161346      0.0001204      0.0191701     -0.0190497
    -98.1161346     -0.0001619      0.0192494     -0.0194113
    -97.6161346     -0.0003162      0.0196746     -0.0199908
    -97.1161346     -0.0002481      0.0198324     -0.0200805
    -96.6161346     -0.0001591      0.0201334     -0.0202925
    -96.1161346     -0.0001975      0.0201397     -0.0203372
    -95.6161346     -0.0003566      0.0195608     -0.0199175
    -95.1161346     -0.0000667      0.0192992     -0.0193660
    -94.6161346      0.0000311      0.0188777     -0.0188466
    -94.1161346      0.0001280      0.0185196     -0.0183916
    -93.6161346      0.0001485      0.0183492     -0.0182007
    -93.1161346      0.0002714      0.0181696     -0.0178982
    -92.6161346      0.0002824      0.0179051     -0.0176226
    -92.1161346      0.0000391      0.0175957     -0.0175566
    -91.6161346      0.0002226      0.0174755     -0.0172529
    -91.1161346      0.0000219      0.0172780     -0.0172562
    -90.6161346      0.0001422      0.0175117     -0.0173695
    -90.1161346     -0.0002350      0.0174401     -0.0176752
    -89.6161346     -0.0002755      0.0172659     -0.0175414
    -89.1161346      0.0000697      0.0172614     -0.0171917
    -88.6161346     -0.0002694      0.0170184     -0.0172877
    -88.1161346     -0.0001598      0.0166108     -0.0167706
    -87.6161346     -0.0001662      0.0165573     -0.0167235
    -87.1161346     -0.0000289      0.0161852     -0.0162142
    -86.6161346      0.0000294      0.0159706     -0.0159411
    -86.1161346      0.0001593      0.0159203     -0.0157610
    -85.6161346      0.0001174      0.0158430     -0.0157256
    -85.1161346      0.0000052      0.0156673     -0.0156621
    -84.6161346      0.0003329      0.0157516     -0.0154187
    -84.1161346      0.0001605      0.0157603     -0.0155998
    -83.6161346      0.0000662      0.0159675     -0.0159014
    -83.1161346     -0.0000023      0.0160575     -0.0160598
    -82.6161346      0.0001567      0.0164870     -0.0163303
    -82.1161346     -0.0001248      0.0167832     -0.0169080
    -81.6161346      0.0000574      0.0172333     -0.0171759
    -81.1161346     -0.0004362      0.0174488     -0.0178850
    -80.6161346      0.0000096      0.0178926     -0.0178829
    -80.1161346     -0.0001689      0.0180084     -0.0181774
    -79.6161346     -0.0001280      0.0180540     -0.0181819
    -79.1161346      0.0002159      0.0183494     -0.0181335
    -78.6161346     -0.0000831      0.0183740     -0.0184571
    -78.1161346      0.0000549      0.0184827     -0.0184278
    -77.6161346     -0.0000982      0.0183870     -0.0184852
    -77.1161346      0.0000798      0.0185273     -0.0184475
    -76.6161346      0.0000684      0.0183346     -0.0182662
    -76.1161346      0.0000419      0.0183184     -0.0182765
    -75.6161346      0.0000404      0.0182728     -0.0182323
    -75.1161346      0.0001174      0.0185172     -0.0183998
    -74.6161346     -0.0001941      0.0181636     -0.0183577
    -74.1161346      0.0002176      0.0184118     -0.0181942
    -73.6161346     -0.0001514      0.0182389     -0.0183903
    -73.1161346     -0.0000131      0.0182287     -0.0182419
    -72.6161346      0.0001517      0.0182221     -0.0180704
    -72.1161346     -0.0002828      0.0180878     -0.0183706
    -71.6161346      0.0001480      0.0181728     -0.0180248
    -71.1161346     -0.0000304      0.0182542     -0.0182846
    -70.6161346     -0.0001930      0.0181030     -0.0182960
    -70.1161346     -0.0000508      0.0180802     -0.0181311
    -69.6161346      0.0001893      0.0180918     -0.0179025
    -69.1161346      0.0001331      0.0179068     -0.0177737
    -68.6161346     -0.0000394      0.0178873     -0.0179267
    -68.1161346     -0.0001404      0.0177724     -0.0179128
    -67.6161346      0.0000419      0.0178292     -0.0177873
    -67.1161346      0.0000973      0.0178273     -0.0177300
    -66.6161346     -0.0000324      0.0177963     -0.0178287
    -66.1161346      0.0001902      0.0179836     -0.0177934
    -65.6161346     -0.0002358      0.0179225     -0.0181584
    -65.1161346      0.0001995      0.0181770     -0.0179775
    -64.6161346      0.0000465      0.0181471     -0.0181006
    -64.1161346      0.0001039      0.0184435     -0.0183395
    -63.6161346     -0.0003578      0.0181694     -0.0185272
    -63.1161346     -0.0000004      0.0184858     -0.0184862
    -62.6161346      0.0001693      0.0185357     -0.0183664
    -62.1161346     -0.0002038      0.0183438     -0.0185475
    -61.6161346      0.0000388      0.0185441     -0.0185052
    -61.1161346     -0.0000435      0.0185595     -0.0186030
    -60.6161346      0.0001222      0.0186291     -0.0185068
    -60.1161346      0.0000495      0.0186160     -0.0185665
    -59.6161346     -0.0000800      0.0188438     -0.0189238
    -59.1161346     -0.0001325      0.0185660     -0.0186985
    -58.6161346      0.0002226      0.0187098     -0.0184872
    -58.1161346     -0.0000327      0.0184211     -0.0184538
    -57.6161346     -0.0000207      0.0182284     -0.0182491
    -57.1161346      0.0000303      0.0182077     -0.0181773
    -56.6161346     -0.0000032      0.0180903     -0.0180935
    -56.1161346     -0.0001194      0.0181232     -0.0182426
    -55.6161346      0.0000651      0.0179580     -0.0178929
    -55.1161346     -0.0000582      0.0179543     -0.0180125
    -54.6161346     -0.0000185      0.0178662     -0.0178848
    -54.1161346      0.0000180      0.0178784     -0.0178603
    -53.6161346     -0.0001083      0.0179040     -0.0180123
    -53.1161346      0.0000822      0.0181268     -0.0180447
    -52.6161346     -0.0000538      0.0180175     -0.0180713
    -52.1161346     -0.0000412      0.0181993     -0.0182405
    -51.6161346      0.0002160      0.0181773     -0.0179613
    -51.1161346      0.0000990      0.0179294     -0.0178303
    -50.6161346     -0.0001245      0.0180144     -0.0181389
    -50.1161346     -0.0000948      0.0182088     -0.0183036
    -49.6161346      0.0000693      0.0183138     -0.0182445
    -49.1161346      0.0000094      0.0182741     -0.0182647
    -48.6161346      0.0000815      0.0182111     -0.0181296
    -48.1161346      0.0001139      0.0183953     -0.0182814
    -47.6161346      0.0000042      0.0186288     -0.0186246
    -47.1161346     -0.0001467      0.0186569     -0.0188036
    -46.6161346     -0.0001330      0.0188977     -0.0190307
    -46.1161346      0.0000015      0.0188881     -0.0188867
