#           Q       S_NN(Q)          n(Q)
      0.1279126     47.9456215           3
      0.2558251     54.9602661           3
      0.3837377     29.1200066           3
      0.5116503     35.1045799           3
      0.6395628     41.7199364           3
      0.7674754     32.7780914           3
      0.8953879     34.4261055           3
      1.0233005     17.0756035           3
      1.1512130     21.5395489           3
      1.2791257     23.3125324           3
      1.4070382     14.0310488           3
      1.7907759      6.4243951           3
      2.1745136      3.6783874           3
      2.5582514      2.8139677           3
      2.9419889      2.4674592           3
      3.3257267      2.0424020           3
      3.7094643      1.9471514           3
      4.0932021      1.7313273           3
      4.4769397      1.4256518           3
      4.8606777      1.3564814           3
      5.2444153      1.4997389           3
      5.6281528      1.8115110           3
      6.0118904      2.0447669           3
      6.3956285      1.9741733           3
      6.7793660      1.7779655           3
      7.1631036      1.9359505           3
      7.5468416      2.5972552           3
