#       Q              S_11(Q)         S_22(Q)         S_33(Q)         S_44(Q)         S_55(Q)         S_66(Q)         S_77(Q)
       0.1279126       0.3481789       0.3668894       0.3831565       0.4025642      13.3873825      26.7477741      13.3865328
       0.2558251       0.2478291       0.2411735       0.3495071       0.2951693      15.3985300      30.7349854      15.3984718
       0.3837377       0.4628121       0.3690005       0.5477311       0.4958447       7.8098745      15.3230486       7.7867646
       0.5116503       0.5913061       0.5656650       0.8488292       0.7588574       9.6648312      19.0979328       9.6576681
       0.6395628       0.5099677       0.5432601       0.6636208       0.5697669      11.3885441      22.5999165      11.3927345
       0.7674754       0.7116176       0.9345595       0.9576036       0.7050522       8.8647346      17.4767551       8.8623610
       0.8953879       1.0055764       1.0665301       0.9297115       0.6213190       9.2383900      18.2318974       9.2419834
       1.0233005       1.2510718       1.2670115       1.3466221       0.9368142       4.4554338       8.5859289       4.4427304
       1.1512130       0.9870985       1.1609108       1.2065080       1.0405598       5.7089715      11.0683746       5.7032666
       1.2791257       0.9586332       1.0277567       1.0590928       1.0550381       6.2062554      12.2472715       6.2359858
       1.4070382       1.2307873       1.1779845       1.2476747       1.1729363       3.6533952       7.0566139       3.6645274
       1.7907759       1.5383289       1.2779768       1.2537372       1.3889759       1.7665154       3.0719066       1.7693665
       2.1745136       1.4449723       1.1491197       1.0289496       1.6694063       1.2379773       1.7519839       1.2428615
       2.5582514       1.2837341       1.0700194       0.9600000       1.9136181       1.2694712       1.5337913       1.2836822
       2.9419889       1.0289867       1.0043664       0.9496868       1.6916733       1.3010838       1.4440531       1.3046551
       3.3257267       0.9876931       1.0467379       1.0008678       1.2875354       1.0858402       1.4403350       1.0855123
       3.7094643       1.3022220       1.1397980       1.0584428       1.1564910       0.9137103       1.5138793       0.9293473
       4.0932021       1.5464258       1.3458691       1.1051137       1.3539332       0.8887327       1.3288716       0.9038568
       4.4769397       1.4872825       1.2594922       1.0814111       1.6886469       0.8958337       1.0097928       0.8959661
       4.8606777       1.3013388       1.1383873       1.0885799       1.9376459       0.9269554       0.9294273       0.9198493
       5.2444153       1.2539337       1.1464746       1.1388566       1.9476210       0.9188321       1.0405083       0.9169146
       5.6281528       1.3469783       1.1661971       1.1878809       1.6282108       0.8999273       1.1707987       0.8944137
       6.0118904       1.3419253       1.1970689       1.1622193       1.2262018       0.9165646       1.2275499       0.9072367
       6.3956285       1.2487038       1.1428735       1.0700109       1.1806902       0.9770595       1.1724793       0.9629475
       6.7793660       1.1849508       1.1000051       1.0109541       1.4883550       0.9928015       1.0501862       0.9857944
       7.1631036       1.2576225       1.2071865       1.0047812       1.9374878       1.0138552       1.0003822       1.0100408
       7.5468416       1.3871326       1.4677020       0.9970535       2.0298667       1.0930979       1.1100340       1.0934992
