#    Conf       T(K)      KE (Kcal/mol)  
 20904000      144.06418    16102.82227
 20905500      142.15607    15889.54199
 20907000      142.57487    15936.35449
 20908500      143.20972    16007.31445
 20910000      142.99184    15982.95996
 20911500      143.18721    16004.79883
 20913000      143.93004    16087.82813
 20914500      143.22151    16008.63281
 20916000      144.38208    16138.35449
 20917500      143.27400    16014.49902
 20919000      143.62050    16053.22949
 20920500      141.63036    15830.78027
 20922000      142.38527    15915.16016
 20923500      142.77054    15958.22461
 20925000      143.81262    16074.70508
 20926500      143.21297    16007.67773
 20928000      143.64304    16055.74902
 20929500      144.02600    16098.55469
 20931000      143.03131    15987.37305
 20932500      143.80858    16074.25195
 20934000      142.54810    15933.36035
 20935500      142.62225    15941.64941
 20937000      143.50740    16040.58789
 20938500      142.72287    15952.89746
 20940000      141.44196    15809.72168
 20941500      143.69002    16061.00000
 20943000      142.99419    15983.22363
 20944500      144.29950    16129.12500
 20946000      142.44136    15921.43066
 20947500      143.89302    16083.69043
 20949000      143.73309    16065.81543
 20950500      144.10294    16107.15332
 20952000      142.77303    15958.50293
 20953500      143.34894    16022.87598
 20955000      143.97769    16093.15430
 20956500      142.57402    15936.25879
 20958000      144.35632    16135.47656
 20959500      143.94420    16089.41211
 20961000      142.65833    15945.68262
 20962500      142.65184    15944.95703
 20964000      143.24910    16011.71582
 20965500      143.79028    16072.20703
 20967000      142.85159    15967.28418
 20968500      143.16859    16002.71777
 20970000      144.72289    16176.44824
 20971500      144.17651    16115.37793
 20973000      143.28395    16015.61230
 20974500      143.20180    16006.42871
 20976000      143.68755    16060.72266
 20977500      143.56435    16046.95313
 20979000      143.32507    16020.20801
 20980500      142.01537    15873.81543
 20982000      142.54706    15933.24512
 20983500      142.23344    15898.19141
 20985000      143.71974    16064.32324
 20986500      143.64354    16055.80469
 20988000      142.34956    15911.16992
 20989500      142.38023    15914.59766
 20991000      143.17830    16003.80176
 20992500      142.72560    15953.20215
 20994000      143.94661    16089.68164
 20995500      143.87691    16081.88965
 20997000      142.54086    15932.55273
 20998500      143.07724    15992.50684
 21000000      142.91562    15974.44141
 21001500      143.59062    16049.88965
 21003000      143.80598    16073.96191
 21004500      142.22479    15897.22461
 21006000      141.53099    15819.67480
 21007500      142.50293    15928.31250
 21009000      140.81490    15739.63184
 21010500      142.48555    15926.37109
 21012000      143.71518    16063.81250
 21013500      143.58025    16048.73047
 21015000      142.86021    15968.24805
 21016500      143.08363    15993.22168
 21018000      142.75764    15956.78418
 21019500      143.54819    16045.14746
 21021000      142.80022    15961.54199
 21022500      143.37575    16025.87207
 21024000      143.25153    16011.98730
 21025500      144.54562    16156.63574
 21027000      143.39749    16028.30371
 21028500      143.84627    16078.46484
 21030000      143.30171    16017.59668
 21031500      143.20621    16006.92188
 21033000      143.05673    15990.21387
 21034500      142.00357    15872.49707
 21036000      142.30215    15905.87109
 21037500      142.10997    15884.38965
 21039000      141.52904    15819.45605
 21040500      144.39108    16139.36230
 21042000      141.72954    15841.86621
 21043500      142.74081    15954.90234
 21045000      144.00697    16096.42871
 21046500      142.67635    15947.69629
 21048000      143.72720    16065.15527
 21049500      142.36401    15912.78613
 21051000      143.10309    15995.39551
 21052500      143.28210    16015.40625
 21054000      142.48792    15926.63477
 21055500      144.95750    16202.67285
 21057000      143.28777    16016.03906
 21058500      143.69527    16061.58691
 21060000      143.03931    15988.26660
 21061500      142.37379    15913.87793
 21063000      142.89417    15972.04297
 21064500      144.24649    16123.20020
 21066000      142.67299    15947.32031
 21067500      142.74164    15954.99512
 21069000      143.23169    16009.76953
 21070500      142.45224    15922.64648
 21072000      143.97520    16092.87695
 21073500      143.64919    16056.43457
 21075000      142.61990    15941.38770
 21076500      143.58705    16049.49121
 21078000      143.13196    15998.62207
 21079500      142.09662    15882.89648
 21081000      144.58337    16160.85449
 21082500      143.25514    16012.39063
 21084000      143.08116    15992.94434
 21085500      142.29697    15905.29199
 21087000      141.75165    15844.33789
