#       r                 g_11(r)         g_12(r)         g_22(r)
         0.25000         0.00000         0.00000         0.00000
         0.50000         0.00000         0.00000         0.00000
         0.75000         0.00001         0.00001         0.00000
         1.00000         1.62212         1.63842         1.60627
         1.25000         1.31958         1.32939         1.30706
         1.50000         0.67710         0.67848         0.67445
         1.75000         0.85801         0.85876         0.85897
         2.00000         1.19029         1.19163         1.18984
         2.25000         1.04865         1.05003         1.04445
         2.50000         0.88611         0.88719         0.88325
         2.75000         0.99088         0.99002         0.99357
         3.00000         1.06536         1.06467         1.06824
         3.25000         0.99659         0.99562         0.99651
         3.50000         0.96174         0.96216         0.95998
         3.75000         1.00816         1.00943         1.00694
         4.00000         1.02051         1.02232         1.01995
         4.25000         0.99149         0.99199         0.99020
         4.50000         0.98806         0.98880         0.98562
         4.75000         1.00688         1.00828         1.00563
         5.00000         1.00528         1.00687         1.00345
         5.25000         0.99442         0.99565         0.99287
         5.50000         0.99662         0.99747         0.99641
         5.75000         1.00408         1.00380         1.00289
         6.00000         1.00107         1.00143         1.00151
         6.25000         0.99697         0.99773         0.99676
         6.50000         0.99946         1.00016         0.99762
         6.75000         1.00168         1.00250         0.99989
         7.00000         0.99945         1.00057         0.99902
         7.25000         0.99863         0.99948         0.99781
         7.50000         1.00010         1.00030         0.99948
         7.75000         1.00079         1.00063         1.00059
         8.00000         0.99960         1.00008         0.99918
         8.25000         0.99934         0.99997         0.99893
