# mol        x          y           z          Q_l( 4)     Q_l( 6)     Q_l( 8)     Q_l(10)     Q_l(12)
     1     7.51716    14.76788    16.13851     0.13796     0.36541     0.35648     0.33849     0.32842
     2     5.92701     9.14186     7.58987     0.21071     0.34152     0.29253     0.27477     0.29180
     3    16.78341    10.40290    16.70922     0.23098     0.26017     0.31520     0.19551     0.28121
     4     8.30915     1.82579     7.87765     0.16731     0.27791     0.18111     0.23154     0.28253
     5     8.82475     1.39535    12.31841     0.19291     0.31636     0.24846     0.31964     0.25938
     6     0.29670     4.79738     0.22908     0.14068     0.26107     0.28506     0.17983     0.26444
     7     4.36087     4.94446    13.84101     0.13763     0.25572     0.27729     0.24070     0.22584
     8     4.63911    14.26647     3.03470     0.19354     0.32682     0.21492     0.28137     0.32099
     9    15.55578     6.62818    13.16759     0.26530     0.30864     0.24646     0.17398     0.25504
    10    16.77672    12.05077    12.06257     0.08932     0.35522     0.22766     0.20530     0.18112
    11     6.93499     7.42916    12.12088     0.18944     0.42663     0.29990     0.25286     0.38802
    12    14.60758     9.23487     4.09966     0.20305     0.33796     0.35279     0.27239     0.29729
    13     7.80069     8.42638     9.01217     0.12489     0.24250     0.21070     0.15904     0.26966
    14     0.18038     5.39465     4.02128     0.19772     0.32329     0.23281     0.31571     0.31199
    15     8.74567     1.24634     6.55045     0.24681     0.30315     0.22521     0.20805     0.27815
    16     4.01330     2.97165     5.57225     0.15795     0.42518     0.33607     0.33407     0.25923
    17     1.14345     2.04872     6.62224     0.13075     0.34044     0.22762     0.19737     0.27743
    18     8.29274    15.74628     3.48720     0.13231     0.31431     0.29961     0.27287     0.24335
    19     5.15576     2.16003    13.44622     0.16206     0.31099     0.23226     0.25154     0.35844
    20    10.39162     2.42923    13.78395     0.14708     0.26757     0.29395     0.21069     0.27132
    21     9.27491     6.80793     3.36564     0.12469     0.33363     0.22091     0.30786     0.23639
    22    16.10842    16.63613    10.70691     0.13697     0.35658     0.18103     0.22698     0.30134
    23    11.36241     0.00137     5.87848     0.18266     0.25717     0.26525     0.28591     0.21329
    24    10.82733    10.04848     1.78334     0.19291     0.37506     0.31293     0.30067     0.29840
    25    16.77547     5.19315     5.15824     0.10577     0.27199     0.21108     0.21543     0.27943
    26    10.99734    14.59376     4.69035     0.14843     0.30479     0.29959     0.33692     0.31798
    27     4.40319    12.32562    13.94199     0.17538     0.35195     0.23833     0.31580     0.27867
    28     4.97791    10.24144     2.79289     0.14293     0.26103     0.30222     0.29278     0.32229
    29    11.38230     9.98496     5.47782     0.16839     0.38227     0.25530     0.25328     0.29659
    30     3.99066     1.27472    10.40640     0.21894     0.39128     0.37592     0.30386     0.35411
    31     8.02765     1.29967     2.45357     0.20123     0.33035     0.29544     0.28131     0.26538
    32     3.69401     7.02331    16.45841     0.19740     0.21146     0.33339     0.20373     0.25851
    33    14.06515     0.94404     8.08432     0.17466     0.29805     0.28905     0.26233     0.26984
    34     6.06957    15.01915     4.16537     0.21421     0.23979     0.24124     0.19877     0.34517
    35     9.56406     0.45965     8.20224     0.09390     0.26971     0.26290     0.24893     0.22871
    36    16.38441     0.12305     3.86744     0.26947     0.26009     0.33523     0.26533     0.34635
    37     7.18545    11.21512     7.48033     0.16388     0.33651     0.32433     0.25736     0.31031
    38     6.24151     7.08269     4.87301     0.18835     0.30468     0.24072     0.30709     0.27133
    39     7.35197     6.36983     2.12363     0.17475     0.31620     0.29134     0.26571     0.29455
    40     3.64840     2.65176     9.83465     0.19420     0.29657     0.34563     0.31181     0.27529
    41     5.90109     3.30089     3.23812     0.11255     0.41456     0.29668     0.22564     0.28743
    42    13.36338     9.02595     9.31093     0.12533     0.23338     0.22024     0.17002     0.24385
    43     7.83919     2.93418     5.18774     0.23241     0.31920     0.33470     0.26507     0.31128
    44    11.75056     2.67998    11.44628     0.14848     0.32823     0.26589     0.34054     0.30884
    45     9.34284    12.80254    13.79091     0.11238     0.31324     0.25447     0.21800     0.23668
    46    15.58167    15.01761     4.54799     0.19185     0.26804     0.39351     0.18076     0.27354
    47     2.50976     0.54770     0.31088     0.11507     0.25348     0.28030     0.20197     0.20882
    48     6.33122     9.48575    14.51013     0.18775     0.31540     0.26514     0.28264     0.28681
    49     8.59745     8.70693     6.62257     0.28535     0.45655     0.34742     0.36817     0.38171
    50     3.44567    13.56624     4.14311     0.16236     0.25391     0.27308     0.24196     0.24953
    51    11.14128    10.93163     1.39337     0.20960     0.38826     0.27744     0.38079     0.27549
    52     5.50188    13.30518     8.75823     0.15808     0.30872     0.28927     0.30018     0.23047
    53     5.77724     3.01024    11.21099     0.19337     0.28354     0.38878     0.22665     0.22962
    54     2.93395     3.51939    15.52397     0.28580     0.35901     0.25947     0.28883     0.32714
    55     6.86126     2.35436    10.98409     0.16156     0.39207     0.29738     0.25318     0.28896
    56     6.07100     4.39529     0.43387     0.18953     0.31205     0.34054     0.26638     0.26684
    57     8.13557     5.62031     2.04677     0.18370     0.27195     0.32574     0.27918     0.23587
    58    12.03242    10.92809     4.80942     0.17240     0.25207     0.33604     0.23692     0.29479
    59    12.22071    16.24883    11.12740     0.18378     0.35227     0.22572     0.26028     0.25874
    60    12.84893    14.15101    14.70523     0.12503     0.26992     0.27769     0.30617     0.28978
    61    13.83779    14.16290     4.80262     0.23784     0.37152     0.29336     0.28232     0.26204
    62     3.37613    11.74053     9.00931     0.18185     0.29660     0.40709     0.32127     0.29723
    63     0.94282    10.56728    16.64667     0.16032     0.20067     0.26852     0.27476     0.37780
    64     4.02542     8.38179    11.79482     0.12315     0.33147     0.27817     0.31894     0.32811
    65     0.34669     4.31059     9.35217     0.13431     0.22408     0.27666     0.19885     0.20182
