#           Q        S_NN(Q)          S_cc(Q)       S_11(Q)        S_22(Q)           S_12(Q)         n(Q)
      0.3740891      0.0404512      0.1502228      0.1816033      0.1480188     -0.1445854           6
      0.7481781      0.0458958      0.2342072      0.2534558      0.2398812     -0.2237206          13
      1.1222672      0.0444185      0.1727194      0.1944018      0.1766847     -0.1633340          19
      1.4963562      0.0462217      0.2180453      0.2380139      0.2234681     -0.2076301          39
      1.8704453      0.0473640      0.2085364      0.2313754      0.2129053     -0.1984583          55
      2.2445345      0.0520181      0.2325965      0.2532646      0.2396014     -0.2204239          72
      2.6186235      0.0570902      0.2263235      0.2513552      0.2328376     -0.2135513          91
      2.9927125      0.0640491      0.2157457      0.2450720      0.2224324     -0.2017276         114
      3.3668015      0.0767333      0.2212819      0.2550004      0.2300004     -0.2041337         169
      3.7408905      0.0969850      0.2227360      0.2646225      0.2341208     -0.2008792         178
      4.1149797      0.1265278      0.2258322      0.2820622      0.2398931     -0.1977138         210
      4.4890690      0.1700177      0.2292623      0.3040330      0.2485494     -0.1912823         253
      4.8631577      0.2435237      0.2218191      0.3256468      0.2510790     -0.1666010         306
      5.2372470      0.3334910      0.2268211      0.3768134      0.2629890     -0.1531557         145
      5.6113358      0.6222731      0.2325394      0.4659224      0.3232641     -0.0834567           3
      5.9854250      1.1326191      0.2077373      0.7772431      0.3005364      0.0274198           3
      6.3595142      1.6463865      0.2351087      0.9808702      0.4110261      0.1272451           3
      6.7336030      2.2747931      0.2150355      1.2174175      0.4721073      0.2926342           3
      7.1076922      2.1457224      0.2351667      1.1709846      0.4824952      0.2461213           3
      7.4817810      1.5059510      0.2373615      0.9878823      0.3641000      0.0769844           3
      7.8558702      1.1841782      0.1796417      0.6659694      0.3311964      0.0935062           3
      8.2299595      0.9241581      0.1941037      0.6248378      0.2867932      0.0062636           3
      8.6040487      0.7835892      0.2173624      0.5961407      0.2891754     -0.0508635           3
      8.9781380      0.6432018      0.2311053      0.5415982      0.2902641     -0.0943303           3
      9.3522263      0.6635740      0.2203134      0.4943371      0.3044889     -0.0676260           3
      9.7263155      0.6239069      0.2467524      0.5125348      0.3218280     -0.1052280           3
     10.1004047      0.6712749      0.2184523      0.5183669      0.2922536     -0.0696728           3
     10.4744940      0.7820557      0.1924317      0.5622219      0.2682260     -0.0241961           3
     10.8485832      0.8263631      0.2307622      0.5768681      0.3331597     -0.0418323           3
     11.2226715      0.9685151      0.2217961      0.6475847      0.3317392     -0.0054044           3
     11.5967607      1.0961790      0.2192360      0.6986795      0.3449058      0.0262969           3
     11.9708500      1.1603240      0.2100153      0.7487936      0.3274051      0.0420627           3
     12.3449392      1.2304887      0.2336709      0.7656251      0.3778539      0.0435049           3
     12.7190285      1.1320708      0.2449272      0.7559258      0.3667863      0.0046794           3
     13.0931168      1.1375057      0.2137757      0.7100708      0.3447949      0.0413199           3
     13.4672060      1.1420816      0.2252530      0.7178281      0.3596565      0.0322985           3
     13.8412952      1.0318205      0.2197855      0.6796494      0.3337940      0.0091886           3
     14.2153845      1.0177568      0.2099597      0.6269616      0.3407044      0.0250454           3
     14.5894737      0.9736165      0.2206105      0.6313893      0.3397557      0.0012357           3
     14.9635620      0.9411465      0.2383245      0.6285645      0.3569148     -0.0221664           3
     15.3376513      0.9009743      0.2292066      0.6086306      0.3398155     -0.0237359           3
     15.7117405      0.8843977      0.2186997      0.6032538      0.3212203     -0.0200382           3
     16.0858288      0.8916209      0.2324169      0.6074694      0.3420937     -0.0289711           3
     16.4599190      0.8919097      0.2369677      0.6232573      0.3411242     -0.0362359           3
     16.8340073      0.8861864      0.2094361      0.5898240      0.3146351     -0.0091363           3
     17.2080975      0.9516777      0.2232772      0.6455616      0.3293608     -0.0116223           3
     17.5821857      1.0149370      0.2165478      0.6884287      0.3189235      0.0037924           3
     17.9562759      0.9972019      0.2150468      0.6312860      0.3393227      0.0132965           3
     18.3303642      1.0830543      0.2434706      0.7209802      0.3657332     -0.0018295           3
     18.7044525      1.0960650      0.2308177      0.7207614      0.3512014      0.0120511           3
     19.0785427      1.1044230      0.2103046      0.6637501      0.3517159      0.0444785           3
     19.4526310      1.0747684      0.2323469      0.7135519      0.3500011      0.0056077           3
     19.8267212      1.0166399      0.2195883      0.6657770      0.3353729      0.0077450           3
     20.2008095      0.9452280      0.2218171      0.6421005      0.3267514     -0.0118119           3
     20.5748978      0.9709808      0.2264535      0.6734555      0.3266158     -0.0145452           3
     20.9489880      1.0159554      0.2299188      0.6756589      0.3456995     -0.0027015           3
     21.3230762      1.0019897      0.2171717      0.6662080      0.3266509      0.0045654           3
     21.6971664      0.8955221      0.2256212      0.6116558      0.3311090     -0.0236213           3
     22.0712547      0.9474457      0.2308856      0.6485249      0.3378805     -0.0194798           3
     22.4453430      0.9406052      0.2045379      0.6472335      0.2967297     -0.0016790           3
     22.8194332      0.9905573      0.2293436      0.6708907      0.3387561     -0.0095447           3
     23.1935215      0.9348047      0.2114930      0.6407923      0.3084475     -0.0072175           3
     23.5676117      1.0494601      0.2236850      0.6902502      0.3402224      0.0094937           3
     23.9417000      0.9719125      0.2271582      0.6753932      0.3270146     -0.0152477           3
     24.3157883      1.0187005      0.2071649      0.6731402      0.3137466      0.0159068           3
     24.6898785      1.0778670      0.2238818      0.6931528      0.3485335      0.0180904           3
     25.0639668      1.0005910      0.2144833      0.6646539      0.3229294      0.0065039           3
