#       Q              S_11(Q)         S_22(Q)
       0.3740891       0.2723708       0.4441675
       0.7481781       0.3801363       0.7198237
       1.1222672       0.2915663       0.5301865
       1.4963562       0.3569762       0.6705719
       1.8704453       0.3470197       0.6388755
       2.2445345       0.3798494       0.7189839
       2.6186235       0.3769857       0.6986875
       2.9927125       0.3675620       0.6674642
       3.3668015       0.3824528       0.6901736
       3.7408905       0.3968842       0.7025380
       4.1149797       0.4230404       0.7198594
       4.4890690       0.4559925       0.7458348
       4.8631577       0.4884091       0.7534254
       5.2372470       0.5651494       0.7891641
       5.6113358       0.6987962       0.9700349
       5.9854250       1.1657190       0.9018348
       6.3595142       1.4711214       1.2333866
       6.7336030       1.8258979       1.4166762
       7.1076922       1.7562573       1.4478476
       7.4817810       1.4816383       1.0925732
       7.8558702       0.9988292       0.9938377
       8.2299595       0.9371395       0.8605946
       8.6040487       0.8940994       0.8677430
       8.9781380       0.8122957       0.8710102
       9.3522263       0.7414129       0.9136953
       9.7263155       0.7687061       0.9657255
      10.1004047       0.7774532       0.8769800
      10.4744940       0.8432274       0.8048793
      10.8485832       0.8651939       0.9997289
      11.2226715       0.9712556       0.9954665
      11.5967607       1.0478882       1.0349761
      11.9708500       1.1230500       0.9824609
      12.3449392       1.1482940       1.1338451
      12.7190285       1.1337469       1.1006340
      13.0931168       1.0649731       1.0346434
      13.4672060       1.0766076       1.0792391
      13.8412952       1.0193466       1.0016323
      14.2153845       0.9403248       1.0223688
      14.5894737       0.9469656       1.0195221
      14.9635620       0.9427289       1.0710121
      15.3376513       0.9128318       1.0197014
      15.7117405       0.9047675       0.9639019
      16.0858288       0.9110903       1.0265377
      16.4599190       0.9347691       1.0236287
      16.8340073       0.8846254       0.9441414
      17.2080975       0.9682214       0.9883294
      17.5821857       1.0325140       0.9570099
      17.9562759       0.9468107       1.0182228
      18.3303642       1.0813351       1.0974740
      18.7044525       1.0810070       1.0538677
      19.0785427       0.9955007       1.0554115
      19.4526310       1.0701941       1.0502659
      19.8267212       0.9985407       1.0063703
      20.2008095       0.9630303       0.9804992
      20.5748978       1.0100570       0.9800923
      20.9489880       1.0133617       1.0373577
      21.3230762       0.9991871       0.9801977
      21.6971664       0.9173690       0.9935753
      22.0712547       0.9726657       1.0138949
      22.4453430       0.9707290       0.8904117
      22.8194332       1.0062103       1.0165224
      23.1935215       0.9610684       0.9255740
      23.5676117       1.0352459       1.0209227
      23.9417000       1.0129632       0.9812891
      24.3157883       1.0095841       0.9414752
      24.6898785       1.0395992       1.0458618
      25.0639668       0.9968562       0.9690306
