#    Conf       T(K)      KE (Kcal/mol)  PE Kcal/mol     Pressure (bar)      Pxx(bar)     Pyy(bar)        Pzz(bar)        Pxy(bar)     Pxz(bar)        Pyz(bar)  
   602000        1.46254       17.43354   -18924.87305        3.52325        3.51208        3.46100        3.59666        0.09896       -0.07124       -0.04332
   602010        1.45097       17.29556   -18879.51172        3.56502        3.64602        3.52514        3.52390        0.07210       -0.04345        0.02915
   602020        1.44486       17.22280   -18862.95703        3.58718        3.67954        3.60253        3.47945        0.05213        0.00639        0.06315
   602030        1.43264       17.07714   -18816.58008        3.63809        3.72959        3.62489        3.55979        0.03544       -0.01521        0.06214
   602040        1.42954       17.04018   -18815.37109        3.64864        3.78059        3.58208        3.58325        0.03844       -0.07623        0.10537
   602050        1.43029       17.04914   -18832.71680        3.63584        3.77143        3.58425        3.55185        0.06574       -0.06848        0.19991
   602060        1.43054       17.05210   -18846.83984        3.62134        3.71786        3.60315        3.54302        0.03268       -0.02458        0.27829
   602070        1.43709       17.13013   -18892.00195        3.58056        3.66084        3.52844        3.55241       -0.07321       -0.03805        0.33422
   602080        1.43508       17.10617   -18894.46680        3.58094        3.70652        3.56749        3.46879       -0.13192       -0.06240        0.34852
   602090        1.42752       17.01615   -18868.98828        3.60471        3.70913        3.68813        3.41686       -0.16418       -0.06770        0.31688
   602100        1.42980       17.04323   -18892.03516        3.58458        3.64229        3.69852        3.41292       -0.17855       -0.06908        0.26211
   602110        1.42268       16.95842   -18867.50391        3.59985        3.59180        3.67857        3.52917       -0.16657       -0.08674        0.18769
   602120        1.40918       16.79750   -18809.67773        3.64246        3.62101        3.62045        3.68593       -0.11835       -0.12154        0.15877
   602130        1.41463       16.86241   -18844.18164        3.60611        3.63816        3.56209        3.61807       -0.08965       -0.10934        0.17801
   602140        1.42343       16.96732   -18893.29102        3.55798        3.61155        3.59216        3.47024       -0.02987       -0.10644        0.13579
   602150        1.42601       16.99811   -18909.92969        3.54785        3.57529        3.60486        3.46341        0.05000       -0.06852        0.08827
   602160        1.41623       16.88149   -18863.42969        3.60181        3.62374        3.62997        3.55172        0.06075       -0.00458        0.06337
   602170        1.40332       16.72760   -18798.87695        3.67139        3.72025        3.70232        3.59158        0.01434        0.01518        0.14407
   602180        1.40474       16.74461   -18801.87109        3.67566        3.71093        3.78003        3.53601        0.00707        0.03335        0.18377
   602190        1.40703       16.77186   -18803.91406        3.67507        3.67366        3.78747        3.56408        0.10947        0.04493        0.23856
   602200        1.40701       16.77164   -18788.50000        3.69155        3.68707        3.71874        3.66883        0.14722        0.05587        0.26136
   602210        1.40916       16.79719   -18776.94727        3.70346        3.70652        3.66638        3.73749        0.12516        0.05064        0.26567
   602220        1.42183       16.94830   -18810.57422        3.67128        3.68354        3.67603        3.65427        0.09975        0.03030        0.22541
   602230        1.43241       17.07436   -18828.00781        3.65254        3.74688        3.63625        3.57449        0.11854       -0.04211        0.19659
   602240        1.44046       17.17034   -18830.23633        3.64929        3.80039        3.58678        3.56070        0.08260       -0.08966        0.17379
   602250        1.44733       17.25217   -18827.47070        3.65699        3.85506        3.56769        3.54821        0.01679        0.01012        0.17695
   602260        1.44348       17.20637   -18775.04297        3.70523        3.94398        3.56964        3.60207       -0.00847        0.11815        0.18482
   602270        1.44957       17.27898   -18776.93945        3.70384        3.84378        3.60619        3.66155       -0.00576        0.09700        0.20242
   602280        1.45917       17.39335   -18801.38672        3.67895        3.70370        3.60555        3.72760        0.02193       -0.00073        0.12065
   602290        1.45515       17.34539   -18762.83008        3.70670        3.67738        3.65032        3.79241        0.08215       -0.00832        0.02675
   602300        1.45503       17.34397   -18748.00586        3.72103        3.63117        3.69590        3.83602        0.05790        0.01596        0.02222
   602310        1.44821       17.26268   -18702.60352        3.76215        3.69733        3.73779        3.85135       -0.01919        0.06038        0.00960
   602320        1.45215       17.30969   -18712.90039        3.75464        3.78111        3.65601        3.82680       -0.02008        0.09528       -0.01856
   602330        1.47046       17.52795   -18796.81250        3.68311        3.72815        3.56097        3.76020        0.01885        0.04725       -0.10714
   602340        1.47983       17.63968   -18839.17773        3.64593        3.68660        3.54000        3.71119        0.01417       -0.01474       -0.12580
   602350        1.47152       17.54057   -18797.04883        3.68703        3.71146        3.63548        3.71416        0.02450       -0.03129       -0.04747
   602360        1.45734       17.37152   -18728.38281        3.75790        3.75663        3.75464        3.76243        0.06685       -0.02215       -0.04589
   602370        1.46328       17.44231   -18761.78125        3.74158        3.75500        3.71652        3.75320        0.07136        0.04849       -0.04563
   602380        1.46299       17.43884   -18765.86523        3.74136        3.80198        3.67783        3.74426        0.07918        0.07019       -0.04270
   602390        1.45709       17.36861   -18743.82227        3.75989        3.84750        3.70694        3.72523        0.11312        0.11897       -0.05092
   602400        1.46285       17.43729   -18781.43945        3.72359        3.83218        3.66804        3.67057        0.11078        0.19051       -0.03396
   602410        1.46298       17.43872   -18792.93359        3.71256        3.75988        3.66086        3.71695        0.07664        0.13143        0.06199
   602420        1.45411       17.33306   -18761.49609        3.74651        3.76399        3.70656        3.76898        0.03978        0.05235        0.12306
   602430        1.44848       17.26590   -18747.42188        3.76708        3.75468        3.77298        3.77358        0.01283        0.07860        0.11107
   602440        1.44073       17.17360   -18723.27734        3.79422        3.84218        3.78878        3.75169       -0.02364        0.11895        0.06454
   602450        1.43966       17.16084   -18732.06641        3.78832        3.92912        3.70242        3.73341       -0.04728        0.11679       -0.02564
   602460        1.45184       17.30595   -18807.03516        3.71473        3.90889        3.62353        3.61177       -0.02869        0.06929       -0.07308
   602470        1.44249       17.19456   -18775.05273        3.72761        3.95653        3.67359        3.55270       -0.00516       -0.03473       -0.05577
   602480        1.43578       17.11453   -18756.34180        3.73828        3.93173        3.69217        3.59095        0.01037       -0.08143       -0.05999
   602490        1.42061       16.93368   -18694.04688        3.78277        3.94296        3.68816        3.71718        0.05382       -0.06910       -0.01813
   602500        1.42616       16.99994   -18733.22656        3.73135        3.81749        3.58249        3.79406        0.08363       -0.04780        0.07428
   602510        1.43952       17.15915   -18809.66602        3.64459        3.65794        3.53469        3.74115        0.07036        0.02390        0.09174
   602520        1.45282       17.31772   -18885.50781        3.56348        3.60826        3.52215        3.56004        0.02722        0.06893        0.07377
   602530        1.45856       17.38614   -18924.84375        3.52603        3.61097        3.51185        3.45528        0.00621        0.03486       -0.01118
   602540        1.43405       17.09397   -18814.21094        3.62422        3.73744        3.56887        3.56636       -0.02013        0.00657       -0.03253
   602550        1.42786       17.02016   -18794.59961        3.65190        3.74857        3.61719        3.58995       -0.04853       -0.01409       -0.04503
   602560        1.42078       16.93570   -18768.93750        3.68389        3.79787        3.67686        3.57694       -0.08159       -0.04694       -0.01861
   602570        1.40566       16.75550   -18700.90039        3.74773        3.82814        3.74736        3.66769       -0.10339       -0.07231        0.02720
   602580        1.41988       16.92507   -18776.11133        3.67920        3.75035        3.62601        3.66124       -0.03447       -0.05070        0.09093
   602590        1.44356       17.20735   -18896.59961        3.56640        3.60753        3.54707        3.54461        0.07783       -0.03562        0.11255
   602600        1.43673       17.12592   -18864.33789        3.58041        3.58907        3.66539        3.48675        0.14786        0.03090        0.14310
   602610        1.45240       17.31262   -18944.34570        3.50051        3.50295        3.66345        3.33512        0.19846        0.06144        0.14763
   602620        1.46204       17.42753   -18995.31836        3.45961        3.37886        3.64249        3.35749        0.17367        0.05834        0.10364
   602630        1.44848       17.26592   -18932.45313        3.53000        3.39272        3.61892        3.57835        0.12634        0.04457        0.06832
   602640        1.44949       17.27797   -18943.83203        3.53810        3.42686        3.55067        3.63678        0.17164        0.02417        0.01979
   602650        1.44650       17.24232   -18936.92578        3.55566        3.51665        3.52916        3.62116        0.18873       -0.00096        0.00944
   602660        1.41486       16.86522   -18788.26953        3.68795        3.64183        3.66088        3.76114        0.13153        0.03509       -0.02363
   602670        1.40463       16.74323   -18745.62695        3.72559        3.77523        3.72474        3.67679        0.04575        0.07342       -0.01514
   602680        1.40833       16.78740   -18770.11914        3.69449        3.90215        3.60890        3.57242       -0.00157        0.04195        0.01007
   602690        1.41728       16.89399   -18818.50391        3.63940        3.78093        3.51104        3.62622        0.06496       -0.06273       -0.02029
   602700        1.42324       16.96509   -18850.01563        3.60314        3.66084        3.48140        3.66718        0.17452       -0.16425        0.00165
   602710        1.42108       16.93932   -18839.12305        3.60997        3.63513        3.52102        3.67378        0.16147       -0.09995        0.05127
   602720        1.41695       16.89015   -18816.00000        3.63239        3.61337        3.51592        3.76789        0.07858       -0.04010        0.08099
   602730        1.41696       16.89021   -18810.11328        3.63883        3.65818        3.45721        3.80110       -0.02452       -0.04965        0.04587
   602740        1.42907       17.03461   -18860.95313        3.59478        3.67727        3.40854        3.69852       -0.06963       -0.02544        0.04270
   602750        1.43810       17.14215   -18893.06836        3.56763        3.69462        3.41825        3.59001       -0.04923        0.00635        0.01001
   602760        1.43956       17.15955   -18885.17188        3.57923        3.66524        3.46400        3.60844       -0.03112       -0.06597       -0.03685
   602770        1.44362       17.20800   -18888.29297        3.58119        3.63478        3.52291        3.58588       -0.02098       -0.03131       -0.04566
   602780        1.44522       17.22713   -18877.84375        3.59963        3.66782        3.59680        3.53428       -0.02319        0.06309       -0.04032
   602790        1.42941       17.03861   -18779.40234        3.69661        3.75449        3.72910        3.60625        0.00638        0.06828       -0.05688
   602800        1.42821       17.02436   -18752.11914        3.72757        3.80525        3.73211        3.64535        0.03289        0.03282       -0.05565
   602810        1.43850       17.14695   -18780.40430        3.70369        3.77594        3.64775        3.68737       -0.00655        0.04243       -0.04579
   602820        1.44086       17.17513   -18768.59375        3.71191        3.70756        3.70059        3.72758       -0.01893        0.02931       -0.05371
   602830        1.44530       17.22807   -18767.62500        3.71312        3.64803        3.78216        3.70917        0.00840        0.00026       -0.04020
   602840        1.44751       17.25439   -18756.57031        3.72305        3.63883        3.83758        3.69273        0.00340        0.01904       -0.01077
   602850        1.44507       17.22533   -18723.89063        3.75587        3.74393        3.83272        3.69095        0.02202        0.10940       -0.02530
   602860        1.43859       17.14801   -18672.31836        3.80324        3.84278        3.83446        3.73247        0.04949        0.10146       -0.03122
   602870        1.45756       17.37420   -18749.01758        3.73177        3.74242        3.76654        3.68636        0.03952        0.01209       -0.03158
   602880        1.46358       17.44599   -18763.14258        3.71021        3.67262        3.71166        3.74635       -0.01043       -0.05528       -0.03389
   602890        1.45325       17.32276   -18698.52539        3.76331        3.69082        3.77635        3.82276        0.01729       -0.08738       -0.11694
   602900        1.45707       17.36832   -18706.50000        3.75683        3.70186        3.74175        3.82689       -0.01681       -0.11191       -0.17642
   602910        1.46939       17.51519   -18758.94141        3.71037        3.70375        3.60276        3.82459       -0.10862       -0.11010       -0.12366
   602920        1.46258       17.43406   -18718.37109        3.74106        3.74699        3.60707        3.86911       -0.08436       -0.13936       -0.07955
   602930        1.47589       17.59272   -18780.95117        3.69065        3.71610        3.56690        3.78895       -0.00003       -0.12217       -0.03233
   602940        1.47295       17.55760   -18765.21094        3.70526        3.77241        3.54508        3.79830        0.08259       -0.04607        0.02974
   602950        1.47596       17.59347   -18782.42578        3.68936        3.75289        3.55606        3.75913        0.11617       -0.02269        0.01866
   602960        1.48390       17.68809   -18827.77148        3.64989        3.73433        3.55036        3.66497        0.09829       -0.05062       -0.02589
   602970        1.47011       17.52380   -18768.54102        3.69818        3.86018        3.66228        3.57207        0.11225        0.00013        0.00052
   602980        1.46141       17.42003   -18737.49805        3.71501        3.90025        3.75511        3.48965        0.11937        0.07621        0.01365
   602990        1.46721       17.48923   -18781.23828        3.66640        3.78021        3.73552        3.48345        0.06236        0.06111       -0.01014
   603000        1.45577       17.35285   -18741.16406        3.69931        3.66985        3.79409        3.63400       -0.02708        0.06310        0.02785
   603010        1.43628       17.12052   -18662.07617        3.77739        3.64727        3.89329        3.79161       -0.09746        0.07478        0.04264
   603020        1.42770       17.01825   -18636.38867        3.80460        3.71356        3.87855        3.82169       -0.08327        0.08776        0.09197
   603030        1.44027       17.16805   -18714.95117        3.73766        3.68700        3.78048        3.74549       -0.03595        0.06622        0.06976
   603040        1.44923       17.27487   -18774.94922        3.69156        3.63657        3.76905        3.66906       -0.02408       -0.00977        0.03620
   603050        1.43562       17.11266   -18722.43164        3.74826        3.67093        3.91135        3.66251       -0.04981       -0.11233        0.08103
   603060        1.40689       16.77023   -18592.84375        3.86344        3.77050        4.06733        3.75250        0.00539       -0.11474        0.11018
   603070        1.41047       16.81286   -18620.77930        3.83081        3.82906        3.93739        3.72599        0.04069       -0.08003        0.11641
   603080        1.43839       17.14561   -18767.13672        3.69174        3.84009        3.66838        3.56675        0.02276       -0.03796        0.10052
   603090        1.45205       17.30844   -18841.62305        3.62181        3.76180        3.61554        3.48810        0.01812       -0.03085        0.12092
   603100        1.44401       17.21264   -18808.31055        3.65356        3.69484        3.67593        3.58991        0.02394       -0.00555        0.11426
   603110        1.44114       17.17844   -18800.97266        3.66887        3.67232        3.61729        3.71701       -0.03509       -0.05645        0.08670
   603120        1.43923       17.15569   -18798.15820        3.68355        3.71699        3.61474        3.71891       -0.09373       -0.14362        0.06108
   603130        1.43472       17.10197   -18781.91406        3.70813        3.73091        3.73324        3.66025       -0.13705       -0.14523        0.00994
   603140        1.43433       17.09723   -18785.50977        3.70948        3.73966        3.78058        3.60820       -0.10583       -0.09158       -0.03170
   603150        1.43370       17.08979   -18787.14844        3.70773        3.73958        3.79578        3.58784       -0.10688       -0.10042       -0.00943
   603160        1.43657       17.12400   -18805.53906        3.69357        3.76856        3.77334        3.53881       -0.09656       -0.13936        0.04962
   603170        1.43710       17.13026   -18811.71094        3.68983        3.85343        3.69403        3.52203       -0.02513       -0.11398        0.08106
   603180        1.43197       17.06915   -18789.14258        3.70898        3.87541        3.69335        3.55818        0.05230       -0.07014        0.06861
   603190        1.43058       17.05256   -18784.51563        3.71691        3.86428        3.68460        3.60185        0.06980       -0.08667        0.07667
   603200        1.43151       17.06371   -18790.36133        3.71898        3.86107        3.65678        3.63909        0.06651       -0.10532        0.07486
   603210        1.43389       17.09206   -18802.37109        3.71505        3.84340        3.66982        3.63193        0.10348       -0.14260        0.00968
   603220        1.43747       17.13473   -18819.55664        3.69908        3.77026        3.66129        3.66568        0.09863       -0.14207       -0.03228
   603230        1.42708       17.01089   -18765.75586        3.73453        3.81549        3.69206        3.69606        0.04879       -0.17391        0.01204
   603240        1.42781       17.01961   -18765.48242        3.72448        3.79030        3.70070        3.68244       -0.00941       -0.17346        0.01501
   603250        1.42977       17.04288   -18768.17578        3.71689        3.79688        3.70068        3.65312       -0.04574       -0.08158       -0.03163
   603260        1.42631       17.00167   -18740.17773        3.74527        3.86186        3.66131        3.71265       -0.05520        0.00399       -0.06531
   603270        1.42753       17.01620   -18730.70898        3.75342        3.84843        3.63051        3.78133       -0.05343        0.06913       -0.08436
   603280        1.43372       17.09002   -18740.66797        3.73222        3.81747        3.56835        3.81084        0.00983        0.08858       -0.12705
   603290        1.44920       17.27453   -18792.40820        3.66921        3.69815        3.56684        3.74265        0.12296        0.10121       -0.10246
   603300        1.46069       17.41146   -18821.64844        3.63088        3.65653        3.60490        3.63121        0.19408        0.14465       -0.04156
   603310        1.46383       17.44891   -18809.20898        3.64045        3.69003        3.57975        3.65158        0.20253        0.15453       -0.04712
   603320        1.46334       17.44311   -18780.38477        3.67485        3.68311        3.58525        3.75619        0.12734        0.11260       -0.08834
   603330        1.46590       17.47361   -18769.16797        3.70234        3.63907        3.56389        3.90405        0.03947        0.11688       -0.14368
   603340        1.46977       17.51971   -18767.46875        3.72345        3.63233        3.60880        3.92923        0.01673        0.16046       -0.15306
   603350        1.47141       17.53929   -18758.00977        3.74120        3.66073        3.69790        3.86498        0.01559        0.16829       -0.08153
   603360        1.48393       17.68851   -18806.57031        3.69936        3.65056        3.69363        3.75387        0.03598        0.15928        0.00651
   603370        1.47412       17.57154   -18747.89844        3.74694        3.73500        3.70115        3.80467        0.02873        0.14238        0.07591
   603380        1.45917       17.39336   -18666.99219        3.81360        3.90486        3.68169        3.85425        0.03501        0.17226        0.08866
   603390        1.46764       17.49433   -18705.05273        3.77621        3.95346        3.60384        3.77134        0.04247        0.16185        0.01708
   603400        1.47536       17.58632   -18741.61133        3.74134        3.86958        3.56795        3.78649        0.02139        0.09141        0.02486
   603410        1.47345       17.56360   -18733.50586        3.75614        3.79394        3.57936        3.89511        0.04270        0.03603        0.06801
   603420        1.45582       17.35346   -18649.64258        3.83451        3.86408        3.69578        3.94368        0.03095        0.05928        0.06442
   603430        1.45755       17.37401   -18664.18555        3.82104        3.94532        3.69002        3.82777        0.01302        0.12464        0.06185
   603440        1.46097       17.41480   -18688.53906        3.79452        4.01160        3.58788        3.78407        0.05068        0.18288        0.12754
   603450        1.46714       17.48835   -18728.88086        3.76263        3.96656        3.53775        3.78359        0.05020        0.16001        0.13131
   603460        1.45935       17.39555   -18702.16992        3.78817        3.91635        3.63061        3.81754        0.04931        0.14032        0.01457
   603470        1.45234       17.31195   -18681.27734        3.80086        3.83598        3.76652        3.80007        0.09047        0.09965       -0.03393
   603480        1.46036       17.40754   -18736.98047        3.74015        3.74862        3.76190        3.70991        0.17675       -0.00778       -0.01517
   603490        1.46611       17.47611   -18783.59180        3.68447        3.80905        3.58167        3.66268        0.23420       -0.07398       -0.04181
   603500        1.46698       17.48645   -18808.34375        3.64985        3.92236        3.41308        3.61410        0.20275       -0.07790       -0.06346
   603510        1.46779       17.49614   -18835.49609        3.62158        3.83997        3.43649        3.58829        0.10561       -0.13405       -0.06647
   603520        1.45281       17.31755   -18785.33008        3.66255        3.79675        3.53692        3.65398        0.03863       -0.18792       -0.02976
   603530        1.45790       17.37828   -18835.70703        3.61826        3.73704        3.43767        3.68007        0.04702       -0.17305       -0.01129
   603540        1.45776       17.37655   -18859.66016        3.59669        3.68540        3.41553        3.68914        0.01443       -0.06869       -0.00759
   603550        1.44231       17.19243   -18806.04688        3.64525        3.69339        3.56974        3.67263        0.02313       -0.01612       -0.04524
   603560        1.44108       17.17772   -18820.91797        3.64081        3.68095        3.59885        3.64264       -0.00822       -0.03163       -0.05846
   603570        1.43680       17.12676   -18817.66602        3.65072        3.68793        3.59796        3.66627       -0.01973       -0.09271       -0.05568
   603580        1.43321       17.08395   -18814.69141        3.65250        3.69836        3.61932        3.63982       -0.01135       -0.09371       -0.06050
   603590        1.43866       17.14888   -18854.04297        3.61161        3.72738        3.54377        3.56367        0.01631       -0.00473       -0.04974
   603600        1.43352       17.08760   -18838.53125        3.61953        3.71169        3.54786        3.59906        0.07989        0.08355        0.03271
   603610        1.41275       16.84003   -18742.47266        3.69833        3.77593        3.57872        3.74033        0.06986        0.08718        0.13958
   603620        1.40910       16.79654   -18728.27539        3.70202        3.84152        3.49017        3.77436        0.02995        0.08278        0.16395
   603630        1.42664       17.00559   -18816.51563        3.61679        3.65292        3.40281        3.79463        0.10388        0.05575        0.11563
