#       r                 g_qq(r)         g_11(r)         g_12(r)         g_13(r)         g_14(r)         g_15(r)         g_16(r)         g_17(r)
         0.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.00000        -5.54394         0.00000        19.14113        19.14113         0.00000         0.00000         0.00000         0.00000
         1.50000         0.58186         4.32646         0.15431         0.77768         0.00000         0.00000         0.00000         0.00000
         2.00000        -0.68651         2.29808         3.51926         3.42336         0.00000         0.00000         0.00000         0.00000
         2.50000         0.68173         4.10301         1.07924         0.79479         0.73261         0.00000         0.03878         0.00000
         3.00000         0.09398         2.63473         4.03325         4.02425         0.68882         0.00770         0.36294         0.00241
         3.50000        -0.34851         3.56949         4.34898         4.39530         0.27460         0.27991         0.63908         0.10722
         4.00000         0.06791         3.71689         3.22114         3.28339         0.70605         0.70903         0.63070         0.65184
         4.50000         0.05986         3.30660         3.22901         3.20603         0.51367         0.73388         0.52139         0.88361
         5.00000         0.01210         3.17093         3.18532         3.16786         0.46215         0.60324         0.48245         0.82103
         5.50000        -0.05847         3.04684         3.15252         3.14344         0.46247         0.53089         0.49818         0.66444
         6.00000        -0.00806         3.05260         3.00188         3.00537         0.45820         0.53667         0.56368         0.58140
         6.50000         0.03419         3.03162         2.97789         2.98633         0.48794         0.58634         0.61141         0.58295
         7.00000         0.00726         3.00016         3.05715         3.05814         0.52111         0.63980         0.60287         0.66602
         7.50000        -0.00484         2.97875         3.01677         3.01725         0.60869         0.64681         0.60583         0.74079
         8.00000        -0.00840         2.92164         2.91845         2.91736         0.67906         0.66231         0.61131         0.74200
         8.50000         0.00994         2.85638         2.82770         2.82758         0.71432         0.67382         0.64294         0.72940
         9.00000         0.00068         2.79513         2.80637         2.80610         0.72432         0.66922         0.68407         0.71515
         9.50000        -0.00041         2.76270         2.76975         2.77127         0.71710         0.69762         0.71258         0.74592
        10.00000        -0.00511         2.72189         2.72897         2.73177         0.71575         0.71705         0.73316         0.76029
        10.50000         0.00035         2.67350         2.67758         2.67542         0.72498         0.75530         0.75613         0.77286
        11.00000        -0.00027         2.62699         2.62711         2.62895         0.75139         0.78552         0.78724         0.77708
        11.50000        -0.00292         2.57628         2.58444         2.58341         0.76555         0.82074         0.81873         0.80701
        12.00000         0.00080         2.53276         2.53071         2.53258         0.79433         0.83859         0.84640         0.83316
        12.50000         0.00080         2.48116         2.48798         2.48791         0.81823         0.86302         0.86568         0.85602
        13.00000         0.00038         2.44042         2.44037         2.44002         0.84164         0.88680         0.88768         0.86713
        13.50000         0.00093         2.39042         2.39477         2.39478         0.87311         0.89376         0.89393         0.88864
        14.00000         0.00095         2.34257         2.34707         2.34794         0.89134         0.90736         0.91615         0.89894
        14.50000         0.00086         2.29577         2.29706         2.29750         0.92087         0.92207         0.92043         0.91593
        15.00000         0.00086         2.24622         2.24649         2.24758         0.94553         0.94173         0.94651         0.93590
        15.50000        -0.00070         2.20529         2.20726         2.20664         0.96066         0.96825         0.96698         0.95327
        16.00000         0.00040         2.15992         2.16385         2.16417         0.97887         0.98948         0.99023         0.97376
        16.50000         0.00121         2.11868         2.11924         2.11978         0.99227         1.00250         1.00663         0.99277
        17.00000        -0.00027         2.07317         2.07518         2.07531         1.01417         1.02831         1.02264         1.00527
        17.50000        -0.00049         2.02853         2.03022         2.03090         1.01869         1.04013         1.03844         1.01847
        18.00000         0.00088         1.98909         1.98934         1.99021         1.03746         1.05848         1.05895         1.02605
        18.50000         0.00068         1.94850         1.94990         1.94918         1.04935         1.07368         1.07393         1.03959
