#       r                 g_71(r)         g_72(r)         g_73(r)         g_74(r)         g_75(r)         g_76(r)         g_77(r)
         0.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         1.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         2.50000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         3.00000         0.00241         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
         3.50000         0.10722         0.00849         0.01840         0.00000         0.00000         0.02123         0.00000
         4.00000         0.65184         0.65590         0.72204         0.00000        12.19656         1.55574         0.00000
         4.50000         0.88361         1.10489         1.08690         2.85755         0.39843         3.20885         0.16280
         5.00000         0.82103         0.82884         0.80941        10.60350         2.56497         2.69339         3.37368
         5.50000         0.66444         0.58095         0.56575         6.44929         3.00374         8.43457         4.71647
         6.00000         0.58140         0.50389         0.49497         3.16074         2.61105         1.96733         3.03778
         6.50000         0.58295         0.55306         0.56436         1.97434         2.53316         2.15103         2.23526
         7.00000         0.66602         0.70562         0.70048         1.57670         2.65559         2.56701         1.78220
         7.50000         0.74079         0.74079         0.74049         1.69611         2.80267         2.80576         1.95076
         8.00000         0.74200         0.72423         0.71406         2.35488         2.98429         3.19319         2.18396
         8.50000         0.72940         0.74803         0.74502         2.53187         3.32255         3.44031         2.46338
         9.00000         0.71515         0.72416         0.74281         2.42672         3.45143         3.31745         2.87905
         9.50000         0.74592         0.73153         0.72990         2.79280         3.19397         2.82166         2.90343
        10.00000         0.76029         0.75096         0.74175         2.88088         2.59609         2.54400         2.66729
        10.50000         0.77286         0.76534         0.76755         2.96277         2.29414         2.43511         2.43826
        11.00000         0.77708         0.78684         0.78548         2.73476         2.10830         2.42404         2.16714
        11.50000         0.80701         0.80573         0.80659         2.74968         2.20277         2.35968         2.18110
        12.00000         0.83316         0.82050         0.82779         2.64112         2.33179         2.37460         2.16596
        12.50000         0.85602         0.84732         0.84248         2.41464         2.41630         2.39241         2.30405
        13.00000         0.86713         0.87815         0.87008         2.34090         2.48425         2.48837         2.35323
        13.50000         0.88864         0.88101         0.87939         2.27365         2.47233         2.41897         2.32034
        14.00000         0.89894         0.89360         0.89458         2.20808         2.51511         2.42916         2.30289
        14.50000         0.91593         0.91250         0.91585         2.15509         2.36820         2.31988         2.27899
        15.00000         0.93590         0.93208         0.93100         2.12613         2.29479         2.26893         2.13732
        15.50000         0.95327         0.96173         0.95695         2.10612         2.19070         2.17444         2.08624
        16.00000         0.97376         0.96674         0.97257         2.15396         2.07832         2.09766         2.01692
        16.50000         0.99277         0.99181         0.98805         2.16607         1.99989         2.06145         2.05858
        17.00000         1.00527         1.00786         1.00816         2.15502         1.96271         2.05436         1.97113
        17.50000         1.01847         1.01081         1.01016         2.13289         1.94631         1.98487         1.95255
        18.00000         1.02605         1.03064         1.02735         2.04178         1.95252         2.00077         1.92331
        18.50000         1.03959         1.03387         1.03859         1.92047         1.93621         1.89536         1.88318
