#           Q       S_NN(Q)          S_qq(Q)          n(Q)
      0.0824856   2473.0634766      0.0004723           1
      0.1649712    171.3129120      0.0003256           5
      0.2474569     38.2727966      0.0007057           6
      0.3299425      5.6068387      0.0009307          14
      0.4124281      5.3901863      0.0017413          12
      0.4949138      2.4396217      0.0029552          24
      0.5773994      2.1050642      0.0048535          27
      0.6598850      1.4351325      0.0099325          34
      0.7423706      1.2357757      0.0152621          41
      0.8248562      0.9446355      0.0348877          49
      0.9073418      0.8407148      0.0605946          56
      0.9898275      0.7897042      0.0977806          68
      1.0723131      0.7773706      0.1004818          82
      1.1547987      0.8464002      0.0734523          92
      1.2372843      0.8551081      0.0595169          96
      1.3197700      0.9496318      0.0492654         129
      1.4022557      1.1087492      0.0463719         126
      1.4847412      1.4273614      0.0480311         149
      1.5672269      1.7303306      0.0547867         153
      1.6497124      1.9431113      0.0647357         181
      1.7321981      2.2375209      0.0801943         192
      1.8146837      2.3984623      0.1028533         221
      1.8971694      2.5421686      0.1315382         235
      1.9796550      2.6812127      0.1646678         251
      2.0621407      2.6432631      0.2048693         265
      2.1446261      2.4569838      0.2394814         296
      2.2271118      2.3796549      0.2778006         311
      2.3095975      2.3076835      0.3289629         334
      2.3920832      2.2513127      0.3738182         347
      2.4745686      2.1832013      0.4397540         383
      2.5570543      2.1181681      0.5131249         416
      2.6395400      2.0963132      0.6048883         433
      2.7220256      2.0808012      0.6994033         453
      2.8045113      1.9869971      0.8315874         504
      2.8869967      1.8546594      0.9232201         521
      2.9694824      1.7805787      1.0318131         540
      3.0519681      1.6285888      1.0778219         558
      3.1344538      1.4883691      1.1159630         623
      3.2169392      1.3639294      1.0757809         643
      3.2994249      1.2700578      1.0643773         667
      3.3819106      1.2098818      1.0054116         705
      3.4643962      1.1624136      0.9543840         727
      3.5468819      1.1779057      0.9292678         771
      3.6293674      1.1914537      0.8829663         801
      3.7118530      1.1686189      0.8617234         830
      3.7943387      1.1913916      0.8453999         857
      3.8768244      1.2153091      0.8341265         920
      3.9593101      1.2243351      0.8606238         445
      4.0417957      1.3341806      0.9207109           3
      4.1242814      1.3331282      0.7827387           3
      4.2067666      1.3664241      0.9874787           3
      4.2892523      1.3893777      0.9996203           3
      4.3717380      1.4197497      0.9221082           3
      4.4542236      1.2468346      0.9636195           3
      4.5367093      1.2863653      1.0569338           3
      4.6191950      1.6902583      0.9899598           3
      4.7016807      1.4089171      1.1199223           3
      4.7841663      1.4732482      0.8646709           3
      4.8666520      1.4625697      1.0054896           3
      4.9491372      1.3094280      1.1160517           3
      5.0316229      1.1697918      0.9723157           3
      5.1141086      1.2069036      0.9108103           3
      5.1965942      1.3867013      0.8707206           3
      5.2790799      1.3046221      0.9414874           3
      5.3615656      1.2403272      0.8933718           3
      5.4440513      0.9255483      0.9742075           3
      5.5265369      0.9223867      1.0695609           3
      5.6090226      1.1349770      1.0351913           3
      5.6915078      1.2922438      0.9746510           3
      5.7739935      0.9960308      0.9088864           3
      5.8564792      1.0023205      1.0385618           3
      5.9389648      1.0147386      1.1869227           3
      6.0214505      0.9041897      1.1582177           3
      6.1039362      1.0364898      1.2005712           3
      6.1864219      1.0523158      0.8741257           3
      6.2689075      1.2007262      1.0506849           3
      6.3513932      0.9590969      0.8130813           3
      6.4338784      1.1121894      1.0378706           3
      6.5163641      1.0921968      1.1492701           3
      6.5988498      1.2232978      1.1843822           3
      6.6813354      1.5817025      0.9547283           3
      6.7638211      1.4666893      0.9991527           3
      6.8463068      1.4835300      0.9909975           3
      6.9287925      1.4813577      0.9612113           3
      7.0112782      1.1949781      0.9739408           3
      7.0937638      1.3165886      1.2352675           3
      7.1762490      1.5442727      1.2039154           3
      7.2587347      1.2553457      0.9890373           3
      7.3412204      1.3671395      0.9332973           3
      7.4237061      1.3520688      0.8542102           3
      7.5061917      1.6021494      0.9900994           3
      7.5886774      1.3882496      0.8899062           3
      7.6711631      1.4684020      0.8303863           3
      7.7536488      1.3324970      0.8494628           3
      7.8361344      1.0346791      1.0070616           3
      7.9186201      1.1836441      1.1728263           3
      8.0011053      1.5585108      0.8749017           3
      8.0835915      1.3604006      0.8551754           3
      8.1660767      1.3861568      0.7876875           3
      8.2485628      1.1800405      0.7813083           3
      8.3310480      1.1748471      0.9855886           3
      8.4135332      1.4112309      1.0690405           3
      8.4960194      1.2977617      1.0526578           3
      8.5785046      1.3229667      1.1535360           3
      8.6609907      1.3006015      0.9228972           3
      8.7434759      1.3036976      0.9090071           3
      8.8259621      1.2008153      1.0027012           3
      8.9084473      1.1732584      0.8538555           3
      8.9909334      1.1751164      1.0139073           3
      9.0734186      1.2938346      0.7835843           3
      9.1559038      1.3249822      0.8589718           3
      9.2383900      1.0506761      0.9980165           3
      9.3208752      1.1349415      0.8823954           3
      9.4033613      1.1232880      1.0256784           3
      9.4858465      1.0536427      1.0516973           3
      9.5683327      1.3086436      1.0712062           3
      9.6508179      1.2678750      1.0099266           3
      9.7333040      1.2320099      1.1146750           3
      9.8157892      1.0683388      1.0128436           3
      9.8982744      0.9351921      1.0578276           3
      9.9807606      1.0928279      1.0697356           3
     10.0632458      1.1839854      0.9539803           3
     10.1457319      0.9252369      0.8811850           3
     10.2282171      0.8954653      0.8236910           3
     10.3107033      1.2082635      0.8451315           3
     10.3931885      1.0093588      1.0211335           3
     10.4756746      0.9391885      1.2319474           3
     10.5581598      1.1168282      0.8685800           3
     10.6406450      0.8792030      0.9278243           3
     10.7231312      1.0236020      0.8896559           3
     10.8056164      1.0355557      1.0865432           3
     10.8881025      1.1489434      0.9218900           3
     10.9705877      0.9569841      1.2365969           3
     11.0530739      0.9751366      1.1411071           3
     11.1355591      0.8735578      1.1103324           3
     11.2180452      1.1199671      0.9956043           3
     11.3005304      1.1794665      0.9670448           3
     11.3830156      1.0103132      0.8967144           3
     11.4655018      0.9658140      1.0282233           3
     11.5479870      0.8474798      1.1304655           3
     11.6304731      0.9065076      0.8484029           3
     11.7129583      0.9979453      0.7613591           3
     11.7954445      1.1263614      1.0713791           3
     11.8779297      1.0168546      0.9077365           3
     11.9604158      1.1000512      1.0507749           3
     12.0429010      1.0194130      1.0824838           3
     12.1253862      0.9570488      0.9932837           3
     12.2078724      1.0066037      1.0189793           3
     12.2903576      1.0890343      0.9525254           3
     12.3728437      1.0865177      1.0960513           3
     12.4553289      0.8996690      1.0509108           3
     12.5378151      0.7328092      0.9538215           3
     12.6203003      0.6518229      1.0172422           3
     12.7027864      1.0847262      0.9671669           3
     12.7852716      1.0433366      0.8608864           3
     12.8677568      1.0762663      1.0759057           3
     12.9502430      0.9754075      1.2436970           3
     13.0327282      1.0037369      1.0783917           3
     13.1152143      0.9962971      1.0548643           3
     13.1976995      1.0317652      1.0310748           3
     13.2801857      0.9684111      0.8162962           3
     13.3626709      0.7990080      1.0600495           3
     13.4451571      0.8338370      0.8702822           3
     13.5276423      1.0337042      0.9531074           3
     13.6101274      0.9045601      1.0173663           3
     13.6926136      0.9839268      1.0961868           3
     13.7750988      0.9518455      1.0248599           3
     13.8575850      0.8724346      1.0872715           3
     13.9400702      1.0362074      0.9160913           3
     14.0225563      0.9231341      0.7927050           3
     14.1050415      0.9502639      0.9051636           3
     14.1875277      0.9413286      1.1672298           3
     14.2700129      1.0059777      1.0255139           3
     14.3524981      0.9045979      1.0161136           3
     14.4349842      1.0973777      1.0698886           3
     14.5174694      0.9247621      0.9579846           3
