#       Q              S_11(Q)         S_22(Q)         S_33(Q)         S_44(Q)         S_55(Q)         S_66(Q)         S_77(Q)
       0.0824856    1323.8061523     663.8215332     664.0687256      69.2182999      68.6802292      69.2567139      61.9535561
       0.1649712     114.6589355      57.8830795      57.9277649       6.3255720       6.3085508       6.9236856       3.6315424
       0.2474569      19.7667999      10.0067453       9.9923620       1.5174408       1.5716075       2.2407970       0.2860993
       0.3299425       3.4364326       1.7486576       1.7424347       0.3172225       0.4406425       0.8428609       0.4078260
       0.4124281       2.7483544       1.4067918       1.3991781       0.3139753       0.3903131       0.8052192       0.6160304
       0.4949138       1.5179024       0.7765757       0.7691669       0.2733803       0.3564994       0.7223584       0.5639249
       0.5773994       1.2204349       0.6306619       0.6221857       0.2684857       0.3177435       0.7273087       0.6789447
       0.6598850       0.8471450       0.4373609       0.4298970       0.3778634       0.3558874       0.8795559       0.9884963
       0.7423706       0.7681106       0.3974738       0.3891677       0.3678962       0.5254147       0.8018110       0.7105391
       0.8248562       0.5730211       0.3125879       0.3091739       0.6307987       0.8004404       0.7183150       0.7075028
       0.9073418       0.5153597       0.2803185       0.2746471       0.9621513       1.1254475       0.8298367       0.8440437
       0.9898275       0.4555261       0.2608226       0.2573665       1.5668733       1.2603230       0.9222437       0.9694994
       1.0723131       0.4350151       0.2568879       0.2537746       1.5469429       1.2807589       0.9388748       0.9773403
       1.1547987       0.4583278       0.2793311       0.2760137       1.1674362       1.0296893       0.9710319       0.9723221
       1.2372843       0.4527949       0.2779409       0.2735283       1.0861723       0.9757354       0.9490415       1.0078514
       1.3197700       0.4825928       0.2995265       0.2946244       0.9605423       0.9254156       0.9314784       1.0875343
       1.4022557       0.5262760       0.3428059       0.3371072       0.9301409       0.9739963       0.9530920       1.1475627
       1.4847412       0.6308343       0.4213475       0.4146623       0.9708327       1.0564973       0.9606427       1.2507235
       1.5672269       0.7404524       0.5182550       0.5119155       0.9508277       1.0903034       1.0247244       1.1697209
       1.6497124       0.8052953       0.6054649       0.6029207       0.9110835       1.0426997       1.0084597       0.9982303
       1.7321981       0.9064875       0.7303532       0.7340329       0.9008229       0.9820314       1.0280831       0.9662232
       1.8146837       0.9500218       0.8198972       0.8251179       0.9300436       0.9501235       1.0172167       0.9027960
       1.8971694       0.9668256       0.9197822       0.9353403       1.0119195       0.9338949       1.0314983       0.8968526
       1.9796550       0.9925837       1.0206398       1.0353527       1.0511619       0.9516419       1.0516465       0.9074095
