#    Conf       T(K)      KE (Kcal/mol)  
    40000      302.58200     1839.92261
    45000      301.99796     1836.37122
    50000      300.67368     1828.31848
    55000      292.38339     1777.90759
    60000      309.46942     1881.80310
    65000      294.25165     1789.26782
    70000      308.98090     1878.83252
    75000      302.04279     1836.64380
    80000      310.90405     1890.52686
    85000      301.10669     1830.95154
    90000      308.67459     1876.97009
    95000      295.89560     1799.26428
   100000      299.01492     1818.23206
   105000      314.70779     1913.65625
   110000      306.54797     1864.03870
   115000      302.20889     1837.65381
   120000      305.21848     1855.95422
   125000      305.80496     1859.52063
   130000      291.55875     1772.89307
   135000      303.55246     1845.82361
   140000      299.48990     1821.12036
   145000      298.05988     1812.42468
   150000      299.17099     1819.18115
   155000      294.76236     1792.37329
   160000      300.32251     1826.18311
