#  t(ps)         C_r(t)       C_v(t)
     0.000        0.00000      344.36887
     0.002        0.00137      326.39291
     0.004        0.00536      279.33566
     0.006        0.01157      213.93515
     0.008        0.01950      142.96581
     0.010        0.02859       76.83297
     0.012        0.03834       22.48156
     0.014        0.04831      -16.62211
     0.016        0.05819      -40.34732
     0.018        0.06781      -51.02250
     0.020        0.07702      -51.87638
     0.022        0.08577      -46.42982
     0.024        0.09408      -37.41601
     0.026        0.10202      -26.57596
     0.028        0.10968      -15.27291
     0.030        0.11718       -4.89330
     0.032        0.12463        3.07192
     0.034        0.13211        7.14817
     0.036        0.13964        6.39108
     0.038        0.14722        0.88109
     0.040        0.15480       -8.44896
     0.042        0.16233      -20.30946
     0.044        0.16970      -32.93825
     0.046        0.17682      -44.42054
     0.048        0.18360      -52.95419
     0.050        0.18998      -57.51698
     0.052        0.19593      -58.19574
     0.054        0.20147      -55.76579
     0.056        0.20661      -51.35723
     0.058        0.21133      -45.93405
     0.060        0.21567      -40.03759
     0.062        0.21963      -34.24839
     0.064        0.22329      -29.13756
     0.066        0.22672      -24.91806
     0.068        0.22996      -21.59060
     0.070        0.23306      -19.15933
     0.072        0.23604      -17.51435
     0.074        0.23889      -16.53736
     0.076        0.24162      -16.28862
     0.078        0.24420      -16.58256
     0.080        0.24664      -17.06795
     0.082        0.24895      -17.44545
     0.084        0.25113      -17.39095
     0.086        0.25318      -16.72612
     0.088        0.25511      -15.43344
     0.090        0.25693      -13.63488
     0.092        0.25865      -11.62097
     0.094        0.26029       -9.66034
     0.096        0.26187       -7.88808
     0.098        0.26339       -6.30720
     0.100        0.26485       -4.85994
     0.102        0.26624       -3.50970
     0.104        0.26759       -2.12384
     0.106        0.26892       -0.64440
     0.108        0.27025        0.78540
     0.110        0.27158        1.98560
     0.112        0.27293        2.87591
     0.114        0.27430        3.35725
     0.116        0.27568        3.35256
     0.118        0.27706        3.07197
     0.120        0.27844        2.72815
     0.122        0.27984        2.30769
     0.124        0.28124        1.86588
     0.126        0.28263        1.39593
     0.128        0.28400        0.80730
     0.130        0.28535        0.16444
     0.132        0.28671       -0.36891
     0.134        0.28809       -0.81729
     0.136        0.28949       -1.23130
     0.138        0.29093       -1.43150
     0.140        0.29235       -1.35816
     0.142        0.29376       -1.21644
     0.144        0.29515       -1.17648
     0.146        0.29656       -1.19693
     0.148        0.29800       -1.17523
     0.150        0.29948       -1.09081
     0.152        0.30099       -0.92084
     0.154        0.30253       -0.64545
     0.156        0.30408       -0.30302
     0.158        0.30564        0.02661
     0.160        0.30719        0.16800
     0.162        0.30874        0.04167
     0.164        0.31026       -0.23549
     0.166        0.31175       -0.51103
     0.168        0.31317       -0.77612
     0.170        0.31455       -0.97068
     0.172        0.31588       -0.98978
     0.174        0.31720       -0.85294
     0.176        0.31852       -0.61753
     0.178        0.31984       -0.28220
     0.180        0.32114        0.12381
     0.182        0.32242        0.52470
     0.184        0.32367        0.90967
     0.186        0.32494        1.35129
     0.188        0.32624        1.77134
     0.190        0.32757        1.97558
     0.192        0.32894        1.84014
     0.194        0.33033        1.40427
     0.196        0.33175        0.75714
     0.198        0.33316        0.00647
     0.200        0.33457       -0.70882
     0.202        0.33597       -1.23931
     0.204        0.33734       -1.57141
     0.206        0.33868       -1.78035
     0.208        0.33998       -1.86433
     0.210        0.34122       -1.83874
     0.212        0.34243       -1.68723
     0.214        0.34364       -1.34970
     0.216        0.34485       -0.88226
     0.218        0.34607       -0.43724
     0.220        0.34729       -0.11335
     0.222        0.34849        0.03198
     0.224        0.34969        0.04292
     0.226        0.35091        0.06299
     0.228        0.35219        0.04485
     0.230        0.35354       -0.02332
     0.232        0.35496        0.00459
     0.234        0.35646        0.21670
     0.236        0.35801        0.44593
     0.238        0.35958        0.48523
     0.240        0.36115        0.37837
     0.242        0.36270        0.24765
     0.244        0.36423        0.14024
     0.246        0.36570        0.12436
     0.248        0.36711        0.32247
     0.250        0.36846        0.79728
     0.252        0.36976        1.46517
     0.254        0.37107        2.13668
     0.256        0.37239        2.63880
     0.258        0.37372        2.87219
     0.260        0.37506        2.86592
     0.262        0.37640        2.71932
     0.264        0.37773        2.49410
     0.266        0.37909        2.22596
     0.268        0.38049        1.94062
     0.270        0.38195        1.70266
     0.272        0.38346        1.52761
     0.274        0.38501        1.38225
     0.276        0.38660        1.33564
     0.278        0.38819        1.46647
     0.280        0.38977        1.74934
     0.282        0.39136        2.05184
     0.284        0.39294        2.18216
     0.286        0.39450        2.13759
     0.288        0.39605        2.01523
     0.290        0.39757        1.78200
     0.292        0.39910        1.35413
     0.294        0.40064        0.77021
     0.296        0.40221        0.18958
     0.298        0.40379       -0.22115
     0.300        0.40536       -0.44424
     0.302        0.40689       -0.60779
     0.304        0.40840       -0.82070
     0.306        0.40988       -1.10300
     0.308        0.41137       -1.38745
     0.310        0.41286       -1.55270
     0.312        0.41440       -1.50216
     0.314        0.41597       -1.24136
     0.316        0.41758       -0.86978
     0.318        0.41920       -0.56798
     0.320        0.42080       -0.46355
     0.322        0.42240       -0.59143
     0.324        0.42398       -0.89206
     0.326        0.42554       -1.21811
     0.328        0.42709       -1.46500
     0.330        0.42863       -1.59605
     0.332        0.43018       -1.60261
     0.334        0.43174       -1.54274
     0.336        0.43333       -1.49568
     0.338        0.43490       -1.49682
     0.340        0.43646       -1.51041
     0.342        0.43796       -1.58086
     0.344        0.43944       -1.84485
     0.346        0.44089       -2.25085
     0.348        0.44233       -2.57963
     0.350        0.44376       -2.67106
     0.352        0.44520       -2.53726
     0.354        0.44666       -2.31472
     0.356        0.44812       -2.02930
     0.358        0.44958       -1.62327
     0.360        0.45102       -1.10734
     0.362        0.45245       -0.60361
     0.364        0.45388       -0.19849
     0.366        0.45529        0.06389
     0.368        0.45667        0.26058
     0.370        0.45801        0.47084
     0.372        0.45932        0.63298
     0.374        0.46064        0.75959
     0.376        0.46196        0.87394
     0.378        0.46329        0.85482
     0.380        0.46462        0.62513
     0.382        0.46594        0.23779
     0.384        0.46724       -0.19574
     0.386        0.46853       -0.56766
     0.388        0.46980       -0.78720
     0.390        0.47105       -0.83208
     0.392        0.47229       -0.75204
     0.394        0.47355       -0.53391
     0.396        0.47481       -0.18516
     0.398        0.47607        0.21545
     0.400        0.47732        0.60956
     0.402        0.47857        0.84087
     0.404        0.47981        0.86663
     0.406        0.48105        0.72253
     0.408        0.48228        0.53200
     0.410        0.48350        0.47452
     0.412        0.48472        0.54525
     0.414        0.48596        0.60826
     0.416        0.48724        0.61116
     0.418        0.48855        0.62120
     0.420        0.48988        0.67680
     0.422        0.49119        0.74397
     0.424        0.49249        0.78667
     0.426        0.49377        0.72368
     0.428        0.49503        0.48417
     0.430        0.49629        0.20095
     0.432        0.49755        0.06690
     0.434        0.49884        0.10822
     0.436        0.50014        0.23253
     0.438        0.50145        0.45021
