#         w(THz)       w(meV)            Z(w)
        0.00000        0.00000        0.25417
        0.97656        4.03808        0.32453
        1.95312        8.07616        0.50594
        2.92968       12.11423        0.78687
        3.90624       16.15231        1.17885
        4.88280       20.19039        1.46348
        5.85936       24.22847        1.64960
        6.83592       28.26655        1.93814
        7.81248       32.30463        2.03069
        8.78904       36.34270        1.90958
        9.76560       40.38078        1.84720
       10.74217       44.41886        1.74325
       11.71873       48.45694        1.54911
       12.69529       52.49502        1.36956
       13.67185       56.53309        1.26986
       14.64841       60.57117        1.23244
       15.62497       64.60925        1.22551
       16.60153       68.64732        1.20298
       17.57809       72.68540        1.16161
       18.55465       76.72348        1.15258
       19.53121       80.76156        1.12061
       20.50777       84.79964        1.13555
       21.48433       88.83772        1.21185
       22.46089       92.87579        1.23656
       23.43745       96.91388        1.31798
       24.41401      100.95196        1.43344
       25.39058      104.99004        1.48934
       26.36714      109.02811        1.55479
       27.34370      113.06618        1.55003
       28.32026      117.10427        1.45034
       29.29682      121.14234        1.37659
       30.27338      125.18042        1.31062
       31.24994      129.21851        1.21552
       32.22650      133.25658        1.08023
       33.20306      137.29465        0.91784
       34.17962      141.33273        0.81083
       35.15618      145.37080        0.71556
       36.13274      149.40889        0.59951
       37.10930      153.44696        0.53113
       38.08586      157.48503        0.46749
       39.06242      161.52312        0.39471
       40.03898      165.56120        0.35478
       41.01554      169.59927        0.33547
       41.99210      173.63736        0.32354
       42.96866      177.67543        0.29542
       43.94522      181.71352        0.26950
       44.92178      185.75159        0.25791
       45.89835      189.78966        0.24485
       46.87491      193.82776        0.24144
       47.85147      197.86583        0.22085
       48.82803      201.90392        0.21012
       49.80459      205.94199        0.22208
       50.78115      209.98007        0.20126
       51.75771      214.01813        0.18637
       52.73427      218.05621        0.18118
       53.71083      222.09428        0.15864
       54.68739      226.13237        0.14506
       55.66395      230.17044        0.12746
       56.64051      234.20854        0.10295
       57.61707      238.24658        0.08498
       58.59363      242.28468        0.07474
       59.57019      246.32275        0.06283
       60.54675      250.36084        0.04944
       61.52331      254.39891        0.05138
       62.49987      258.43701        0.05419
       63.47644      262.47507        0.04434
       64.45300      266.51315        0.03121
       65.42956      270.55124        0.02814
       66.40611      274.58929        0.02781
       67.38268      278.62738        0.02383
       68.35924      282.66547        0.02419
       69.33580      286.70355        0.02164
       70.31236      290.74161        0.01924
       71.28892      294.77969        0.01904
       72.26548      298.81778        0.01876
       73.24204      302.85587        0.01694
       74.21860      306.89392        0.01508
       75.19516      310.93201        0.01597
       76.17172      314.97006        0.01283
