#       r                 g_11(r)         g_12(r)         g_22(r)
         0.25000         0.00000         0.00000         0.00000
         0.50000         0.00000         0.00000         0.00000
         0.75000         0.00000         0.00000         0.00000
         1.00000         0.00000         0.00000         0.00000
         1.25000         0.00000         0.00000         0.00000
         1.50000         0.38722         0.00000         0.00000
         1.75000         1.01679         0.03978         0.00000
         2.00000         0.14872         3.29420         0.00000
         2.25000         0.31340         2.81279         0.04720
         2.50000         0.88282         0.61472         0.72860
         2.75000         1.20779         0.44420         1.14574
         3.00000         1.30264         0.76326         1.36009
         3.25000         1.24940         0.91414         1.92277
         3.50000         1.10424         0.89825         1.76256
         3.75000         0.97319         0.90334         1.17780
         4.00000         1.02053         0.91400         0.78983
         4.25000         1.05831         0.94844         0.63575
         4.50000         0.92217         1.03421         0.66624
         4.75000         0.88551         1.12126         0.76826
         5.00000         0.95729         1.14108         0.88076
         5.25000         1.01860         1.08641         1.00464
         5.50000         1.01109         1.01462         1.08423
         5.75000         1.01016         0.95111         1.12684
         6.00000         1.01199         0.93542         1.14341
         6.25000         0.98998         0.94615         1.11768
         6.50000         1.00552         0.96336         1.06578
         6.75000         1.02079         0.98385         0.98744
         7.00000         1.01742         1.00473         0.92108
         7.25000         0.99857         1.02872         0.90171
         7.50000         0.97064         1.03502         0.91944
         7.75000         0.96267         1.02350         0.95424
         8.00000         0.96697         1.01225         0.97883
         8.25000         0.98915         0.99805         1.00723
         8.50000         1.00552         0.99167         1.03952
         8.75000         1.00954         0.98749         1.06978
         9.00000         1.00895         0.97979         1.07383
         9.25000         1.00680         0.97318         1.04404
         9.50000         1.01499         0.98092         1.00590
         9.75000         1.01719         1.00313         0.96843
        10.00000         0.99939         1.03257         0.94340
        10.25000         0.97949         1.03317         0.94516
        10.50000         0.96851         1.02702         0.96996
        10.75000         0.96373         1.01047         0.99039
        11.00000         0.95331         0.99835         0.99691
        11.25000         0.96670         0.98885         0.98814
        11.50000         0.99081         0.97917         1.00497
        11.75000         1.02338         0.98026         1.03108
        12.00000         1.19340         0.98671         1.18870
        12.25000         1.01139         0.99838         0.98910
        12.50000         0.98427         1.00404         0.95786
        12.75000         0.97330         1.00344         0.94616
        13.00000         0.96893         0.99905         0.94726
        13.25000         0.97288         1.00221         0.96409
        13.50000         0.99016         1.01692         0.98407
        13.75000         0.99703         1.02242         1.00782
        14.00000         1.01060         1.01096         1.03068
        14.25000         1.01643         0.98298         1.03954
        14.50000         1.00689         0.96722         1.02773
        14.75000         1.00603         0.97991         1.01398
        15.00000         0.99488         1.00346         1.00553
        15.25000         0.99084         1.01347         0.99181
        15.50000         0.98573         1.01729         0.97145
        15.75000         0.98517         1.00950         0.96700
        16.00000         0.98420         1.00280         0.96572
        16.25000         0.98465         0.99571         0.97569
        16.50000         0.99474         0.99493         0.98778
        16.75000         1.00920         0.99686         1.00177
        17.00000         1.15728         0.99811         1.15211
        17.25000         0.99112         0.99362         0.99489
        17.50000         0.98649         0.99057         0.98212
        17.75000         0.98863         0.99130         0.97715
        18.00000         0.99226         0.99440         0.97748
        18.25000         0.99091         1.00039         0.98736
        18.50000         0.98763         1.00806         0.99595
        18.75000         0.98612         1.01788         1.00437
        19.00000         0.99047         1.01529         1.01188
        19.25000         0.99180         0.99905         1.00543
        19.50000         0.98798         0.99859         1.00258
        19.75000         0.99050         1.00263         0.99998
        20.00000         0.99176         0.99937         0.99019
        20.25000         0.99726         0.99423         0.98127
        20.50000         0.99972         0.99072         0.98030
        20.75000         1.06984         0.99328         1.05436
        21.00000         1.00671         0.99476         0.99847
        21.25000         1.00159         0.99542         0.99903
        21.50000         0.98925         0.99655         1.00830
        21.75000         0.98341         1.00626         1.00482
        22.00000         0.98227         1.01309         1.00149
        22.25000         0.98270         1.01462         0.99342
        22.50000         0.98578         1.00904         0.98386
        22.75000         0.99317         1.00234         0.97752
        23.00000         0.99697         0.99858         0.97811
        23.25000         1.00026         0.99571         0.99107
        23.50000         1.00352         0.99275         1.00277
        23.75000         1.01036         0.98872         1.01850
        24.00000         1.04754         0.98760         1.06316
        24.25000         0.99929         0.98564         1.01572
        24.50000         0.99345         0.99375         1.00430
        24.75000         0.98878         1.01362         0.99299
