#           Q        S_NN(Q)          S_cc(Q)       S_11(Q)        S_22(Q)           S_12(Q)         n(Q)
      0.0874682      0.0712052      0.0004254      0.0213392      0.0151141      0.0173759           6
      0.1749364      0.0268006      0.0003653      0.0068729      0.0072581      0.0063348          13
      0.2624047      0.0268209      0.0009295      0.0091779      0.0060917      0.0057757          19
      0.3498729      0.0228051      0.0018658      0.0092046      0.0059295      0.0038355          39
      0.4373411      0.0182390      0.0018850      0.0080408      0.0048487      0.0026747          55
      0.5248093      1.1980438      0.5294516      1.5447011      0.1132240     -0.2299406          72
      0.6122775      0.0312646      0.0060628      0.0189828      0.0087752      0.0017533          91
      0.6997457      0.7911158      0.2847093      0.8406783      0.1242981     -0.0869303         114
      0.7872139      0.0342094      0.0077761      0.0235424      0.0091145      0.0007762         169
      0.8746821      0.1883118      0.0573318      0.1905927      0.0182268     -0.0102538         178
      0.9621503      0.0317829      0.0099392      0.0254222      0.0103477     -0.0019935         210
      1.0496186      0.1575546      0.1608525      0.3019343      0.0985480     -0.1214638         253
      1.1370867      0.5718617      0.2818015      0.7062989      0.1432349     -0.1388360         306
      1.2245550      0.0601608      0.0232517      0.0566540      0.0199299     -0.0082115         346
      1.3120232      0.2921504      0.1465191      0.3793817      0.0597317     -0.0734815         360
      1.3994914      0.0488531      0.0215023      0.0467601      0.0206711     -0.0092890         460
      1.4869597      0.3275245      0.1135541      0.3233361      0.0675344     -0.0316730         508
      1.5744278      0.6579059      0.2313498      0.6765288      0.1151238     -0.0668733         564
      1.6618961      0.4952495      0.4588950      0.8760116      0.2894032     -0.3350826         589
      1.7493643      0.2951240      0.1210414      0.2677753      0.1218695     -0.0472604         672
      1.8368325      0.1440705      0.0714996      0.1249565      0.0900779     -0.0354820         769
      1.9243007      0.7815857      0.8496159      1.2616183      0.8284065     -0.6542195         801
      2.0117688      0.1317201      0.0868460      0.1260399      0.1135122     -0.0539160         880
      2.0992372      0.5327634      0.3565550      0.5281511      0.4513405     -0.2233641         946
      2.1867054      1.6231674      1.4784995      1.6021161      2.1664667     -1.0727077        1068
      2.2741735      0.4119626      0.3373185      0.3911411      0.4894772     -0.2343278        1138
      2.3616419      2.4822311      1.0252740      0.9429352      2.3487284     -0.4047163        1194
      2.4491100      0.5488260      0.2500724      0.4232483      0.3513094     -0.1128659        1315
      2.5365782      0.6958464      0.2886669      0.3125384      0.6127186     -0.1147053        1384
      2.6240463      1.4954065      0.5219721      0.8086608      0.9829867     -0.1481205        1479
      2.7115147      1.7530072      0.7647678      1.0876546      1.3183846     -0.3265160        1591
      2.7989829      1.3805828      0.3274438      0.6689641      0.6762151      0.0177018        1647
      2.8864510      0.8281685      0.1533671      0.3794667      0.3413518      0.0536750        1804
      2.9739194      0.8561207      0.2181641      0.3929677      0.4714208     -0.0041339        1929
      3.0613875      1.2482992      0.2685252      0.6666216      0.4945784      0.0435496        1984
      3.1488557      1.1058700      0.2299064      0.5733844      0.4393634      0.0465611        2143
      3.2363238      0.7857412      0.1598395      0.3982012      0.3143485      0.0365958        2229
      3.3237922      1.6839411      0.2204451      0.7104335      0.5724272      0.2005402        2377
      3.4112604      0.8092046      0.1471504      0.4024682      0.2964349      0.0551508        2433
      3.4987285      1.0725077      0.1478713      0.4408565      0.3911401      0.1202556        2629
      3.5861969      0.7083227      0.1236737      0.3496019      0.2519070      0.0534069        2775
      3.6736650      2.0055101      0.2232219      0.7130754      0.7361234      0.2781557        2845
      3.7611332      0.9499921      0.1512887      0.4065121      0.3710614      0.0862093        3037
      3.8486013      1.7646869      0.2099095      0.6886771      0.6134853      0.2312622        3105
      3.9360697      1.0553306      0.1686431      0.4649654      0.3999861      0.0951896        3352
      4.0235376      1.2426113      0.2135673      0.5738280      0.4746122      0.0970855        3369
      4.1110063      1.5830458      0.2398245      0.5811802      0.6899917      0.1559370        3553
      4.1984744      1.5186330      0.2464687      0.5858486      0.6664053      0.1331895        3748
      4.2859426      1.4303628      0.2653929      0.5523701      0.6935971      0.0921978        3924
      4.3734107      1.0520879      0.2539763      0.5050372      0.5289595      0.0090456        4087
      4.4608788      0.8797380      0.2561584      0.4793603      0.4728254     -0.0362239        4152
      4.5483470      1.3021845      0.2967218      0.6273640      0.6171718      0.0288244        4411
      4.6358151      0.8219253      0.2682158      0.5081850      0.4392093     -0.0627345        4551
      4.7232838      1.0344247      0.3940093      0.7197068      0.5855240     -0.1354031        4681
      4.8107519      0.9112481      0.3730974      0.6281413      0.5736777     -0.1452854        4843
      4.8982201      0.7546871      0.3201040      0.5518410      0.4657106     -0.1314322        5040
      4.9856882      1.0799628      0.4510775      0.7471170      0.6950194     -0.1810868        5320
      5.0731564      0.6747147      0.2835024      0.4726051      0.4317570     -0.1148237        5385
      5.1606245      0.8117110      0.3063558      0.5359682      0.4825988     -0.1034281        5584
      5.2480927      0.9855187      0.3790244      0.6395527      0.6112556     -0.1326448        5856
      5.3355613      0.8605744      0.3214446      0.5507573      0.5224191     -0.1063010        5968
      5.4230294      0.8533441      0.2786418      0.4833212      0.5006344     -0.0653057        2928
