#       Q              S_11(Q)         S_22(Q)
       0.0874682       0.0426785       0.0302283
       0.1749364       0.0137458       0.0145162
       0.2624047       0.0183557       0.0121833
       0.3498729       0.0184092       0.0118590
       0.4373411       0.0160816       0.0096974
       0.5248093       3.0894022       0.2264480
       0.6122775       0.0379655       0.0175504
       0.6997457       1.6813567       0.2485962
       0.7872139       0.0470847       0.0182291
       0.8746821       0.3811853       0.0364536
       0.9621503       0.0508444       0.0206954
       1.0496186       0.6038686       0.1970960
       1.1370867       1.4125979       0.2864698
       1.2245550       0.1133080       0.0398598
       1.3120232       0.7587634       0.1194633
       1.3994914       0.0935202       0.0413421
       1.4869597       0.6466722       0.1350689
       1.5744278       1.3530576       0.2302476
       1.6618961       1.7520231       0.5788063
       1.7493643       0.5355506       0.2437390
       1.8368325       0.2499130       0.1801557
       1.9243007       2.5232365       1.6568130
       2.0117688       0.2520798       0.2270243
       2.0992372       1.0563022       0.9026811
       2.1867054       3.2042322       4.3329334
       2.2741735       0.7822822       0.9789543
       2.3616419       1.8858705       4.6974568
       2.4491100       0.8464966       0.7026188
       2.5365782       0.6250767       1.2254372
       2.6240463       1.6173216       1.9659734
       2.7115147       2.1753092       2.6367693
       2.7989829       1.3379282       1.3524301
       2.8864510       0.7589334       0.6827036
       2.9739194       0.7859354       0.9428416
       3.0613875       1.3332433       0.9891568
       3.1488557       1.1467688       0.8787269
       3.2363238       0.7964023       0.6286970
       3.3237922       1.4208671       1.1448543
       3.4112604       0.8049365       0.5928698
       3.4987285       0.8817130       0.7822802
       3.5861969       0.6992037       0.5038139
       3.6736650       1.4261508       1.4722468
       3.7611332       0.8130241       0.7421228
       3.8486013       1.3773543       1.2269706
       3.9360697       0.9299308       0.7999722
       4.0235376       1.1476561       0.9492245
       4.1110063       1.1623603       1.3799833
       4.1984744       1.1716973       1.3328106
       4.2859426       1.1047403       1.3871942
       4.3734107       1.0100744       1.0579189
       4.4608788       0.9587207       0.9456508
       4.5483470       1.2547280       1.2343435
       4.6358151       1.0163701       0.8784185
       4.7232838       1.4394137       1.1710480
       4.8107519       1.2562826       1.1473553
       4.8982201       1.1036819       0.9314212
       4.9856882       1.4942341       1.3900387
       5.0731564       0.9452102       0.8635141
       5.1606245       1.0719365       0.9651976
       5.2480927       1.2791054       1.2225112
       5.3355613       1.1015147       1.0448382
       5.4230294       0.9666425       1.0012687
