#    Conf       T(K)      KE (eV)        PE (eV)         Pressure (bar)      Pxx(bar)     Pyy(bar)        Pzz(bar)        Pxy(bar)     Pxz(bar)        Pyz(bar)  
      100     2031.60986     7260.26563  -144764.92188  -107068.88281  -136899.89063   -93654.16406   -90652.60156    30717.02539    -6624.99316   -27097.79297
      102     1966.49695     7027.57422  -144536.15625  -106642.91406  -148913.21875   -84338.16406   -86677.35156    20070.86914    -3591.19287   -14513.16699
      104     1909.93945     6825.45752  -144332.95313  -105471.71094  -161201.92188   -72424.14844   -82789.06250    11738.06250    -5560.52441      225.91225
      106     1865.56335     6666.87305  -144176.48438  -103881.15625  -164050.25000   -79313.16406   -68280.03125     9145.67480    -5224.72607    -5675.65479
      108     1826.43506     6527.04199  -144031.09375  -101426.96875  -161076.12500   -83770.71094   -59434.08203     9330.51074    -4717.40771   -16224.62891
      110     1849.15283     6608.22754  -144112.51563  -100872.64844  -152929.76563   -81641.07813   -68047.10156    13160.01465    -2551.77563   -20380.55859
      112     1942.87476     6943.15723  -144450.48438  -103680.15625  -142984.35938   -83997.17969   -84058.93750    17273.59570     3161.94824   -20450.34180
      114     2054.12915     7340.74121  -144854.57813  -107362.28906  -133267.67188   -91284.43750   -97534.75781    19471.03711     6922.10645   -15801.97754
      116     2088.81201     7464.68604  -144981.46875  -107303.07813  -118330.21875   -94577.88281  -109001.14063    12574.94141     1493.72974   -10162.93164
      118     2026.99072     7243.75830  -144751.14063  -102581.35938   -99300.53906   -94591.42188  -113852.10938    -2961.52612    -5479.44580    -8436.57422
      120     1972.24792     7048.12646  -144555.01563   -98612.92969   -87087.68750   -99004.57813  -109746.52344   -18473.42773    -9521.12109   -15140.18457
      122     1947.35925     6959.18311  -144464.93750   -96273.71094   -86907.75781  -102402.21875   -99511.14844   -30848.10156   -12449.08691   -23774.66992
      124     1952.82397     6978.71191  -144486.10938   -96222.46875  -101813.79688   -98738.06250   -88115.55469   -34542.85547   -14347.77930   -26249.66406
      126     1967.68494     7031.81982  -144540.82813   -98574.02344  -127800.35156   -86996.60156   -80925.13281   -29736.19141   -14695.01758   -25210.59180
      128     1990.11096     7111.96289  -144617.53125  -101761.57031  -142196.25000   -77631.42969   -85457.03125   -22764.53320    -9528.63574   -21029.36914
      130     2047.69910     7317.76270  -144827.31250  -104778.10156  -146654.37500   -73203.49219   -94476.42969   -13394.16895    -6954.99023   -18128.18359
      132     2086.28369     7455.65088  -144971.31250  -105863.07031  -149909.14063   -64759.03906  -102921.03906    -2944.76929    -9477.52148   -10434.09668
      134     2049.52637     7324.29248  -144833.56250  -103903.69531  -153713.75000   -52465.46875  -105531.85156     5933.64014   -10167.34863     3504.21118
      136     2037.06470     7279.75928  -144789.60938  -103554.14063  -154484.95313   -56654.42969   -99523.03125    14923.63574    -8408.35938    10049.57324
