#  t(ps)         P_off(t)       eta_GK(t) (bar*ps))
     0.000  211565360.00000          0.00000
     0.002  201217808.00000     446060.40625
     0.004  172649936.00000     850066.68750
     0.006  143691264.00000    1191910.25000
     0.008  122792176.00000    1479875.75000
     0.010  109502360.00000    1730897.12500
     0.012  100392120.00000    1957711.75000
     0.014   93033368.00000    2166730.50000
     0.016   88687088.00000    2363100.00000
     0.018   87992296.00000    2554022.75000
     0.020   88971336.00000    2745251.75000
     0.022   88399360.00000    2936921.50000
     0.024   88898016.00000    3128511.25000
     0.026   90234408.00000    3322084.00000
     0.028   90668496.00000    3517570.50000
     0.030   92724440.00000    3715748.00000
     0.032   94120032.00000    3917653.75000
     0.034   91398112.00000    4118127.75000
     0.036   90181600.00000    4314346.00000
     0.038   91616712.00000    4510800.00000
     0.040   92077320.00000    4709301.50000
     0.042   88508560.00000    4904446.00000
     0.044   83023512.00000    5089806.50000
     0.046   77573752.00000    5263350.50000
     0.048   73414176.00000    5426509.00000
     0.050   71235728.00000    5582820.00000
     0.052   71918192.00000    5737514.50000
     0.054   73725176.00000    5894899.00000
     0.056   76613720.00000    6057356.50000
     0.058   80447264.00000    6227079.50000
     0.060   83963144.00000    6404743.50000
     0.062   90970200.00000    6593778.50000
     0.064   99017152.00000    6799082.00000
     0.066   99265768.00000    7013350.00000
     0.068   92458040.00000    7220530.00000
     0.070   83202976.00000    7410350.50000
     0.072   75458456.00000    7581803.00000
     0.074   73564048.00000    7742839.50000
     0.076   76249792.00000    7904730.50000
     0.078   79457688.00000    8072989.50000
     0.080   84483024.00000    8250146.50000
     0.082   90049112.00000    8438749.00000
     0.084   93075544.00000    8636636.00000
     0.086   90270776.00000    8834762.00000
     0.088   84378472.00000    9023491.00000
     0.090   78278248.00000    9199261.00000
     0.092   69804456.00000    9359281.00000
     0.094   57958592.00000    9497343.00000
     0.096   48466712.00000    9612349.00000
     0.098   44685968.00000    9713011.00000
     0.100   46950744.00000    9812034.00000
     0.102   54586036.00000    9921757.00000
     0.104   64608852.00000   10050561.00000
     0.106   71249888.00000   10197372.00000
     0.108   72841600.00000   10353079.00000
     0.110   72676744.00000   10510329.00000
     0.112   71840880.00000   10666497.00000
     0.114   75100544.00000   10825284.00000
     0.116   82860736.00000   10995978.00000
     0.118   85659120.00000   11178083.00000
     0.120   85373864.00000   11362904.00000
     0.122   85453992.00000   11547503.00000
     0.124   85452264.00000   11732186.00000
     0.126   81257928.00000   11912336.00000
     0.128   73411776.00000   12079475.00000
     0.130   66818896.00000   12231008.00000
     0.132   66685048.00000   12375275.00000
     0.134   71902680.00000   12525035.00000
     0.136   79618096.00000   12688771.00000
     0.138   87879800.00000   12869772.00000
     0.140   92009688.00000   13064163.00000
     0.142   91281752.00000   13262231.00000
     0.144   89285520.00000   13457356.00000
     0.146   85934816.00000   13646699.00000
     0.148   79933952.00000   13825939.00000
     0.150   73450216.00000   13991688.00000
     0.152   69457288.00000   14146117.00000
     0.154   69202904.00000   14295955.00000
     0.156   73794384.00000   14450480.00000
     0.158   79658280.00000   14616304.00000
     0.160   81966768.00000   14790958.00000
     0.162   77008936.00000   14962750.00000
     0.164   66540648.00000   15117870.00000
     0.166   58070084.00000   15252527.00000
     0.168   55502408.00000   15375255.00000
     0.170   55279096.00000   15494968.00000
     0.172   54242872.00000   15613319.00000
     0.174   50420868.00000   15726420.00000
     0.176   45992984.00000   15830607.00000
     0.178   41144736.00000   15924769.00000
     0.180   38021640.00000   16010316.00000
     0.182   41142432.00000   16095862.00000
     0.184   49095668.00000   16193375.00000
     0.186   56219276.00000   16307179.00000
     0.188   57691064.00000   16430273.00000
     0.190   54251248.00000   16551241.00000
     0.192   51128792.00000   16665116.00000
     0.194   51445008.00000   16775957.00000
     0.196   52790912.00000   16888596.00000
     0.198   50844840.00000   17000586.00000
     0.200   46522452.00000   17105802.00000
     0.202   44325692.00000   17203974.00000
     0.204   47202512.00000   17302880.00000
     0.206   51462952.00000   17409500.00000
     0.208   51217560.00000   17520458.00000
     0.210   47655296.00000   17627302.00000
     0.212   40970712.00000   17723072.00000
     0.214   32304678.00000   17802256.00000
     0.216   27385996.00000   17866758.00000
     0.218   26993946.00000   17925522.00000
     0.220   27251204.00000   17984140.00000
     0.222   27289598.00000   18043078.00000
     0.224   27365546.00000   18102138.00000
     0.226   27346912.00000   18161260.00000
     0.228   25828822.00000   18218722.00000
     0.230   23358600.00000   18271876.00000
     0.232   20667204.00000   18319452.00000
     0.234   17479498.00000   18360672.00000
     0.236   13797271.00000   18394470.00000
     0.238   10898791.00000   18421156.00000
     0.240    9063926.00000   18442728.00000
     0.242    7670176.00000   18460810.00000
     0.244    6416375.50000   18476032.00000
     0.246    5134854.00000   18488516.00000
     0.248    3953664.75000   18498336.00000
     0.250    3242264.50000   18506112.00000
     0.252    2809744.50000   18512652.00000
     0.254    2400689.25000   18518282.00000
     0.256    1918874.25000   18522950.00000
     0.258    1485752.25000   18526628.00000
     0.260    1155089.37500   18529482.00000
     0.262     885493.43750   18531686.00000
     0.264     704355.81250   18533404.00000
     0.266     614187.31250   18534828.00000
     0.268     576784.31250   18536114.00000
     0.270     563915.37500   18537346.00000
     0.272     556942.00000   18538556.00000
     0.274     509708.00000   18539708.00000
     0.276     418025.06250   18540712.00000
     0.278     326318.53125   18541516.00000
     0.280     257176.78125   18542146.00000
     0.282     229742.76563   18542672.00000
     0.284     227457.34375   18543166.00000
     0.286     225510.89063   18543656.00000
     0.288     207321.32813   18544122.00000
     0.290     178321.12500   18544538.00000
     0.292     147238.09375   18544892.00000
     0.294     114715.75000   18545174.00000
     0.296      83952.92969   18545388.00000
     0.298      64263.43359   18545548.00000
     0.300      54427.37500   18545676.00000
     0.302      47631.01563   18545786.00000
     0.304      42173.08594   18545884.00000
     0.306      36251.91797   18545968.00000
     0.308      29607.65039   18546038.00000
     0.310      23609.73633   18546098.00000
     0.312      18775.60352   18546142.00000
     0.314      15016.08301   18546180.00000
     0.316      12112.08887   18546210.00000
     0.318      10173.43652   18546234.00000
     0.320       8822.56641   18546252.00000
     0.322       7594.06689   18546270.00000
     0.324       6421.09717   18546286.00000
     0.326       5315.50293   18546298.00000
     0.328       4336.10303   18546310.00000
     0.330       3556.67139   18546318.00000
     0.332       3007.54712   18546324.00000
     0.334       2578.61646   18546330.00000
     0.336       2118.60498   18546334.00000
     0.338       1761.75745   18546340.00000
     0.340       1496.05164   18546344.00000
     0.342       1225.69727   18546346.00000
     0.344       1010.52698   18546348.00000
     0.346        869.71600   18546350.00000
     0.348        733.10162   18546352.00000
     0.350        597.19611   18546354.00000
     0.352        502.26602   18546356.00000
     0.354        422.20023   18546356.00000
     0.356        337.35022   18546356.00000
     0.358        274.78906   18546356.00000
     0.360        238.99963   18546356.00000
     0.362        211.33643   18546356.00000
     0.364        179.17892   18546356.00000
     0.366        148.81221   18546356.00000
     0.368        121.79633   18546356.00000
     0.370         97.97343   18546356.00000
     0.372         79.00292   18546356.00000
     0.374         65.18181   18546356.00000
     0.376         52.05155   18546356.00000
     0.378         40.93977   18546356.00000
     0.380         36.06791   18546356.00000
     0.382         31.97441   18546356.00000
     0.384         28.08846   18546356.00000
     0.386         24.36175   18546356.00000
     0.388         20.30404   18546356.00000
     0.390         15.39335   18546356.00000
     0.392         10.47683   18546356.00000
     0.394          7.70616   18546356.00000
     0.396          5.89325   18546356.00000
     0.398          4.94412   18546356.00000
     0.400          5.32521   18546356.00000
     0.402          4.42717   18546356.00000
     0.404          4.76690   18546356.00000
     0.406          3.14389   18546356.00000
     0.408          2.95000   18546356.00000
     0.410          1.45958   18546356.00000
     0.412          1.56243   18546356.00000
     0.414          1.67646   18546356.00000
     0.416          1.66660   18546356.00000
     0.418          1.59080   18546356.00000
     0.420          1.57036   18546356.00000
     0.422          1.62013   18546356.00000
     0.424          0.00000   18546356.00000
     0.426          0.00000   18546356.00000
     0.428          0.00000   18546356.00000
     0.430          0.00000   18546356.00000
     0.432          0.00000   18546356.00000
     0.434          0.00000   18546356.00000
     0.436          0.00000   18546356.00000
     0.438          0.00000   18546356.00000
