#      rho_cl        %clusters(rho_c)   
      0.0001887      0.0000000
      0.0003775      0.0000000
      0.0005662      0.0000000
      0.0007550      0.0000000
      0.0009437      0.0000000
      0.0011325      0.0000000
      0.0013212      0.0000000
      0.0015100      0.0000000
      0.0016987      0.0000000
      0.0018875      0.0000000
      0.0020762      0.0000000
      0.0022650      0.0000000
      0.0024537      0.0000000
      0.0026424      0.0000000
      0.0028312      0.0000000
      0.0030199      0.0000000
      0.0032087      0.0000000
      0.0033974      0.0000000
      0.0035862      0.0000000
      0.0037749      0.0000000
      0.0039637      0.0000000
      0.0041524      0.8774635
      0.0043412      2.6323905
      0.0045299      0.0000000
      0.0047187      0.0000000
      0.0049074      0.8774635
      0.0050961      0.8774635
      0.0052849      3.5098541
      0.0054736      5.2647810
      0.0056624      1.7549270
      0.0058511      5.2647810
      0.0060399      7.0197082
      0.0062286      7.0197082
      0.0064174     17.5492706
      0.0066061     17.5492706
      0.0067949     14.0394163
      0.0069836     10.5295620
      0.0071723     17.5492706
      0.0073611     14.0394163
      0.0075498     14.9168797
      0.0077386     17.5492706
      0.0079273     19.3041973
      0.0081161     14.0394163
      0.0083048     17.5492706
      0.0084936     15.7943430
      0.0086823     14.0394163
      0.0088711     25.4464417
      0.0090598     33.3436127
      0.0092486     19.3041973
      0.0094373     23.6915150
      0.0096260     31.5886860
      0.0098148     35.0985413
      0.0100035     32.4661484
      0.0101923     31.5886860
      0.0103810     35.9760017
      0.0105698     43.8731728
      0.0107585     42.9957123
      0.0109473     67.5646896
      0.0111360     63.1773720
      0.0113248     48.2604904
      0.0115135     67.5646896
      0.0117023     75.4618607
      0.0118910     54.4027367
      0.0120797     75.4618607
      0.0122685     71.0745392
      0.0124572    101.7857666
      0.0126460    110.5604019
      0.0128347    115.8251801
      0.0130235    128.1096649
      0.0132122    136.0068359
      0.0134010    136.0068359
      0.0135897    149.1687927
      0.0137785    158.8208923
      0.0139672    182.5124054
      0.0141560    183.3898621
      0.0143447    199.1842194
      0.0145334    191.2870483
      0.0147222    203.5715332
      0.0149109    200.9391327
      0.0150997    192.1645050
      0.0152884    199.1842194
      0.0154772    184.2673340
      0.0156659    172.8603058
      0.0158547    167.5955200
      0.0160434    144.7814789
      0.0162322    142.1490784
      0.0164209    134.2519073
      0.0166097     95.6435242
      0.0167984     78.0942535
      0.0169871     76.3393250
      0.0171759     54.4027367
      0.0173646     57.9125900
      0.0175534     45.6281013
      0.0177421     50.8928833
      0.0179309     36.8534660
      0.0181196     34.2210770
      0.0183084     28.9562950
      0.0184971     26.3239040
      0.0186859     23.6915150
      0.0188746     13.1619520
      0.0190633      5.2647810
      0.0192521      3.5098541
      0.0194408      4.3873177
      0.0196296      5.2647810
      0.0198183      1.7549270
      0.0200071      1.7549270
      0.0201958      0.0000000
      0.0203846      0.8774635
      0.0205733      0.0000000
      0.0207621      0.8774635
      0.0209508      0.0000000
      0.0211396      0.0000000
      0.0213283      0.0000000
      0.0215170      0.0000000
      0.0217058      0.0000000
      0.0218945      0.0000000
      0.0220833      0.0000000
      0.0222720      0.0000000
      0.0224608      0.0000000
      0.0226495      0.0000000
      0.0228383      0.0000000
      0.0230270      0.0000000
      0.0232158      0.0000000
      0.0234045      0.0000000
      0.0235933      0.0000000
      0.0237820      0.0000000
      0.0239707      0.0000000
      0.0241595      0.0000000
      0.0243482      0.0000000
      0.0245370      0.0000000
      0.0247257      0.0000000
      0.0249145      0.0000000
      0.0251032      0.0000000
      0.0252920      0.0000000
      0.0254807      0.0000000
      0.0256695      0.0000000
      0.0258582      0.0000000
      0.0260470      0.0000000
      0.0262357      0.0000000
      0.0264244      0.0000000
      0.0266132      0.0000000
      0.0268019      0.0000000
      0.0269907      0.0000000
      0.0271794      0.0000000
      0.0273682      0.0000000
      0.0275569      0.0000000
      0.0277457      0.0000000
      0.0279344      0.0000000
      0.0281232      0.0000000
      0.0283119      0.0000000
      0.0285007      0.0000000
      0.0286894      0.0000000
      0.0288781      0.0000000
      0.0290669      0.0000000
      0.0292556      0.0000000
      0.0294444      0.0000000
      0.0296331      0.0000000
      0.0298219      0.0000000
      0.0300106      0.0000000
      0.0301994      0.0000000
      0.0303881      0.0000000
      0.0305769      0.0000000
      0.0307656      0.0000000
      0.0309543      0.0000000
      0.0311431      0.0000000
      0.0313318      0.0000000
      0.0315206      0.0000000
      0.0317093      0.0000000
      0.0318981      0.0000000
      0.0320868      0.0000000
      0.0322756      0.0000000
      0.0324643      0.0000000
      0.0326531      0.0000000
      0.0328418      0.0000000
      0.0330306      0.0000000
      0.0332193      0.0000000
      0.0334080      0.0000000
      0.0335968      0.0000000
      0.0337855      0.0000000
      0.0339743      0.0000000
      0.0341630      0.0000000
      0.0343518      0.0000000
      0.0345405      0.0000000
      0.0347293      0.0000000
      0.0349180      0.0000000
      0.0351068      0.0000000
      0.0352955      0.0000000
      0.0354843      0.0000000
      0.0356730      0.0000000
      0.0358617      0.0000000
      0.0360505      0.0000000
      0.0362392      0.0000000
      0.0364280      0.0000000
      0.0366167      0.0000000
      0.0368055      0.0000000
      0.0369942      0.0000000
      0.0371830      0.0000000
      0.0373717      0.0000000
      0.0375605      0.0000000
      0.0377492      0.0000000
