#  t(ps)         C_r(t)       C_v(t)
     0.000        0.00000       24.88321
     0.005        0.00062       24.87399
     0.010        0.00249       24.72284
     0.015        0.00559       24.47419
     0.020        0.00992       24.13169
     0.025        0.01545       23.70028
     0.030        0.02217       23.18601
     0.035        0.03004       22.59587
     0.040        0.03905       21.93759
     0.045        0.04916       21.21943
     0.050        0.06033       20.45001
     0.055        0.07253       19.63810
     0.060        0.08571       18.79250
     0.065        0.09984       17.92187
     0.070        0.11487       17.03461
     0.075        0.13075       16.13874
     0.080        0.14744       15.24185
     0.085        0.16491       14.35101
     0.090        0.18309       13.47269
     0.095        0.20194       12.61273
     0.100        0.22144       11.77633
     0.105        0.24152       10.96797
     0.110        0.26215       10.19147
     0.115        0.28329        9.44992
     0.120        0.30490        8.74576
     0.125        0.32695        8.08079
     0.130        0.34941        7.45617
     0.135        0.37223        6.87254
     0.140        0.39540        6.32999
     0.145        0.41888        5.82820
     0.150        0.44265        5.36640
     0.155        0.46668        4.94351
     0.160        0.49096        4.55814
     0.165        0.51546        4.20863
     0.170        0.54017        3.89315
     0.175        0.56507        3.60967
     0.180        0.59014        3.35607
     0.185        0.61537        3.13011
     0.190        0.64076        2.92953
     0.195        0.66628        2.75204
     0.200        0.69193        2.59536
     0.205        0.71769        2.45728
     0.210        0.74357        2.33566
     0.215        0.76956        2.22845
     0.220        0.79564        2.13374
     0.225        0.82182        2.04974
     0.230        0.84809        1.97480
     0.235        0.87444        1.90745
     0.240        0.90087        1.84635
     0.245        0.92739        1.79031
     0.250        0.95398        1.73830
     0.255        0.98066        1.68947
     0.260        1.00740        1.64306
     0.265        1.03423        1.59848
     0.270        1.06112        1.55525
     0.275        1.08810        1.51299
     0.280        1.11514        1.47141
     0.285        1.14226        1.43032
     0.290        1.16945        1.38955
     0.295        1.19671        1.34902
     0.300        1.22404        1.30869
     0.305        1.25143        1.26857
     0.310        1.27890        1.22871
     0.315        1.30643        1.18918
     0.320        1.33403        1.15011
     0.325        1.36169        1.11165
     0.330        1.38941        1.07397
     0.335        1.41718        1.03723
     0.340        1.44501        1.00162
     0.345        1.47289        0.96729
     0.350        1.50081        0.93440
     0.355        1.52879        0.90305
     0.360        1.55680        0.87333
     0.365        1.58486        0.84528
     0.370        1.61296        0.81892
     0.375        1.64110        0.79424
     0.380        1.66928        0.77116
     0.385        1.69749        0.74963
     0.390        1.72574        0.72954
     0.395        1.75402        0.71078
     0.400        1.78234        0.69324
     0.405        1.81070        0.67681
     0.410        1.83909        0.66138
     0.415        1.86752        0.64686
     0.420        1.89599        0.63315
     0.425        1.92449        0.62017
     0.430        1.95303        0.60784
     0.435        1.98160        0.59609
     0.440        2.01021        0.58484
     0.445        2.03885        0.57402
     0.450        2.06753        0.56356
