#       r                 g_11(r)
         0.50000         0.00000
         1.00000         0.00000
         1.50000         0.00000
         2.00000         0.00000
         2.50000         0.00000
         3.00000         4.29549
         3.50000        48.02361
         4.00000        41.93187
         4.50000        23.05422
         5.00000        15.84542
         5.50000        15.97480
         6.00000        20.40385
         6.50000        24.24863
         7.00000        24.74406
         7.50000        21.32561
         8.00000        17.89066
         8.50000        17.04346
         9.00000        18.09497
         9.50000        18.83703
        10.00000        18.28783
        10.50000        16.92931
        11.00000        15.51733
        11.50000        14.78503
        12.00000        14.67982
        12.50000        14.51623
        13.00000        13.91276
        13.50000        13.02520
        14.00000        12.18567
        14.50000        11.58869
        15.00000        11.16430
        15.50000        10.73211
        16.00000        10.16771
        16.50000         9.51437
        17.00000         8.89321
        17.50000         8.37157
        18.00000         7.91554
        18.50000         7.45341
        19.00000         6.96951
        19.50000         6.46139
        20.00000         5.97950
        20.50000         5.54628
        21.00000         5.14430
        21.50000         4.75084
        22.00000         4.36077
        22.50000         3.98139
        23.00000         3.62126
        23.50000         3.28688
        24.00000         2.97669
        24.50000         2.68183
        25.00000         2.40158
        25.50000         2.13572
        26.00000         1.88937
        26.50000         1.66252
        27.00000         1.45410
        27.50000         1.26188
        28.00000         1.08658
        28.50000         0.92531
        29.00000         0.78163
        29.50000         0.65204
