#    Conf       T(K)      KE (Kcal/mol)  
     5000        9.99865     6437.53467
     5010        9.99677     6436.32031
     5020        9.99485     6435.08252
     5030        9.99304     6433.91797
     5040        9.99149     6432.92334
     5050        9.99037     6432.20313
     5060        9.98984     6431.85791
     5070        9.99002     6431.97217
     5080        9.99099     6432.59912
     5090        9.99277     6433.74854
     5100        9.99531     6435.38184
     5110        9.99848     6437.42285
     5120       10.00212     6439.76758
     5130       10.00604     6442.28955
     5140       10.01000     6444.83984
     5150       10.01375     6447.25391
     5160       10.01704     6449.37402
     5170       10.01968     6451.07275
     5180       10.02155     6452.27637
     5190       10.02263     6452.97412
     5200       10.02301     6453.21533
     5210       10.02282     6453.09570
     5220       10.02226     6452.73242
     5230       10.02150     6452.24463
     5240       10.02071     6451.73193
     5250       10.01998     6451.26465
     5260       10.01938     6450.87695
     5270       10.01890     6450.56982
     5280       10.01851     6450.32129
     5290       10.01818     6450.10254
     5300       10.01785     6449.89307
     5310       10.01753     6449.68555
     5320       10.01722     6449.48975
     5330       10.01697     6449.32617
     5340       10.01679     6449.21094
     5350       10.01666     6449.12939
     5360       10.01649     6449.01514
     5370       10.01608     6448.75586
     5380       10.01525     6448.21729
     5390       10.01379     6447.28223
     5400       10.01161     6445.87695
     5410       10.00868     6443.98779
     5420       10.00506     6441.65625
     5430       10.00089     6438.97119
     5440        9.99635     6436.05371
     5450        9.99168     6433.04639
     5460        9.98711     6430.09961
     5470        9.98283     6427.34863
     5480        9.97903     6424.89697
     5490        9.97578     6422.80615
     5500        9.97312     6421.09375
     5510        9.97103     6419.74707
     5520        9.96946     6418.74072
     5530        9.96841     6418.06445
     5540        9.96792     6417.74805
     5550        9.96811     6417.86768
     5560        9.96914     6418.53076
     5570        9.97117     6419.84131
     5580        9.97431     6421.86328
     5590        9.97856     6424.59863
     5600        9.98382     6427.98438
     5610        9.98989     6431.89502
     5620        9.99651     6436.15332
     5630       10.00334     6440.55029
     5640       10.01005     6444.87158
     5650       10.01632     6448.91113
     5660       10.02186     6452.47559
     5670       10.02637     6455.37939
     5680       10.02959     6457.45313
     5690       10.03133     6458.57080
     5700       10.03151     6458.68604
     5710       10.03021     6457.85205
     5720       10.02768     6456.22266
     5730       10.02426     6454.02344
     5740       10.02036     6451.50830
     5750       10.01632     6448.91162
     5760       10.01244     6446.41211
     5770       10.00887     6444.11182
     5780       10.00566     6442.04248
     5790       10.00279     6440.19678
     5800       10.00025     6438.56104
     5810        9.99803     6437.13232
     5820        9.99615     6435.91992
     5830        9.99462     6434.93994
     5840        9.99348     6434.20557
     5850        9.99273     6433.72314
     5860        9.99236     6433.48389
     5870        9.99232     6433.45557
     5880        9.99252     6433.58545
     5890        9.99286     6433.80713
     5900        9.99323     6434.04541
     5910        9.99351     6434.22510
     5920        9.99360     6434.28223
     5930        9.99345     6434.18115
     5940        9.99305     6433.92578
     5950        9.99248     6433.56201
     5960        9.99187     6433.16406
     5970        9.99133     6432.82080
     5980        9.99102     6432.61816
     5990        9.99104     6432.63281
     6000        9.99149     6432.91895
     6010        9.99238     6433.49805
     6020        9.99371     6434.35400
     6030        9.99540     6435.44092
     6040        9.99737     6436.70605
     6050        9.99954     6438.10352
     6060       10.00187     6439.60303
     6070       10.00432     6441.18457
     6080       10.00687     6442.82617
     6090       10.00947     6444.50049
     6100       10.01207     6446.16943
     6110       10.01457     6447.78125
     6120       10.01688     6449.26758
     6130       10.01885     6450.53955
     6140       10.02032     6451.48682
     6150       10.02110     6451.98682
     6160       10.02097     6451.90088
     6170       10.01965     6451.04980
     6180       10.01676     6449.18896
     6190       10.01191     6446.06982
     6200       10.00507     6441.66260
     6210        9.99688     6436.39014
     6220        9.98860     6431.06152
     6230        9.98145     6426.46045
     6240        9.97606     6422.98828
     6250        9.97245     6420.66309
     6260        9.97034     6419.30322
     6270        9.96938     6418.68408
     6280        9.96926     6418.60889
     6290        9.96974     6418.92041
     6300        9.97064     6419.49658
     6310        9.97180     6420.24121
     6320        9.97311     6421.09082
     6330        9.97455     6422.01270
     6340        9.97608     6423.00293
     6350        9.97774     6424.06836
     6360        9.97952     6425.21191
     6370        9.98140     6426.42432
     6380        9.98336     6427.68848
     6390        9.98538     6428.98926
     6400        9.98747     6430.33252
     6410        9.98967     6431.75000
     6420        9.99206     6433.28711
     6430        9.99468     6434.97754
     6440        9.99755     6436.82275
     6450       10.00060     6438.78809
     6460       10.00376     6440.81934
     6470       10.00693     6442.86523
     6480       10.01007     6444.88184
     6490       10.01309     6446.83008
     6500       10.01595     6448.66846
     6510       10.01857     6450.35498
     6520       10.02089     6451.84814
     6530       10.02285     6453.10986
     6540       10.02438     6454.09717
     6550       10.02541     6454.76172
     6560       10.02587     6455.05957
     6570       10.02573     6454.96777
     6580       10.02499     6454.48828
     6590       10.02367     6453.63965
     6600       10.02182     6452.45215
     6610       10.01953     6450.97656
     6620       10.01692     6449.29297
     6630       10.01415     6447.51025
     6640       10.01141     6445.74561
     6650       10.00886     6444.10303
     6660       10.00660     6442.65283
     6670       10.00470     6441.42432
     6680       10.00310     6440.39844
     6690       10.00173     6439.51270
     6700       10.00043     6438.67725
     6710        9.99906     6437.79688
     6720        9.99750     6436.79395
     6730        9.99569     6435.62744
     6740        9.99363     6434.30078
     6750        9.99140     6432.86670
     6760        9.98915     6431.41846
     6770        9.98708     6430.07959
     6780        9.98537     6428.97949
     6790        9.98420     6428.22949
     6800        9.98370     6427.90723
     6810        9.98392     6428.04932
     6820        9.98486     6428.65283
     6830        9.98646     6429.68506
     6840        9.98864     6431.08887
     6850        9.99129     6432.79150
     6860        9.99426     6434.70605
     6870        9.99741     6436.73682
     6880       10.00060     6438.78711
     6890       10.00368     6440.77100
     6900       10.00655     6442.61963
     6910       10.00913     6444.27686
     6920       10.01132     6445.68994
     6930       10.01305     6446.80176
     6940       10.01422     6447.55469
     6950       10.01476     6447.90234
     6960       10.01462     6447.81348
     6970       10.01378     6447.27002
     6980       10.01221     6446.26123
     6990       10.00991     6444.78320
     7000       10.00691     6442.84912
     7010       10.00327     6440.50977
     7020        9.99916     6437.86230
     7030        9.99479     6435.04590
     7040        9.99039     6432.21289
     7050        9.98618     6429.50439
     7060        9.98236     6427.04492
     7070        9.97911     6424.95117
     7080        9.97661     6423.33984
     7090        9.97501     6422.31396
     7100        9.97444     6421.94141
     7110        9.97489     6422.23682
     7120        9.97632     6423.15381
     7130        9.97856     6424.59521
     7140        9.98140     6426.42285
     7150        9.98457     6428.46777
     7160        9.98781     6430.55176
     7170        9.99086     6432.51367
     7180        9.99353     6434.23584
     7190        9.99574     6435.65869
     7200        9.99748     6436.77588
     7210        9.99879     6437.61865
     7220        9.99975     6438.23975
     7230       10.00044     6438.68652
     7240       10.00090     6438.98193
     7250       10.00110     6439.10986
     7260       10.00097     6439.02783
     7270       10.00046     6438.69580
     7280        9.99955     6438.10938
     7290        9.99833     6437.32422
     7300        9.99698     6436.45703
     7310        9.99576     6435.66846
     7320        9.99492     6435.13135
     7330        9.99472     6435.00098
     7340        9.99532     6435.39063
     7350        9.99683     6436.36035
     7360        9.99924     6437.91357
     7370       10.00248     6439.99609
     7380       10.00636     6442.49658
     7390       10.01064     6445.25293
     7400       10.01502     6448.07080
     7410       10.01920     6450.76465
     7420       10.02297     6453.19336
     7430       10.02621     6455.27490
     7440       10.02884     6456.97168
     7450       10.03085     6458.26123
     7460       10.03219     6459.12939
     7470       10.03287     6459.56348
     7480       10.03284     6459.54736
     7490       10.03207     6459.04639
     7500       10.03044     6458.00098
     7510       10.02785     6456.33496
     7520       10.02420     6453.98340
     7530       10.01946     6450.92822
     7540       10.01373     6447.23926
     7550       10.00729     6443.09570
     7560       10.00057     6438.76953
     7570        9.99404     6434.56641
     7580        9.98811     6430.74854
     7590        9.98304     6427.48438
     7600        9.97895     6424.84668
     7610        9.97585     6422.85010
     7620        9.97374     6421.49561
     7630        9.97266     6420.80078
     7640        9.97267     6420.80225
     7650        9.97380     6421.53467
     7660        9.97607     6422.99561
     7670        9.97935     6425.10791
     7680        9.98339     6427.70801
     7690        9.98784     6430.57031
     7700        9.99231     6433.45068
     7710        9.99648     6436.13428
     7720       10.00010     6438.46777
     7730       10.00306     6440.36865
     7740       10.00530     6441.81592
     7750       10.00687     6442.82373
     7760       10.00780     6443.42383
     7770       10.00816     6443.65186
     7780       10.00799     6443.54688
     7790       10.00737     6443.14600
     7800       10.00634     6442.48438
     7810       10.00496     6441.59766
     7820       10.00331     6440.53027
     7830       10.00148     6439.35449
     7840        9.99965     6438.17676
     7850        9.99802     6437.12451
     7860        9.99676     6436.31250
     7870        9.99598     6435.81494
     7880        9.99575     6435.66602
     7890        9.99607     6435.87354
     7900        9.99696     6436.44336
     7910        9.99842     6437.38281
     7920       10.00045     6438.69189
     7930       10.00302     6440.34521
     7940       10.00604     6442.28711
     7950       10.00938     6444.44238
     7960       10.01293     6446.72607
     7970       10.01654     6449.04834
     7980       10.02005     6451.30762
     7990       10.02328     6453.39160
     8000       10.02608     6455.19189
     8010       10.02831     6456.62598
     8020       10.02991     6457.65967
     8030       10.03092     6458.30811
     8040       10.03141     6458.62109
     8050       10.03146     6458.65674
     8060       10.03117     6458.46777
     8070       10.03058     6458.09277
     8080       10.02974     6457.55127
     8090       10.02864     6456.83789
     8100       10.02721     6455.91846
     8110       10.02538     6454.74365
     8120       10.02310     6453.27637
     8130       10.02036     6451.50928
     8140       10.01721     6449.47900
     8150       10.01378     6447.27539
     8160       10.01032     6445.04688
     8170       10.00710     6442.97217
     8180       10.00435     6441.19922
     8190       10.00215     6439.78760
     8200       10.00046     6438.69775
     8210        9.99912     6437.83301
     8220        9.99798     6437.10205
     8230        9.99699     6436.46631
     8240        9.99618     6435.94043
     8250        9.99560     6435.56689
     8260        9.99530     6435.37744
     8270        9.99529     6435.36621
     8280        9.99547     6435.48438
