#         w(THz)       w(meV)            Z(w)
        0.00000        0.00000        2.90095
        0.19531        0.80760        2.85854
        0.39062        1.61520        2.68455
        0.58592        2.42280        2.50501
        0.78123        3.23039        2.31055
        0.97654        4.03799        2.10407
        1.17185        4.84559        1.92103
        1.36716        5.65319        1.75644
        1.56246        6.46079        1.62857
        1.75777        7.26839        1.47933
        1.95308        8.07599        1.37169
        2.14839        8.88359        1.24393
        2.34370        9.69118        1.09819
        2.53900       10.49878        0.98304
        2.73431       11.30638        0.87610
        2.92962       12.11398        0.77289
        3.12493       12.92158        0.67882
        3.32024       13.72918        0.59816
        3.51554       14.53678        0.52307
        3.71085       15.34437        0.44251
        3.90616       16.15198        0.37665
        4.10147       16.95957        0.31755
        4.29678       17.76717        0.26483
        4.49208       18.57477        0.20894
        4.68739       19.38237        0.16548
        4.88270       20.18997        0.13548
        5.07801       20.99756        0.10740
        5.27332       21.80516        0.08770
        5.46862       22.61276        0.06787
        5.66393       23.42036        0.05354
        5.85924       24.22796        0.04161
        6.05455       25.03556        0.03295
        6.24986       25.84316        0.02722
        6.44516       26.65076        0.02371
        6.64047       27.45835        0.01808
        6.83578       28.26595        0.01452
        7.03109       29.07355        0.01223
        7.22640       29.88115        0.01099
        7.42170       30.68875        0.00861
        7.61701       31.49635        0.00810
        7.81232       32.30395        0.00568
        8.00763       33.11155        0.00516
        8.20294       33.91915        0.00397
        8.39824       34.72675        0.00344
        8.59355       35.53434        0.00297
        8.78886       36.34194        0.00242
        8.98417       37.14954        0.00240
        9.17948       37.95714        0.00255
        9.37478       38.76474        0.00178
        9.57009       39.57234        0.00140
        9.76540       40.37994        0.00164
        9.96071       41.18753        0.00093
       10.15602       41.99513        0.00099
       10.35133       42.80273        0.00080
       10.54663       43.61033        0.00096
       10.74194       44.41793        0.00036
       10.93725       45.22552        0.00066
       11.13256       46.03313        0.00027
       11.32787       46.84072        0.00056
       11.52317       47.64833        0.00024
       11.71848       48.45592        0.00064
       11.91379       49.26352        0.00021
       12.10910       50.07112        0.00057
       12.30441       50.87872        0.00015
       12.49971       51.68632        0.00044
       12.69502       52.49392        0.00022
       12.89033       53.30152        0.00040
       13.08564       54.10912        0.00015
       13.28094       54.91671        0.00027
       13.47625       55.72431        0.00017
       13.67156       56.53191        0.00017
       13.86687       57.33951        0.00011
       14.06218       58.14711        0.00007
       14.25749       58.95471        0.00017
       14.45279       59.76231        0.00005
       14.64810       60.56990        0.00016
       14.84341       61.37750       -0.00002
       15.03872       62.18510        0.00017
       15.23403       62.99270       -0.00005
       15.42933       63.80030        0.00020
       15.62464       64.60790       -0.00007
       15.81995       65.41550        0.00018
       16.01526       66.22309       -0.00009
       16.21057       67.03069        0.00016
       16.40587       67.83829       -0.00013
       16.60118       68.64589        0.00013
       16.79649       69.45349       -0.00012
       16.99180       70.26109        0.00012
       17.18711       71.06869       -0.00010
       17.38241       71.87628        0.00008
       17.57772       72.68388       -0.00008
       17.77303       73.49149        0.00005
