# Cluster    x          y           z          Q_l( 4)     Q_l( 6)     Q_l( 8)     Q_l(10)     Q_l(12)
    1   349.80072   511.65585   147.79816     0.06605     0.29821     0.21799     0.15474     0.27071
    2   362.43698   449.98755    85.63454     0.07816     0.30079     0.18932     0.20225     0.33100
    3   548.03052   348.81833    17.97427     0.08141     0.32190     0.20603     0.24799     0.31176
    4   491.52448   632.03949   443.18701     0.08610     0.25205     0.19834     0.14369     0.26019
    5   443.60312   278.86768   219.49104     0.05856     0.28684     0.24896     0.23610     0.28036
    6   572.52234   526.02063   176.35619     0.12887     0.21756     0.29943     0.27053     0.29611
    7   390.83401   605.90826    73.73199     0.13949     0.30816     0.25734     0.26822     0.31542
    8   319.78979   524.11743   623.82275     0.09487     0.21701     0.23230     0.26275     0.34596
    9    67.89262   166.25948   566.44489     0.12173     0.29464     0.25642     0.24928     0.26862
   10   200.98309   555.93243   628.88025     0.11344     0.23261     0.19570     0.19889     0.31607
   11   281.58749   329.29895    28.06837     0.09205     0.24108     0.22256     0.16198     0.23567
   12   487.84882   494.01001   174.60622     0.10395     0.23368     0.21014     0.21797     0.33522
   13    65.28690   304.29044   505.79739     0.08361     0.23977     0.29064     0.24333     0.23225
   14   401.51749   468.97366   538.38147     0.12184     0.28387     0.26201     0.23569     0.30552
   15   221.52327   204.39098   426.81854     0.12584     0.27889     0.15446     0.12086     0.27493
   16    26.14326    94.32677   426.41901     0.11564     0.22361     0.16778     0.17178     0.24846
   17   272.37112   604.33337   653.70410     0.10852     0.31992     0.21020     0.19263     0.30280
   18    71.31635   386.80722   432.01587     0.12471     0.20893     0.20197     0.25806     0.30429
   19   130.02158   105.12583   207.74231     0.08125     0.28813     0.21471     0.20117     0.28459
   20   572.30872   358.67380   241.87975     0.10585     0.29383     0.20222     0.22346     0.22557
   21   370.29767   325.25797   170.31258     0.07726     0.22838     0.23755     0.17194     0.24042
   22   429.90460   383.46222   304.75247     0.09155     0.28204     0.20822     0.14971     0.28013
   23   475.72931   550.57666   468.41360     0.11775     0.30041     0.22539     0.23199     0.39045
   24     5.59491   515.14105    65.65442     0.08081     0.23764     0.15149     0.19683     0.35813
   25   237.80920   473.20465   615.35175     0.04071     0.23323     0.20356     0.18345     0.24322
   26   637.48761   315.41965   289.55887     0.12988     0.23487     0.25726     0.18508     0.26562
   27    20.57254   241.50668   264.87772     0.05349     0.26895     0.19136     0.14647     0.31536
   28   268.41373   642.23804   430.67471     0.05957     0.22990     0.19052     0.21248     0.32154
   29   117.40394   435.99039   197.39745     0.10965     0.25733     0.21626     0.22132     0.38388
   30   240.54846    56.48931   584.45294     0.08995     0.21512     0.26422     0.16521     0.24964
   31   234.62381    68.00645   173.98242     0.15416     0.22227     0.21929     0.19479     0.28233
   32   328.66898    39.66352   461.09125     0.09429     0.31910     0.26005     0.18270     0.33498
   33   329.24106   572.71411   430.98538     0.07522     0.23148     0.27124     0.29349     0.30676
   34   213.36884   208.08385   337.51563     0.08674     0.29279     0.17593     0.23291     0.26612
   35    29.37767   445.56610   203.87611     0.07089     0.27278     0.25852     0.26695     0.28213
   36   202.64404    80.66631    27.28169     0.09984     0.25254     0.23795     0.17688     0.25207
   37    17.31867   514.70789   574.11877     0.12159     0.19770     0.24162     0.22678     0.31877
   38    64.26199   225.21457   629.16516     0.10025     0.27048     0.18744     0.22577     0.26442
   39   318.27017   219.94290   296.90533     0.07652     0.30125     0.23253     0.17089     0.34376
