#      r        psi_cum 4(r)   psi_cum 6(r)   psi_cum 8(r)   psi_cum10(r)   psi_cum12(r)
   0.00000     0.00017     0.00031     0.00032     0.00030     0.00031
   0.21916     0.00166     0.00279     0.00289     0.00257     0.00264
   0.43832     0.00414     0.00788     0.00760     0.00679     0.00714
   0.65748     0.00930     0.01922     0.01825     0.01607     0.01707
   0.87664     0.01856     0.03993     0.03879     0.03435     0.03663
   1.09580     0.03224     0.06984     0.06792     0.06003     0.06376
   1.31496     0.05292     0.11509     0.11203     0.09891     0.10466
   1.53411     0.07144     0.15548     0.15136     0.13306     0.14096
   1.75327     0.07963     0.17054     0.16543     0.14578     0.15424
   1.97243     0.08466     0.17956     0.17363     0.15331     0.16218
   2.19159     0.08889     0.18690     0.18048     0.15949     0.16865
   2.41075     0.08995     0.18689     0.18029     0.15941     0.16855
   2.62991     0.09211     0.18974     0.18291     0.16195     0.17111
   2.84907     0.09604     0.19585     0.18868     0.16739     0.17677
   3.06823     0.07572     0.15315     0.14744     0.13090     0.13829
   3.28739     0.07857     0.15705     0.15126     0.13444     0.14200
   3.50655     0.06749     0.13339     0.12858     0.11444     0.12087
   3.72571     0.05904     0.11481     0.11058     0.09869     0.10417
   3.94487     0.04633     0.08911     0.08589     0.07671     0.08097
   4.16403     0.03880     0.07351     0.07073     0.06333     0.06675
   4.38318     0.03334     0.06252     0.06026     0.05397     0.05687
   4.60234     0.02495     0.04617     0.04447     0.03990     0.04203
   4.82150     0.02375     0.04374     0.04212     0.03781     0.03982
   5.04066     0.02200     0.04016     0.03868     0.03477     0.03659
   5.25982     0.02107     0.03815     0.03675     0.03306     0.03478
   5.47898     0.02055     0.03692     0.03558     0.03205     0.03370
   5.69814     0.02074     0.03698     0.03564     0.03213     0.03378
   5.91730     0.02080     0.03685     0.03552     0.03204     0.03368
   6.13646     0.02093     0.03691     0.03557     0.03212     0.03375
   6.35562     0.02112     0.03708     0.03573     0.03229     0.03391
   6.57478     0.02145     0.03748     0.03612     0.03268     0.03430
   6.79394     0.02178     0.03786     0.03650     0.03304     0.03467
   7.01309     0.02211     0.03824     0.03686     0.03339     0.03503
   7.23225     0.02243     0.03861     0.03720     0.03375     0.03537
   7.45141     0.02271     0.03892     0.03752     0.03406     0.03569
   7.67057     0.02302     0.03926     0.03783     0.03437     0.03601
   7.88973     0.02329     0.03955     0.03811     0.03465     0.03628
   8.10889     0.02356     0.03987     0.03841     0.03495     0.03660
   8.32805     0.02380     0.04016     0.03868     0.03523     0.03686
