#      r                  RG_cl(r)
      3.9448659      0.0026239
      4.1640253      0.0122447
      4.3831844      0.0069970
      4.6023436      0.0061223
      4.8215027      0.0008746
      5.0406618      0.0069970
      5.4789805      0.0008746
      5.9172988      0.0008746
      6.3556170      0.0017492
      6.7939358      0.0017492
      7.0130949      0.0061223
      7.2322540      0.0034985
      7.4514132      0.0148685
      7.6705728      0.0096208
      7.8897319      0.0034985
      8.1088905      0.0052477
      8.3280506      0.0174924
      8.5472097      0.0078716
      8.7663689      0.0122447
      8.9855280      0.0122447
      9.2046871      0.0183670
      9.4238462      0.0288625
      9.6430054      0.0323609
      9.8621645      0.0236147
     10.0813236      0.0306117
     10.3004827      0.0279878
     10.5196419      0.0848381
     10.7388020      0.0568503
     10.9579611      0.0533518
     11.1771202      0.0813397
     11.3962793      0.1539331
     11.6154385      0.1810464
     11.8345976      0.1906672
     12.0537567      0.2693830
     12.2729158      0.3454749
     12.4920750      0.5475121
     12.7112341      0.5772492
     12.9303942      0.6778305
     13.1495533      0.4775425
     13.3687124      0.5702522
     14.4645081   3787.1755371
