#      r                  rho_cl(r)
       0.000000       0.000000
       0.219159       0.026596
       0.438318       0.023599
       0.657478       0.020537
       0.876637       0.028181
       1.095796       0.027556
       1.314955       0.028452
       1.534114       0.028622
       1.753274       0.028464
       1.972433       0.026947
       2.191592       0.027321
       2.410751       0.026957
       2.629910       0.026617
       2.849070       0.026590
       3.068229       0.026230
       3.287388       0.026723
       3.506547       0.026481
       3.725707       0.027536
       3.944866       0.027206
       4.164025       0.026322
       4.383184       0.025871
       4.602344       0.026141
       4.821503       0.026658
       5.040662       0.026442
       5.259821       0.025833
       5.478981       0.025963
       5.698140       0.026030
       5.917299       0.025641
       6.136458       0.025107
       6.355617       0.025260
       6.574777       0.025532
       6.793936       0.025292
       7.013095       0.024826
       7.232254       0.024624
       7.451413       0.024725
       7.670573       0.023904
       7.889732       0.024229
       8.108891       0.024395
       8.328051       0.023881
       8.547210       0.023609
       8.766369       0.023541
       8.985528       0.023367
       9.204687       0.023122
       9.423846       0.022911
       9.643005       0.022690
       9.862164       0.022423
      10.081324       0.021918
      10.300483       0.021957
      10.519642       0.021398
      10.738802       0.021479
      10.957961       0.021170
      11.177120       0.020403
      11.396279       0.020625
      11.615438       0.020051
      11.834598       0.019696
      12.053757       0.019508
      12.272916       0.019600
      12.492075       0.019166
      12.711234       0.018914
      12.930394       0.018251
      13.149553       0.017836
      13.368712       0.017509
      13.587872       0.016845
      13.807031       0.016317
      14.026190       0.016013
      14.245349       0.015419
      14.464508       0.015111
      14.683667       0.014758
      14.902826       0.014246
      15.121985       0.013984
      15.341146       0.013594
      15.560305       0.013044
      15.779464       0.012626
      15.998623       0.012193
      16.217781       0.011501
      16.436941       0.010754
      16.656101       0.009700
      16.875259       0.008864
      17.094419       0.007848
      17.313578       0.006828
      17.532738       0.005733
      17.751896       0.004895
      17.971056       0.003956
      18.190214       0.002994
      18.409374       0.002297
      18.628532       0.001683
      18.847692       0.001149
      19.066853       0.000796
      19.286011       0.000561
      19.505171       0.000366
      19.724329       0.000228
      19.943489       0.000139
      20.162647       0.000079
      20.381807       0.000047
      20.600965       0.000024
      20.820126       0.000013
      21.039284       0.000008
      21.258444       0.000006
      21.477604       0.000002
      21.696762       0.000001
      21.915922       0.000001
      22.135080       0.000000
      22.354240       0.000000
      22.573399       0.000000
      22.792559       0.000000
      23.011717       0.000000
      23.230877       0.000000
      23.450037       0.000000
      23.669195       0.000000
      23.888355       0.000000
      24.107513       0.000000
      24.326674       0.000000
      24.545832       0.000000
      24.764992       0.000000
      24.984150       0.000000
      25.203310       0.000000
      25.422468       0.000000
      25.641628       0.000000
      25.860788       0.000000
      26.079947       0.000000
      26.299107       0.000000
      26.518265       0.000000
      26.737425       0.000000
      26.956583       0.000000
      27.175743       0.000000
      27.394901       0.000000
      27.614061       0.000000
      27.833220       0.000000
      28.052380       0.000000
      28.271540       0.000000
      28.490698       0.000000
      28.709858       0.000000
      28.929016       0.000000
      29.148176       0.000000
      29.367334       0.000000
      29.586494       0.000000
      29.805653       0.000000
      30.024813       0.000000
      30.243971       0.000000
      30.463131       0.000000
      30.682291       0.000000
      30.901449       0.000000
      31.120609       0.000000
      31.339767       0.000000
      31.558928       0.000000
      31.778086       0.000000
      31.997246       0.000000
      32.216404       0.000000
      32.435562       0.000000
      32.654724       0.000000
      32.873882       0.000000
      33.093040       0.000000
      33.312202       0.000000
      33.531361       0.000000
      33.750519       0.000000
      33.969677       0.000000
      34.188839       0.000000
      34.407997       0.000000
      34.627155       0.000000
      34.846313       0.000000
      35.065475       0.000000
      35.284634       0.000000
      35.503792       0.000000
      35.722954       0.000000
      35.942112       0.000000
      36.161270       0.000000
      36.380428       0.000000
      36.599590       0.000000
      36.818748       0.000000
      37.037907       0.000000
      37.257065       0.000000
      37.476227       0.000000
      37.695385       0.000000
      37.914543       0.000000
      38.133705       0.000000
      38.352863       0.000000
      38.572021       0.000000
      38.791180       0.000000
      39.010342       0.000000
      39.229500       0.000000
      39.448658       0.000000
      39.667816       0.000000
      39.886978       0.000000
      40.106136       0.000000
      40.325294       0.000000
      40.544456       0.000000
      40.763615       0.000000
      40.982773       0.000000
      41.201931       0.000000
      41.421093       0.000000
      41.640251       0.000000
      41.859409       0.000000
      42.078568       0.000000
      42.297729       0.000000
      42.516888       0.000000
      42.736046       0.000000
      42.955208       0.000000
      43.174366       0.000000
      43.393524       0.000000
      43.612682       0.000000
      43.831844       0.000000
