#      Q            S_cl-cl(Q)
      0.0095200      0.0162610
      0.0190400      0.0227472
      0.0285599      0.0153459
      0.0380799      0.0264845
      0.0475999      0.0327010
      0.0571199      0.0436447
      0.0666398      0.1227968
      0.0761598      0.5864708
      0.0856798      3.4226024
      0.0951998      1.6020012
      0.1047198      0.6499132
      0.1142397      0.5288950
      0.1237597      0.4463694
      0.1332797      0.6195543
      0.1427997      0.9660494
      0.1523197      1.4670376
      0.1618396      1.3437178
      0.1713596      1.2673157
      0.1808796      0.9282882
      0.1903996      0.7115731
      0.1999196      0.7218923
      0.2094395      0.8381991
      0.2189595      1.1300999
      0.2284795      1.2749732
      0.2379995      1.1807536
      0.2475194      1.0280926
      0.2570394      0.9018894
      0.2665594      0.8577852
      0.2760794      0.8256787
      0.2855994      1.0188560
      0.2951193      1.1382339
      0.3046393      1.0977218
      0.3141593      1.0760503
      0.3236793      0.9318805
      0.3331992      0.9278280
      0.3427192      0.9416568
      0.3522392      0.9670900
      0.3617592      1.0133940
      0.3712792      1.0855708
      0.3807991      1.0430381
      0.3903191      1.0185796
      0.3998391      0.9781270
      0.4093591      0.9345896
      0.4188791      0.9550838
      0.4283990      1.0091857
      0.4379190      1.0178648
      0.4474390      1.0328797
      0.4569589      1.0207210
      0.4664789      1.0128676
      0.4759989      0.9766963
