#       Q              S_11(Q)
       0.0095200      11.9001999
       0.0190400      20.7618179
       0.0285599      28.8311024
       0.0380799      27.2231293
       0.0475999      41.6502380
       0.0571199      47.4265366
       0.0666398      81.5185699
       0.0761598     232.2959137
       0.0856798     908.4144287
       0.0951998     356.0807800
       0.1047198     131.5933838
       0.1142397     111.8328323
       0.1237597      88.2460938
       0.1332797     101.2442474
       0.1427997     130.9586334
       0.1523197     152.2309875
       0.1618396     108.6634674
       0.1713596      80.2976456
       0.1808796      46.9142532
       0.1903996      28.0387821
       0.1999196      22.2728634
       0.2094395      18.2642822
       0.2189595      16.4405537
       0.2284795      11.8044796
       0.2379995       6.8613906
       0.2475194       3.5205641
       0.2570394       1.7242254
       0.2665594       0.8589095
       0.2760794       0.4339768
       0.2855994       0.3810889
       0.2951193       0.5800855
       0.3046393       0.7881777
       0.3141593       1.0124366
       0.3236793       1.1380632
       0.3331992       1.3016613
       0.3427192       1.3832109
       0.3522392       1.4327919
       0.3617592       1.3935153
       0.3712792       1.3517594
       0.3807991       1.1243997
       0.3903191       0.9166599
       0.3998391       0.6989887
       0.4093591       0.5229679
       0.4188791       0.3863770
       0.4283990       0.2808528
       0.4379190       0.2055142
       0.4474390       0.1548610
       0.4569589       0.1334486
       0.4664789       0.1333731
       0.4759989       0.1448583
       0.4855189       0.1788819
       0.5140789       0.1983776
       0.5426388       0.2168506
       0.5711987       0.1801344
       0.5997586       0.1215805
       0.6283185       0.0964154
       0.6568785       0.1049742
       0.6854385       0.1098478
       0.7139984       0.1294223
       0.7425583       0.1336828
       0.7711182       0.1147767
       0.7996782       0.1189480
       0.8282381       0.1178172
       0.8567981       0.1177994
       0.8853580       0.1289628
       0.9139179       0.1258490
       0.9424779       0.1374299
       0.9710378       0.1337380
       0.9995977       0.1484253
       1.0281577       0.1408180
       1.0567176       0.1733635
       1.0852776       0.1978491
       1.1138375       0.1817197
       1.1423974       0.2037135
       1.1709573       0.2405874
       1.1995173       0.2667596
       1.2280772       0.2327126
       1.2566371       0.2341808
       1.2851971       0.3428211
       1.3137571       0.3655684
       1.3423170       0.3931163
       1.3708769       0.4482653
       1.3994368       0.3955377
       1.4279968       0.4707207
       1.4565567       0.5314316
       1.4851166       0.4595708
       1.5136765       0.5579854
       1.5422364       0.6238493
       1.5707965       0.5376166
       1.5993564       0.6189907
       1.6279163       0.7931142
       1.6564763       0.8283713
       1.6850362       0.9554484
       1.7135961       1.0209680
       1.7421560       1.0515686
       1.7707160       1.0814136
       1.7992759       1.2765245
       1.8278358       1.5637199
       1.8563958       1.6245279
       1.8849558       1.5243925
       1.9135157       1.4848773
       1.9420756       1.8771038
       1.9706355       1.9292768
       1.9991955       1.7986778
       2.0277555       1.6100687
       2.0563154       1.7648599
       2.0848753       2.0970654
       2.1134353       2.2713859
       2.1419952       1.7518663
       2.1705551       1.6445910
       2.1991150       1.4882725
       2.2276750       1.4019473
       2.2562349       1.3191798
       2.2847948       1.2648456
       2.3133547       1.0987756
       2.3419147       1.0772817
       2.3704746       0.9572480
       2.3990345       0.9846417
       2.4275944       0.9111274
       2.4561543       0.8499985
       2.4847143       0.9326053
       2.5132742       0.7879175
       2.5418344       0.6744305
       2.5703943       0.7825019
       2.5989542       0.8075476
       2.6275141       0.7776875
       2.6560740       0.7494542
       2.6846340       0.6976107
       2.7131939       0.7046398
       2.7417538       0.7625502
       2.7703137       0.7541224
       2.7988737       0.7695793
       2.8274336       0.7293184
       2.8559935       0.7133673
       2.8845534       0.6834996
       2.9131134       0.8512115
       2.9416733       0.8602688
       2.9702332       0.8020948
       2.9987931       0.7821055
       3.0273530       0.9314867
       3.0559130       0.9620720
       3.0844729       0.8738295
       3.1130331       0.8743785
       3.1415930       0.8143831
       3.1701529       0.9179093
       3.1987128       0.9019310
       3.2272727       0.8003257
       3.2558327       0.9192300
       3.2843926       0.9488168
       3.3129525       0.9866949
       3.3415124       0.9303483
       3.3700724       0.9040920
       3.3986323       1.1182178
       3.4271922       1.1578771
       3.4557521       1.1464071
       3.4843121       1.0775709
       3.5128720       1.1439617
       3.5414319       1.2023560
       3.5699918       1.1134499
       3.5985518       1.0162603
       3.6271117       1.0473483
       3.6556716       1.1153808
       3.6842318       1.1466936
       3.7127917       1.1435046
       3.7413516       1.1852306
       3.7699115       1.1532314
       3.7984715       1.1405296
       3.8270314       1.2725315
       3.8555913       1.1080602
       3.8841512       1.1452779
       3.9127111       1.1175537
       3.9412711       1.1660401
       3.9698310       1.0498484
       3.9983909       1.0361606
       4.0269508       1.1561358
       4.0555110       1.0982958
       4.0840707       1.1765579
       4.1126308       1.0588745
       4.1411905       1.0310833
       4.1697507       0.9746342
       4.1983104       0.9078566
       4.2268705       0.9381872
       4.2554302       1.0165970
       4.2839904       0.9678842
       4.3125501       0.9977767
       4.3411102       1.0585840
       4.3696699       0.9919999
       4.3982301       0.8779087
       4.4267898       0.8916596
       4.4553499       0.9109057
       4.4839096       0.8934017
       4.5124698       0.8783982
       4.5410299       0.9602019
       4.5695896       0.9589936
       4.5981498       0.8966894
       4.6267095       0.9486896
       4.6552696       0.9090220
       4.6838293       0.8613623
       4.7123895       0.8819177
       4.7409492       1.0132549
       4.7695093       0.9721837
       4.7980690       0.9552587
       4.8266292       0.8975630
       4.8551888       0.8622921
       4.8837490       0.9239269
       4.9123087       0.9156228
       4.9408689       0.9247577
       4.9694285       0.9357947
       4.9979887       0.9719638
       5.0265484       0.9718090
       5.0551085       0.9591473
       5.0836687       0.9981039
       5.1122284       0.9892824
       5.1407886       0.9833599
       5.1693482       0.9510558
       5.1979084       1.0015513
       5.2264681       1.0757390
       5.2550282       0.9752332
       5.2835879       0.9911253
       5.3121481       1.0321878
       5.3407078       1.1081333
       5.3692679       1.0475039
       5.3978276       0.9717332
       5.4263878       1.0375556
       5.4549475       0.9742635
       5.4835076       0.9519205
       5.5120673       1.0271199
       5.5406275       0.9989020
       5.5691872       0.9345713
       5.5977473       0.9555853
       5.6263075       0.9986410
       5.6548672       1.0130820
       5.6834273       1.0250033
       5.7119870       0.9663383
       5.7405472       0.9802729
       5.7691069       1.0800732
       5.7976670       1.0804522
       5.8262267       1.0984130
       5.8547869       1.1299121
       5.8833466       1.0221012
