#  w(THz)       w(meV)     S(0.1800,w)    Ss(0.1800,w)
     0.000     0.000       91.78363        1.78857
     0.195     0.808       21.55464        0.44237
     0.391     1.615       -6.84954       -0.12394
     0.586     2.423        3.32347        0.06422
     0.781     3.230       -1.96167       -0.03580
     0.977     4.038        1.98128        0.03739
     1.172     4.846       -1.47821       -0.02724
     1.367     5.653        1.61132        0.03037
     1.562     6.461       -1.23414       -0.02285
     1.758     7.268        1.37753        0.02589
     1.953     8.076       -1.03654       -0.01924
     2.148     8.884        1.18046        0.02212
     2.344     9.691       -0.85056       -0.01581
     2.539    10.499        0.99007        0.01853
     2.734    11.306       -0.66635       -0.01240
     2.930    12.114        0.80279        0.01502
     3.125    12.922       -0.48463       -0.00901
     3.320    13.729        0.62030        0.01159
     3.516    14.537       -0.30714       -0.00571
     3.711    15.344        0.44606        0.00833
     3.906    16.152       -0.13985       -0.00259
     4.101    16.960        0.28446        0.00531
     4.297    17.767        0.01263        0.00025
     4.492    18.575        0.13985        0.00261
     4.687    19.382        0.14632        0.00274
     4.883    20.190        0.01627        0.00030
     5.078    20.998        0.25759        0.00482
     5.273    21.805       -0.08337       -0.00156
     5.469    22.613        0.34410        0.00643
     5.664    23.420       -0.15727       -0.00294
     5.859    24.228        0.40443        0.00756
     6.055    25.036       -0.20479       -0.00383
     6.250    25.843        0.43861        0.00819
     6.445    26.651       -0.22659       -0.00423
     6.640    27.458        0.44783        0.00836
     6.836    28.266       -0.22430       -0.00419
     7.031    29.074        0.43426        0.00811
     7.226    29.881       -0.20072       -0.00375
     7.422    30.689        0.40112        0.00749
     7.617    31.496       -0.15943       -0.00297
     7.812    32.304        0.35237        0.00658
     8.008    33.112       -0.10462       -0.00195
     8.203    33.919        0.29237        0.00546
     8.398    34.727       -0.04088       -0.00076
     8.594    35.534        0.22581        0.00421
     8.789    36.342        0.02709        0.00051
     8.984    37.150        0.15735        0.00294
     9.179    37.957        0.09473        0.00177
     9.375    38.765        0.09137        0.00170
     9.570    39.572        0.15787        0.00295
     9.765    40.380        0.03180        0.00059
     9.961    41.188        0.21291        0.00398
    10.156    41.995       -0.01813       -0.00034
    10.351    42.803        0.25697        0.00480
    10.547    43.610       -0.05597       -0.00105
    10.742    44.418        0.28807        0.00538
    10.937    45.226       -0.08020       -0.00150
    11.133    46.033        0.30515        0.00570
    11.328    46.841       -0.09019       -0.00168
    11.523    47.648        0.30804        0.00575
    11.718    48.456       -0.08627       -0.00161
    11.914    49.264        0.29749        0.00556
    12.109    50.071       -0.06958       -0.00130
    12.304    50.879        0.27505        0.00514
    12.500    51.686       -0.04200       -0.00078
    12.695    52.494        0.24287        0.00453
    12.890    53.302       -0.00597       -0.00011
    13.086    54.109        0.20364        0.00380
    13.281    54.917        0.03565        0.00067
    13.476    55.724        0.16032        0.00299
    13.672    56.532        0.07985        0.00149
    13.867    57.340        0.11595        0.00216
    14.062    58.147        0.12359        0.00231
    14.257    58.955        0.07351        0.00137
    14.453    59.762        0.16402        0.00306
    14.648    60.570        0.03566        0.00067
    14.843    61.377        0.19866        0.00371
    15.039    62.185        0.00467        0.00009
    15.234    62.993        0.22553        0.00421
    15.429    63.800       -0.01777       -0.00033
    15.625    64.608        0.24323        0.00454
    15.820    65.415       -0.03060       -0.00057
    16.015    66.223        0.25105        0.00469
    16.211    67.031       -0.03342       -0.00062
    16.406    67.838        0.24892        0.00465
    16.601    68.646       -0.02653       -0.00050
    16.796    69.453        0.23745        0.00443
    16.992    70.261       -0.01081       -0.00020
    17.187    71.069        0.21782        0.00407
    17.382    71.876        0.01230        0.00023
    17.578    72.684        0.19167        0.00358
    17.773    73.491        0.04094        0.00076
    17.968    74.299        0.16104        0.00301
    18.164    75.107        0.07298        0.00136
    18.359    75.914        0.12815        0.00239
    18.554    76.722        0.10612        0.00198
    18.750    77.529        0.09529        0.00178
    18.945    78.337        0.13813        0.00258
    19.140    79.145        0.06465        0.00121
    19.335    79.952        0.16690        0.00312
    19.531    80.760        0.03819        0.00071
    19.726    81.567        0.19063        0.00356
    19.921    82.375        0.01751        0.00033
    20.117    83.183        0.20793        0.00388
    20.312    83.990        0.00380        0.00007
    20.507    84.798        0.21788        0.00407
    20.703    85.605       -0.00229       -0.00004
    20.898    86.413        0.22007        0.00411
    21.093    87.221       -0.00063       -0.00001
    21.289    88.028        0.21463        0.00401
    21.484    88.836        0.00840        0.00016
    21.679    89.643        0.20221        0.00378
    21.874    90.451        0.02393        0.00045
    22.070    91.259        0.18386        0.00343
    22.265    92.066        0.04471        0.00084
    22.460    92.874        0.16103        0.00301
    22.656    93.681        0.06916        0.00129
    22.851    94.489        0.13540        0.00253
    23.046    95.297        0.09550        0.00178
    23.242    96.104        0.10879        0.00203
    23.437    96.912        0.12192        0.00228
    23.632    97.719        0.08302        0.00155
    23.828    98.527        0.14661        0.00274
    24.023    99.335        0.05980        0.00112
    24.218   100.142        0.16797        0.00314
    24.414   100.950        0.04062        0.00076
    24.609   101.757        0.18466        0.00345
    24.804   102.565        0.02666        0.00050
    24.999   103.373        0.19569        0.00365
    25.195   104.180        0.01869        0.00035
    25.390   104.988        0.20048        0.00374
    25.585   105.795        0.01710        0.00032
    25.781   106.603        0.19889        0.00371
    25.976   107.411        0.02179        0.00041
    26.171   108.218        0.19121        0.00357
    26.367   109.026        0.03229        0.00060
    26.562   109.833        0.17812        0.00333
    26.757   110.641        0.04770        0.00089
    26.953   111.449        0.16066        0.00300
    27.148   112.256        0.06686        0.00125
    27.343   113.064        0.14014        0.00262
    27.538   113.871        0.08838        0.00165
    27.734   114.679        0.11802        0.00220
    27.929   115.487        0.11071        0.00207
    28.124   116.294        0.09584        0.00179
    28.320   117.102        0.13234        0.00247
    28.515   117.909        0.07512        0.00140
    28.710   118.717        0.15182        0.00284
    28.906   119.525        0.05721        0.00107
    29.101   120.332        0.16786        0.00313
    29.296   121.140        0.04327        0.00081
    29.492   121.947        0.17948        0.00335
    29.687   122.755        0.03414        0.00064
    29.882   123.563        0.18599        0.00347
    30.077   124.370        0.03032        0.00057
    30.273   125.178        0.18707        0.00349
    30.468   125.985        0.03196        0.00060
    30.663   126.793        0.18277        0.00341
    30.859   127.601        0.03880        0.00072
    31.054   128.408        0.17352        0.00324
    31.249   129.216        0.05027        0.00094
    31.445   130.023        0.16006        0.00299
    31.640   130.831        0.06547        0.00122
    31.835   131.639        0.14339        0.00268
    32.031   132.446        0.08330        0.00156
    32.226   133.254        0.12473        0.00233
    32.421   134.061        0.10247        0.00191
    32.616   134.869        0.10538        0.00197
    32.812   135.677        0.12165        0.00227
    33.007   136.484        0.08668        0.00162
    33.202   137.292        0.13954        0.00261
    33.398   138.099        0.06989        0.00130
    33.593   138.907        0.15495        0.00289
    33.788   139.715        0.05611        0.00105
    33.984   140.522        0.16688        0.00312
    34.179   141.330        0.04622        0.00086
    34.374   142.137        0.17459        0.00326
    34.570   142.945        0.04081        0.00076
    34.765   143.753        0.17763        0.00332
    34.960   144.560        0.04015        0.00075
    35.155   145.368        0.17590        0.00328
    35.351   146.175        0.04421        0.00083
    35.546   146.983        0.16961        0.00317
    35.741   147.791        0.05261        0.00098
    35.937   148.598        0.15927        0.00297
    36.132   149.406        0.06468        0.00121
    36.327   150.213        0.14568        0.00272
    36.523   151.021        0.07955        0.00149
    36.718   151.829        0.12981        0.00242
    36.913   152.636        0.09613        0.00180
    37.109   153.444        0.11279        0.00211
    37.304   154.251        0.11327        0.00212
    37.499   155.059        0.09582        0.00179
    37.694   155.867        0.12979        0.00242
    37.890   156.674        0.08004        0.00149
    38.085   157.482        0.14457        0.00270
    38.280   158.289        0.06650        0.00124
    38.476   159.097        0.15663        0.00292
    38.671   159.905        0.05611        0.00105
