# mol        x          y           z          Q_l( 4)     Q_l( 6)     Q_l( 8)     Q_l(10)     Q_l(12)
     1     0.00000     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
     2     7.46901     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
     3    14.93801     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
     4    22.40702     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
     5    29.87602     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
     6    37.34503     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
     7    44.81403     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
     8    52.28304     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
     9    59.75205     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    10    67.22105     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    11    74.69006     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    12    82.15907     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    13    89.62807     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    14    97.09708     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    15   104.56609     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    16   112.03509     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    17   119.50410     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    18   126.97310     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    19   134.44211     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    20   141.91112     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    21   149.38011     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    22   156.84912     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    23   164.31813     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    24   171.78714     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    25   179.25613     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    26   186.72514     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    27   194.19415     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    28   201.66316     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    29   209.13217     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    30   216.60117     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    31   224.07018     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    32   231.53918     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    33   239.00819     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    34   246.47719     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    35   253.94620     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    36   261.41519     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    37   268.88422     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    38   276.35321     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    39   283.82224     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    40   291.29123     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    41   298.76022     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    42   306.22925     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    43   313.69824     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    44   321.16727     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    45   328.63626     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    46   336.10526     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    47   343.57428     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    48   351.04327     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    49   358.51227     0.00000     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    50   365.98129     7.46901     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    51     0.00000    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    52     7.46901    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    53    14.93801    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    54    22.40702    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    55    29.87602    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    56    37.34503    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    57    44.81403    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    58    52.28304    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    59    59.75205    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    60    67.22105    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    61    74.69006    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    62    82.15907    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    63    89.62807    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    64    97.09708    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    65   104.56609    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    66   112.03509    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    67   119.50410    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    68   126.97310    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    69   134.44211    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    70   141.91112    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    71   149.38011    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    72   156.84912    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    73   164.31813    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    74   171.78714    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    75   179.25613    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    76   186.72514    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    77   194.19415    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    78   201.66316    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    79   209.13217    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    80   216.60117    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    81   224.07018    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    82   231.53918    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    83   239.00819    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    84   246.47719    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    85   253.94620    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    86   261.41519    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    87   268.88422    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    88   276.35321    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    89   283.82224    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    90   291.29123    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    91   298.76022    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    92   306.22925    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
    93   313.69824    14.93801     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
    94   321.16727    22.40702     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
