#       Q              S_11(Q)
       0.0168247       0.0000000
       0.0336494       0.0000000
       0.0504741       0.0000000
       0.0672988       0.0000000
       0.0841235       0.0000000
       0.1009481       0.0000000
       0.1177728       0.0000000
       0.1345975       0.0000000
       0.1514222       0.0000000
       0.1682469       0.0000000
       0.1850716       0.0000000
       0.2018963       0.0000000
       0.2187210       0.0000000
       0.2355457       0.0000000
       0.2523704       0.0000000
       0.2691951       0.0000000
       0.2860197       0.0000000
       0.3028444       0.0000000
       0.3196691       0.0000000
       0.3364938       0.0000000
       0.3533185       0.0000000
       0.3701432       0.0000000
       0.3869679       0.0000000
       0.4037926       0.0000000
       0.4206173   15624.9990234
       0.4374419       0.0000000
       0.4542666       0.0000001
       0.4710913       0.0000000
       0.4879160       0.0000000
       0.5047407       0.0000000
       0.5215654       0.0000000
       0.5383901       0.0000000
       0.5552148       0.0000000
       0.5720395       0.0000000
       0.5888641       0.0000000
       0.6056889       0.0000000
       0.6225135       0.0000000
       0.6393383       0.0000001
       0.6561629       0.0000000
       0.6729876       0.0000000
       0.6898123       0.0000000
       0.7066370       0.0000000
       0.7234617       0.0000000
       0.7402864       0.0000000
       0.7571111       0.0000000
       0.7739358       0.0000000
       0.7907605       0.0000000
       0.8075851       0.0000001
       0.8244098       0.0000000
       0.8412345   15624.9990234
       0.8580592       0.0000000
       0.8748839       0.0000001
       0.8917086       0.0000001
       0.9085333       0.0000000
       0.9253580       0.0000001
       0.9421827       0.0000000
       0.9590074       0.0000002
       0.9758320       0.0000000
       0.9926568       0.0000001
       1.0094814       0.0000000
       1.0263062       0.0000002
       1.0431309       0.0000000
       1.0599555       0.0000000
       1.0767802       0.0000001
       1.0936049       0.0000001
       1.1104295       0.0000000
       1.1272542       0.0000002
       1.1440790       0.0000001
       1.1609037       0.0000001
       1.1777283       0.0000001
       1.1945530       0.0000003
       1.2113777       0.0000001
       1.2282025       0.0000001
       1.2450271       0.0000004
       1.2618518   15624.9990234
       1.2786765       0.0000000
       1.2955012       0.0000000
       1.3123258       0.0000001
       1.3291506       0.0000001
       1.3459753       0.0000000
       1.3627999       0.0000000
       1.3796246       0.0000001
       1.3964493       0.0000002
       1.4132740       0.0000000
       1.4300987       0.0000000
       1.4469234       0.0000001
       1.4637481       0.0000001
       1.4805728       0.0000000
       1.4973974       0.0000001
       1.5142221       0.0000001
       1.5310469       0.0000000
       1.5478716       0.0000001
       1.5646962       0.0000001
       1.5815209       0.0000002
       1.5983456       0.0000001
       1.6151702       0.0000000
       1.6319950       0.0000001
       1.6488197       0.0000003
       1.6656444       0.0000000
       1.6824690   15624.9990234
       1.6992937       0.0000006
       1.7161185       0.0000002
       1.7329432       0.0000001
       1.7497678       0.0000000
       1.7665925       0.0000002
       1.7834172       0.0000000
       1.8002419       0.0000001
       1.8170666       0.0000001
       1.8338913       0.0000000
       1.8507160       0.0000002
       1.8675407       0.0000002
       1.8843653       0.0000000
       1.9011900       0.0000000
       1.9180148       0.0000000
       1.9348394       0.0000000
       1.9516641       0.0000001
       1.9684888       0.0000000
       1.9853135       0.0000003
       2.0021381       0.0000006
       2.0189629       0.0000002
       2.0357876       0.0000004
       2.0526123       0.0000001
       2.0694370       0.0000001
       2.0862617       0.0000008
       2.1030862   15624.9990234
       2.1199110       0.0000006
       2.1367357       0.0000002
       2.1535604       0.0000003
       2.1703851       0.0000000
       2.1872098       0.0000001
       2.2040346       0.0000001
       2.2208591       0.0000006
       2.2376838       0.0000004
       2.2545085       0.0000003
       2.2713332       0.0000002
       2.2881579       0.0000000
       2.3049827       0.0000002
       2.3218074       0.0000005
       2.3386321       0.0000011
       2.3554566       0.0000005
       2.3722813       0.0000001
       2.3891060       0.0000008
       2.4059308       0.0000017
       2.4227555       0.0000004
       2.4395802       0.0000001
       2.4564049       0.0000008
       2.4732294       0.0000011
       2.4900541       0.0000003
       2.5068789       0.0000007
       2.5237036   15624.9990234
       2.5405283       0.0000001
       2.5573530       0.0000000
       2.5741777       0.0000008
       2.5910025       0.0000002
       2.6078269       0.0000001
       2.6246517       0.0000001
       2.6414764       0.0000003
       2.6583011       0.0000011
       2.6751258       0.0000002
       2.6919506       0.0000000
       2.7087753       0.0000003
       2.7255998       0.0000010
       2.7424245       0.0000023
       2.7592492       0.0000017
       2.7760739       0.0000001
       2.7928987       0.0000007
       2.8097234       0.0000002
       2.8265481       0.0000004
       2.8433728       0.0000011
       2.8601973       0.0000002
       2.8770220       0.0000005
       2.8938468       0.0000011
       2.9106715       0.0000011
       2.9274962       0.0000005
       2.9443209   15625.0000000
       2.9611456       0.0000005
       2.9779701       0.0000019
       2.9947948       0.0000006
       3.0116196       0.0000004
       3.0284443       0.0000001
       3.0452690       0.0000004
       3.0620937       0.0000007
       3.0789185       0.0000002
       3.0957432       0.0000004
       3.1125677       0.0000002
       3.1293924       0.0000012
       3.1462171       0.0000001
       3.1630418       0.0000007
       3.1798666       0.0000020
       3.1966913       0.0000002
       3.2135160       0.0000001
       3.2303405       0.0000013
       3.2471652       0.0000025
       3.2639899       0.0000001
       3.2808146       0.0000008
       3.2976394       0.0000005
       3.3144641       0.0000003
       3.3312888       0.0000002
       3.3481135       0.0000008
       3.3649380   15624.9990234
       3.3817627       0.0000013
       3.3985875       0.0000010
       3.4154122       0.0000004
       3.4322369       0.0000005
       3.4490616       0.0000011
       3.4658864       0.0000014
       3.4827111       0.0000011
       3.4995356       0.0000008
       3.5163603       0.0000001
       3.5331850       0.0000010
       3.5500097       0.0000007
       3.5668344       0.0000001
       3.5836592       0.0000001
       3.6004839       0.0000008
       3.6173084       0.0000004
       3.6341331       0.0000001
       3.6509578       0.0000008
       3.6677825       0.0000025
       3.6846073       0.0000004
       3.7014320       0.0000011
       3.7182567       0.0000015
       3.7350814       0.0000004
       3.7519059       0.0000011
       3.7687306       0.0000035
       3.7855554   15625.0000000
       3.8023801       0.0000001
       3.8192048       0.0000002
       3.8360295       0.0000002
       3.8528543       0.0000003
       3.8696787       0.0000004
       3.8865035       0.0000008
       3.9033282       0.0000026
       3.9201529       0.0000021
       3.9369776       0.0000005
       3.9538023       0.0000008
       3.9706271       0.0000002
       3.9874518       0.0000003
       4.0042763       0.0000009
       4.0211010       0.0000016
       4.0379257       0.0000003
       4.0547504       0.0000012
       4.0715752       0.0000013
       4.0883999       0.0000017
       4.1052246       0.0000005
       4.1220493       0.0000014
       4.1388741       0.0000000
       4.1556988       0.0000002
       4.1725235       0.0000018
       4.1893477       0.0000057
       4.2061725   15624.9990234
       4.2229972       0.0000032
       4.2398219       0.0000008
       4.2566466       0.0000005
       4.2734714       0.0000001
       4.2902961       0.0000005
       4.3071208       0.0000024
       4.3239455       0.0000016
       4.3407702       0.0000002
       4.3575950       0.0000009
       4.3744197       0.0000019
       4.3912444       0.0000033
       4.4080691       0.0000000
       4.4248939       0.0000016
       4.4417181       0.0000023
       4.4585428       0.0000008
       4.4753675       0.0000005
       4.4921923       0.0000005
       4.5090170       0.0000021
       4.5258417       0.0000005
       4.5426664       0.0000001
       4.5594912       0.0000005
       4.5763159       0.0000017
       4.5931406       0.0000002
       4.6099653       0.0000000
       4.6267900   15624.9990234
       4.6436148       0.0000025
       4.6604395       0.0000026
       4.6772642       0.0000004
       4.6940885       0.0000010
       4.7109132       0.0000015
       4.7277379       0.0000002
       4.7445626       0.0000027
       4.7613873       0.0000012
       4.7782121       0.0000005
       4.7950368       0.0000004
       4.8118615       0.0000034
       4.8286862       0.0000006
       4.8455110       0.0000000
       4.8623357       0.0000011
       4.8791604       0.0000009
       4.8959851       0.0000033
       4.9128098       0.0000030
       4.9296346       0.0000004
       4.9464588       0.0000002
       4.9632835       0.0000027
       4.9801083       0.0000027
       4.9969330       0.0000033
       5.0137577       0.0000037
       5.0305824       0.0000012
       5.0474072   15624.9990234
       5.0642319       0.0000006
       5.0810566       0.0000011
       5.0978813       0.0000021
       5.1147060       0.0000021
       5.1315308       0.0000011
       5.1483555       0.0000016
       5.1651802       0.0000019
       5.1820049       0.0000008
       5.1988292       0.0000031
       5.2156539       0.0000007
       5.2324786       0.0000045
       5.2493033       0.0000015
       5.2661281       0.0000017
       5.2829528       0.0000007
       5.2997775       0.0000020
       5.3166022       0.0000009
       5.3334270       0.0000008
       5.3502517       0.0000033
       5.3670764       0.0000015
       5.3839011       0.0000005
       5.4007258       0.0000006
       5.4175506       0.0000040
       5.4343753       0.0000037
       5.4511995       0.0000094
       5.4680243   15624.9990234
       5.4848490       0.0000040
       5.5016737       0.0000186
       5.5184984       0.0000023
       5.5353231       0.0000002
       5.5521479       0.0000039
       5.5689726       0.0000023
       5.5857973       0.0000118
       5.6026220       0.0000011
       5.6194468       0.0000022
       5.6362715       0.0000049
       5.6530962       0.0000002
       5.6699209       0.0000004
       5.6867456       0.0000001
       5.7035699       0.0000063
       5.7203946       0.0000005
       5.7372193       0.0000043
       5.7540441       0.0000042
       5.7708688       0.0000063
       5.7876935       0.0000023
       5.8045182       0.0000045
       5.8213429       0.0000012
       5.8381677       0.0000011
       5.8549924       0.0000022
       5.8718171       0.0000001
       5.8886418   15625.0000000
       5.9054666       0.0000007
       5.9222913       0.0000016
       5.9391160       0.0000051
       5.9559402       0.0000013
       5.9727650       0.0000016
       5.9895897       0.0000003
       6.0064144       0.0000005
       6.0232391       0.0000040
       6.0400639       0.0000012
       6.0568886       0.0000017
       6.0737133       0.0000026
       6.0905380       0.0000011
       6.1073627       0.0000004
       6.1241875       0.0000038
       6.1410122       0.0000016
       6.1578369       0.0000000
       6.1746616       0.0000022
       6.1914864       0.0000003
       6.2083106       0.0000012
       6.2251353       0.0000009
       6.2419600       0.0000003
       6.2587848       0.0000055
       6.2756095       0.0000066
       6.2924342       0.0000066
       6.3092589   15624.9990234
       6.3260837       0.0000020
       6.3429084       0.0000028
       6.3597331       0.0000001
       6.3765578       0.0000026
       6.3933825       0.0000023
       6.4102073       0.0000007
       6.4270320       0.0000010
       6.4438567       0.0000004
       6.4606810       0.0000042
       6.4775057       0.0000025
       6.4943304       0.0000036
       6.5111551       0.0000008
       6.5279799       0.0000026
       6.5448046       0.0000018
       6.5616293       0.0000012
       6.5784540       0.0000017
       6.5952787       0.0000028
       6.6121035       0.0000020
       6.6289282       0.0000009
       6.6457529       0.0000070
       6.6625776       0.0000003
       6.6794024       0.0000009
       6.6962271       0.0000021
       6.7130518       0.0000028
       6.7298760   15624.9990234
       6.7467008       0.0000120
       6.7635255       0.0000038
       6.7803502       0.0000011
       6.7971749       0.0000002
       6.8139997       0.0000047
       6.8308244       0.0000009
       6.8476491       0.0000042
       6.8644738       0.0000010
       6.8812985       0.0000004
       6.8981233       0.0000025
       6.9149480       0.0000047
       6.9317727       0.0000039
       6.9485974       0.0000006
       6.9654222       0.0000009
       6.9822464       0.0000021
       6.9990711       0.0000050
       7.0158958       0.0000014
       7.0327206       0.0000034
       7.0495453       0.0000093
       7.0663700       0.0000035
       7.0831947       0.0000006
       7.1000195       0.0000011
       7.1168442       0.0000023
       7.1336689       0.0000020
       7.1504936   15624.9990234
       7.1673183       0.0000005
       7.1841431       0.0000006
       7.2009678       0.0000021
       7.2177925       0.0000041
       7.2346168       0.0000067
       7.2514415       0.0000057
       7.2682662       0.0000031
       7.2850909       0.0000034
       7.3019156       0.0000050
       7.3187404       0.0000015
       7.3355651       0.0000003
       7.3523898       0.0000026
       7.3692145       0.0000104
       7.3860393       0.0000012
